label,count,ratio
benign,445244,0.49999943851075085
dos-hulk,184099,0.20673921856418215
portscan,127043,0.14266655736342615
ddos,102420,0.11501545779902952
dos-goldeneye,8234,0.009246604955254922
ftp-patator,6348,0.007128667507403236
ssh-patator,4717,0.005297089576625876
dos-slowloris,4637,0.005207251296759421
dos-slowhttptest,4399,0.004939982414156716
bot,1565,0.0017574613498875338
web-attack-�-brute-force,1206,0.001354312068986815
web-attack-�-xss,522,0.0005861947761286215
infiltration,29,3.256637645159008e-05
web-attack-�-sql-injection,17,1.909063447162177e-05
heartbleed,9,1.0106806484976231e-05
