context,class,scenario,rows
C0,benign,benign,75000
C0,bot,bot,4848
C0,infiltration,infilteration,4847
C0,ddos,ddos_attack_hoic,3742
C0,brute_force,ftp_bruteforce,3270
C0,dos,dos_attacks_slowhttptest,1673
C0,dos,dos_attacks_hulk,1643
C0,brute_force,ssh_bruteforce,1578
C0,ddos,ddos_attacks_loic_http,1086
C0,dos,dos_attacks_goldeneye,981
C0,dos,dos_attacks_slowloris,551
C0,web_attacks,brute_force_web,485
C0,web_attacks,brute_force_xss,144
C0,web_attacks,sql_injection,132
C0,ddos,ddos_attack_loic_udp,20
anchor,benign,benign,2000
anchor,bot,bot,2000
anchor,infiltration,infilteration,2000
anchor,ddos,ddos_attack_hoic,1581
anchor,brute_force,ftp_bruteforce,1333
anchor,dos,dos_attacks_slowhttptest,688
anchor,brute_force,ssh_bruteforce,667
anchor,dos,dos_attacks_hulk,661
anchor,web_attacks,brute_force_web,485
anchor,dos,dos_attacks_goldeneye,416
anchor,ddos,ddos_attacks_loic_http,415
anchor,dos,dos_attacks_slowloris,235
anchor,web_attacks,brute_force_xss,144
anchor,web_attacks,sql_injection,132
anchor,ddos,ddos_attack_loic_udp,4
expert1_block,infiltration,infilteration,15844
expert1_block,web_attacks,brute_force_web,12
expert1_block,web_attacks,brute_force_xss,5
expert2_block,benign,benign,145101
expert2_block,ddos,ddos_attack_hoic,15381
expert2_block,bot,bot,12030
expert2_block,brute_force,ssh_bruteforce,6937
expert2_block,dos,dos_attacks_slowloris,2102
expert2_block,infiltration,infilteration,1570
expert2_block,dos,dos_attacks_goldeneye,1316
expert2_block,ddos,ddos_attacks_loic_http,968
expert2_block,dos,dos_attacks_hulk,494
expert2_block,ddos,ddos_attack_loic_udp,101
expert3_block,web_attacks,brute_force_web,141
expert3_block,infiltration,infilteration,55
expert3_block,web_attacks,brute_force_xss,47
expert3_block,web_attacks,sql_injection,47
