arm,class,helpful,harmful
legacy,benign,0,0
legacy,bot,0,0
legacy,brute_force,0,0
legacy,ddos,0,0
legacy,dos,0,0
legacy,infiltration,0,0
legacy,web_attacks,0,0
post_z,benign,0,0
post_z,bot,0,0
post_z,brute_force,0,0
post_z,ddos,0,0
post_z,dos,0,0
post_z,infiltration,0,0
post_z,web_attacks,0,0
post_raw,benign,0,0
post_raw,bot,0,0
post_raw,brute_force,0,0
post_raw,ddos,0,0
post_raw,dos,0,0
post_raw,infiltration,0,0
post_raw,web_attacks,0,0
decision_post_raw,benign,0,28
decision_post_raw,bot,0,0
decision_post_raw,brute_force,0,0
decision_post_raw,ddos,0,0
decision_post_raw,dos,0,0
decision_post_raw,infiltration,764,0
decision_post_raw,web_attacks,0,0
decision_both_raw,benign,0,33
decision_both_raw,bot,0,0
decision_both_raw,brute_force,0,0
decision_both_raw,ddos,0,0
decision_both_raw,dos,1,0
decision_both_raw,infiltration,779,0
decision_both_raw,web_attacks,0,0
dense_decision_raw,benign,0,46
dense_decision_raw,bot,0,0
dense_decision_raw,brute_force,0,0
dense_decision_raw,ddos,0,0
dense_decision_raw,dos,1,0
dense_decision_raw,infiltration,762,0
dense_decision_raw,web_attacks,1,0
