Class,Baseline_Accuracy,Baseline_F1,Ensemble_Accuracy,Ensemble_F1
BENIGN,0.9935690846438782,0.9811605135261846,0.9901334906574151,0.9843772911543296
Bot,0.0,0.0,0.3543441226575809,0.5073170731707317
DDoS,0.9766975630077067,0.9863017300310248,0.9573265986252864,0.9777299137117254
DoS GoldenEye,0.8805051813471503,0.9192021636240704,0.9494818652849741,0.9436755712906341
DoS Hulk,0.8902182887437171,0.9391934226813576,0.8902182887437171,0.9390283963727205
DoS Slowhttptest,0.9218181818181819,0.8600508905852418,0.786060606060606,0.7615971814445097
DoS slowloris,0.7763082231167338,0.8598726114649682,0.8821161587119034,0.842625652293326
FTP-Patator,0.5441176470588235,0.6713322965266978,0.4928571428571429,0.6532999164578112
Heartbleed,0.0,0.0,0.0,0.0
Infiltration,0.0,0.0,0.0,0.0
PortScan,0.7997733045066224,0.8547361336997364,0.9460338783820659,0.918287303511578
SSH-Patator,0.6246466930469191,0.7644413697682463,0.8338044092707745,0.8795468097793679
Web Attack � Brute Force,0.0,0.0,0.0,0.0
Web Attack � Sql Injection,0.0,0.0,0.0,0.0
Web Attack � XSS,0.0,0.0,0.0,0.0
