Class,Baseline_MLP_Accuracy,Baseline_MLP_F1,Expert_Ensemble_Accuracy,Expert_Ensemble_F1,XGBoost_Accuracy,XGBoost_F1
BENIGN,1.0,0.890996865269328,1.0,0.890996865269328,0.9971551937886686,0.9969028940302788
Bot,0.0,0.0,0.0,0.0,0.27689873417721517,0.43370508054522927
DDoS,0.0,0.0,0.0,0.0,0.9969102946903804,0.9983748716148576
DoS GoldenEye,0.0,0.0,0.0,0.0,0.9282437745740498,0.9621327899473595
DoS Hulk,0.0,0.0,0.0,0.0,0.9936936936936936,0.9849845524532432
DoS Slowhttptest,0.0,0.0,0.0,0.0,0.8303249097472925,0.9043250327653998
DoS slowloris,0.0,0.0,0.0,0.0,0.9161947904869762,0.9554177738411573
FTP-Patator,0.0,0.0,0.0,0.0,0.9970200085142614,0.9985077808569601
Heartbleed,0.0,0.0,0.0,0.0,1.0,1.0
Infiltration,0.0,0.0,0.0,0.0,0.0,0.0
PortScan,0.0,0.0,0.0,0.0,0.9973328853140685,0.9957122938703624
SSH-Patator,0.0,0.0,0.0,0.0,0.9947089947089947,0.9973474801061007
Web Attack � Brute Force,0.0,0.0,0.0,0.0,0.28322440087145967,0.42414355628058725
Web Attack � Sql Injection,0.0,0.0,0.0,0.0,0.0,0.0
Web Attack � XSS,0.0,0.0,0.0,0.0,0.0,0.0
