Class,Baseline_MLP_Accuracy,Baseline_MLP_F1,Expert_Ensemble_Accuracy,Expert_Ensemble_F1
BENIGN,0.9946874454403141,0.978011150941627,0.9794716201604183,0.9798719974402423
Bot,0.0,0.0,0.0,0.0
DDoS,0.9462287420485526,0.9714643671113836,0.9345190185641957,0.959583033405316
DoS GoldenEye,0.4904980340760157,0.658021978021978,0.9436435124508519,0.9076583674755752
DoS Hulk,0.8911944202266783,0.9352170233529784,0.8922696890438826,0.925053855771983
DoS Slowhttptest,0.8561973525872443,0.8346041055718475,0.7503008423586041,0.7195614541257934
DoS slowloris,0.5396375990939978,0.6780505158306652,0.0,0.0
FTP-Patator,0.39080459770114945,0.5618115055079559,0.49638143891017456,0.6128777923784494
Heartbleed,0.0,0.0,0.0,0.0
Infiltration,0.0,0.0,0.0,0.0
PortScan,0.7375097129176554,0.8219351214717034,0.9938257345065837,0.8867049532036088
SSH-Patator,0.8536155202821869,0.872858431018936,0.6696061140505585,0.783625730994152
Web Attack � Brute Force,0.0,0.0,0.0,0.0
Web Attack � Sql Injection,0.0,0.0,0.0,0.0
Web Attack � XSS,0.0,0.0,0.0,0.0
