Class,Baseline_Accuracy,Baseline_F1,Baseline_Precision,Baseline_Recall,Baseline_Support,Ensemble_Accuracy,Ensemble_F1,Ensemble_Precision,Ensemble_Recall,Ensemble_Support
BENIGN,0.99939242378881,0.9995244427614024,0.9996564966178129,0.99939242378881,454264,0.9988398816547206,0.9993601709147574,0.9998810024879294,0.9988398816547206,454264
Bot,0.7346938775510204,0.8311688311688312,0.9568106312292359,0.7346938775510204,392,0.9923469387755102,0.7930682976554536,0.6604414261460102,0.9923469387755102,392
DDoS,0.9996094512790471,0.9997461086264476,0.9998828033440113,0.9996094512790471,25605,0.9992970123022847,0.9992189635646503,0.9991409270178453,0.9992970123022847,25605
DoS GoldenEye,0.996600291403594,0.9956331877729258,0.9946679592825982,0.996600291403594,2059,0.9985429820301117,0.9939569736524051,0.9894128970163619,0.9985429820301117,2059
DoS Hulk,0.9997827267789245,0.9991206262009966,0.9984594019875884,0.9997827267789245,46025,0.9995871808799566,0.9986216477278894,0.9976579780543869,0.9995871808799566,46025
DoS Slowhttptest,0.9881818181818182,0.9913360693114455,0.9945105215004575,0.9881818181818182,1100,0.9918181818181818,0.9895691609977324,0.9873303167420815,0.9918181818181818,1100
DoS slowloris,0.993103448275862,0.9956784788245462,0.9982668977469671,0.993103448275862,1160,0.993103448275862,0.9943892965041001,0.9956784788245462,0.993103448275862,1160
FTP-Patator,0.9993698802772527,0.9996848408446265,1.0,0.9993698802772527,1587,0.9993698802772527,0.9996848408446265,1.0,0.9993698802772527,1587
Heartbleed,0.6666666666666666,0.8,1.0,0.6666666666666666,3,1.0,0.8571428571428571,0.75,1.0,3
Infiltration,0.5,0.6666666666666666,1.0,0.5,8,0.75,0.8571428571428571,1.0,0.75,8
PortScan,0.9996536632977551,0.9968602825745683,0.9940824697078806,0.9996536632977551,31761,0.9991813859765121,0.9966240087932794,0.9940796892619972,0.9991813859765121,31761
SSH-Patator,1.0,1.0,1.0,1.0,1180,1.0,0.9995764506565015,0.9991532599491956,1.0,1180
Web Attack � Brute Force,0.9801324503311258,0.8222222222222222,0.7081339712918661,0.9801324503311258,302,0.9701986754966887,0.8161559888579387,0.7043269230769231,0.9701986754966887,302
Web Attack � Sql Injection,0.0,0.0,0.0,0.0,5,0.2,0.2857142857142857,0.5,0.2,5
Web Attack � XSS,0.04580152671755725,0.08333333333333333,0.46153846153846156,0.04580152671755725,131,0.05343511450381679,0.09271523178807947,0.35,0.05343511450381679,131
