class,support,prec(B),prec(M),recall(B),recall(M),f1(B),f1(M),_footer,delta_f1
benign,454537,0.9999713636834233,0.9999691590555622,0.9987217762250378,0.9986601750792565,0.999346179331782,0.9993142384138763,,-3.194091790570397e-05
dos-hulk,46025,0.9978739098364212,0.9979391283597631,0.999369907658881,0.9995002715915263,0.9986213484731705,0.9987190899025206,,9.774142935004004e-05
portscan,31786,0.9935899440292674,0.9935284186831739,0.9996853960863273,0.9997797772604291,0.9966283500870357,0.9966442953020134,,1.5945214977719502e-05
ddos,25606,0.999336507688705,0.9984792357184636,0.9999609466531282,1.0,0.999648629655657,0.9992390392382587,,-0.0004095904173982978
dos-goldeneye,2059,0.9804482594182165,0.9842029679272379,0.9985429820301117,0.9985429820301117,0.9894128970163619,0.991321118611379,,0.0019082215950170234
ftp-patator,1588,0.9993702770780857,0.9993702770780857,0.9993702770780857,0.9993702770780857,0.9993702770780857,0.9993702770780857,,0.0
ssh-patator,1179,0.9991525423728813,0.9991525423728813,1.0,1.0,0.9995760915642221,0.9995760915642221,,0.0
dos-slowloris,1159,0.9813084112149533,0.9863247863247864,0.996548748921484,0.9956859361518551,0.9888698630136986,0.9909832546157149,,0.00211339160201629
dos-slowhttptest,1100,0.983754512635379,0.9846570397111913,0.990909090909091,0.9918181818181818,0.9873188405797102,0.9882246376811594,,0.0009057971014492239
bot,393,0.6582064297800339,0.6526845637583892,0.989821882951654,0.989821882951654,0.790650406504065,0.7866531850353893,,-0.00399722146867576
web-attack-�-brute-force,302,0.7598566308243727,0.7517241379310344,0.7019867549668874,0.7218543046357616,0.729776247848537,0.7364864864864865,,0.006710238637949506
web-attack-�-xss,130,0.384180790960452,0.40828402366863903,0.5230769230769231,0.5307692307692308,0.44299674267100975,0.46153846153846156,,0.018541718867451817
infiltration,7,0.875,0.7777777777777778,1.0,1.0,0.9333333333333333,0.875,,-0.05833333333333335
web-attack-�-sql-injection,4,0.25,0.16666666666666666,0.25,0.25,0.25,0.2,,-0.04999999999999999
heartbleed,2,1.0,1.0,1.0,1.0,1.0,1.0,,0.0
macro avg,565877,0.8574699719681461,0.8467173816689102,0.8965329791038407,0.8983868679577396,0.8737032804771113,0.8682046783645044,True,-0.005498602112606887
weighted avg,565877,0.9987555980715226,0.998738145118673,0.9985897995500789,0.9985703606967592,0.9986450883045355,0.9986267655643507,True,-1.8322740184761876e-05
