class,support,prec(B),prec(M),recall(B),recall(M),f1(B),f1(M),_footer,delta_f1
benign,454537,0.9999713636834233,0.9983935156449669,0.9987217762250378,0.18048035693463899,0.999346179331782,0.30569923086095874,,-0.6936469484708233
dos-hulk,46025,0.9978739098364212,0.5406162464985994,0.999369907658881,0.004193373166757197,0.9986213484731705,0.008322193954551334,,-0.9902991545186192
portscan,31786,0.9935899440292674,0.357476741547538,0.9996853960863273,0.24781350279997483,0.9966283500870357,0.2927110235781572,,-0.7039173265088785
ddos,25606,0.999336507688705,0.19251186358883615,0.9999609466531282,0.18694837147543544,0.999648629655657,0.18968933269931842,,-0.8099592969563386
dos-goldeneye,2059,0.9804482594182165,0.5,0.9985429820301117,0.0024283632831471587,0.9894128970163619,0.004833252779120348,,-0.9845796442372415
ftp-patator,1588,0.9993702770780857,0.42990654205607476,0.9993702770780857,0.14483627204030228,0.9993702770780857,0.2166745171926519,,-0.7826957598854338
ssh-patator,1179,0.9991525423728813,0.002145728483383449,1.0,0.7438507209499576,0.9995760915642221,0.004279113340392,,-0.9952969782238301
dos-slowloris,1159,0.9813084112149533,0.0,0.996548748921484,0.0,0.9888698630136986,0.0,,-0.9888698630136986
dos-slowhttptest,1100,0.983754512635379,0.0,0.990909090909091,0.0,0.9873188405797102,0.0,,-0.9873188405797102
bot,393,0.6582064297800339,0.009351620947630923,0.989821882951654,0.03816793893129771,0.790650406504065,0.015022533800701052,,-0.775627872703364
web-attack-�-brute-force,302,0.7598566308243727,0.0,0.7019867549668874,0.0,0.729776247848537,0.0,,-0.729776247848537
web-attack-�-xss,130,0.384180790960452,0.0,0.5230769230769231,0.0,0.44299674267100975,0.0,,-0.44299674267100975
infiltration,7,0.875,0.0,1.0,0.0,0.9333333333333333,0.0,,-0.9333333333333333
web-attack-�-sql-injection,4,0.25,0.0,0.25,0.0,0.25,0.0,,-0.25
heartbleed,2,1.0,0.0,1.0,0.0,1.0,0.0,,-1.0
macro avg,565877,0.8574699719681461,0.2020268172511353,0.8965329791038407,0.10324792663876742,0.8737032804771113,0.06914874654705674,True,-0.8045545339300546
weighted avg,565877,0.9987555980715226,0.8777512909013788,0.9985897995500789,0.1696817506277866,0.9986450883045355,0.27189816453813465,True,-0.7267469237664008
