class,support,f1_baseline,f1_oracle,f1_tta,oracle_minus_tta
benign,454537,0.999346179331782,1.0,0.7914635994544106,0.20853640054558942
dos-hulk,46025,0.9986213484731705,0.9997065950903579,0.3733245820091198,0.6263820130812381
portscan,31786,0.9966283500870357,1.0,0.4787954604366005,0.5212045395633995
ddos,25606,0.999648629655657,1.0,0.3029075179324317,0.6970924820675684
dos-goldeneye,2059,0.9894128970163619,0.9929968606616759,0.1262488646684832,0.8667479959931927
ftp-patator,1588,0.9993702770780857,0.9996850393700787,0.27557216254086875,0.72411287682921
ssh-patator,1179,0.9995760915642221,0.9995760915642221,0.011641212538115049,0.9879348790261071
dos-slowloris,1159,0.9888698630136986,0.9944037882049075,0.06281227694503926,0.9315915112598683
dos-slowhttptest,1100,0.9873188405797102,0.9931787175989086,0.031914893617021274,0.9612638239818874
bot,393,0.790650406504065,1.0,0.03864734299516908,0.961352657004831
web-attack-�-brute-force,302,0.729776247848537,0.7329650092081031,0.0,0.7329650092081031
web-attack-�-xss,130,0.44299674267100975,0.5482866043613707,0.0,0.5482866043613707
infiltration,7,0.9333333333333333,1.0,0.0,1.0
web-attack-�-sql-injection,4,0.25,1.0,0.0,1.0
heartbleed,2,1.0,1.0,0.0,1.0
