mode,level,expert,flip_mean,flip_std
gaussian,0.01,Benign,0.0,0.0
gaussian,0.01,DoS,0.4976,0.00608802102493085
gaussian,0.01,DDoS_Scan,0.42912,0.005519565200267139
gaussian,0.01,BruteForce,0.23941999999999997,0.004224168557242953
gaussian,0.01,WebBot,0.47764000000000006,0.004711517802152517
gaussian,0.01,Tail,0.36718,0.005300150941246874
gaussian,0.05,Benign,0.0,0.0
gaussian,0.05,DoS,0.62892,0.006624922641057788
gaussian,0.05,DDoS_Scan,0.47363999999999995,0.0054785399514834295
gaussian,0.05,BruteForce,0.34056,0.00533201650410049
gaussian,0.05,WebBot,0.49092,0.005003358871798023
gaussian,0.05,Tail,0.44168,0.00572796648034885
gaussian,0.1,Benign,0.0,0.0
gaussian,0.1,DoS,0.67344,0.007811171487043419
gaussian,0.1,DDoS_Scan,0.48089999999999994,0.005599464260087747
gaussian,0.1,BruteForce,0.36700000000000005,0.004618224767158916
gaussian,0.1,WebBot,0.49006,0.007356113104078807
gaussian,0.1,Tail,0.46641999999999995,0.005429880293339797
gaussian,0.2,Benign,0.0,0.0
gaussian,0.2,DoS,0.7035,0.005644997785650566
gaussian,0.2,DDoS_Scan,0.48396,0.0057353639814749285
gaussian,0.2,BruteForce,0.3837,0.005425311050990524
gaussian,0.2,WebBot,0.49188,0.007287358918016857
gaussian,0.2,Tail,0.4866400000000001,0.005238167618547531
gaussian,0.5,Benign,0.0,0.0
gaussian,0.5,DoS,0.73752,0.005893861213160692
gaussian,0.5,DDoS_Scan,0.48652000000000006,0.005632903336646204
gaussian,0.5,BruteForce,0.40112,0.005304488665272085
gaussian,0.5,WebBot,0.49946,0.005584299418906549
gaussian,0.5,Tail,0.52118,0.004787859647065716
gaussian,1.0,Benign,0.0,0.0
gaussian,1.0,DoS,0.7646,0.005912021650839939
gaussian,1.0,DDoS_Scan,0.48744,0.004891461949151806
gaussian,1.0,BruteForce,0.41116,0.006005863801319515
gaussian,1.0,WebBot,0.50358,0.00606197987459543
gaussian,1.0,Tail,0.5552,0.00449622063515573
gaussian,2.0,Benign,0.0,0.0
gaussian,2.0,DoS,0.7792,0.006651315659326369
gaussian,2.0,DDoS_Scan,0.48846,0.005572826930741706
gaussian,2.0,BruteForce,0.4282,0.0066344555164685485
gaussian,2.0,WebBot,0.5126999999999999,0.007337165665296105
gaussian,2.0,Tail,0.57894,0.004669946466502612
mask,0.05,Benign,0.0,0.0
mask,0.05,DoS,0.09735999999999999,0.0034395348522729065
mask,0.05,DDoS_Scan,0.01906,0.0019246817918814527
mask,0.05,BruteForce,0.0005,0.00016124515496597098
mask,0.05,WebBot,0.06548000000000001,0.0031574673394985423
mask,0.05,Tail,0.06742,0.0033316062192281994
mask,0.1,Benign,0.0,0.0
mask,0.1,DoS,0.17568,0.004097999511957021
mask,0.1,DDoS_Scan,0.039299999999999995,0.00220045449850707
mask,0.1,BruteForce,0.00088,0.00023999999999999995
mask,0.1,WebBot,0.12282000000000001,0.004992354154104055
mask,0.1,Tail,0.13001999999999997,0.002694364489077155
mask,0.2,Benign,0.0,0.0
mask,0.2,DoS,0.31538,0.00625424655734006
mask,0.2,DDoS_Scan,0.0857,0.0019944924166313614
mask,0.2,BruteForce,0.00166,0.00034698703145794946
mask,0.2,WebBot,0.21502000000000004,0.005009950099551897
mask,0.2,Tail,0.24811999999999998,0.004465153972709115
mask,0.3,Benign,0.0,0.0
mask,0.3,DoS,0.4458399999999999,0.005370884470922829
mask,0.3,DDoS_Scan,0.13694,0.0036288290122297034
mask,0.3,BruteForce,0.00246,0.0004903060268852506
mask,0.3,WebBot,0.29036,0.006462692937158632
mask,0.3,Tail,0.35292,0.006011455730519855
mask,0.5,Benign,0.0,0.0
mask,0.5,DoS,0.65632,0.004231500915750819
mask,0.5,DDoS_Scan,0.2529,0.006751740516340952
mask,0.5,BruteForce,0.00396,0.00068
mask,0.5,WebBot,0.39558,0.004094337553255711
mask,0.5,Tail,0.54048,0.0045061735430407006
mask,0.7,Benign,0.0,0.0
mask,0.7,DoS,0.80754,0.0033633911458526345
mask,0.7,DDoS_Scan,0.3728,0.005270294109440196
mask,0.7,BruteForce,0.005599999999999999,0.00041952353926806064
mask,0.7,WebBot,0.45561999999999997,0.0024354876308452047
mask,0.7,Tail,0.67486,0.003349089428486484
