mode,level,true_class,support,expert,owner,pred_x,conf_x,pred_xa,conf_xa,flip_rate,stability,tta_weight
gaussian,0.01,benign,4032,Benign,True,benign,0.9987408518791199,benign,0.9947155117988586,0.0,0.9973596568416854,0.19059036853966624
gaussian,0.01,benign,4032,DoS,False,dos-slowloris,0.8154396414756775,dos-hulk,0.7470830082893372,0.520560515873016,0.8246152393312386,0.15733444084985249
gaussian,0.01,benign,4032,DDoS_Scan,False,portscan,0.9930504560470581,portscan,0.9866458773612976,0.43975694444444435,0.7838073749762872,0.14930222616261687
gaussian,0.01,benign,4032,BruteForce,False,ssh-patator,0.9971503019332886,ssh-patator,0.9979252815246582,0.23561507936507936,0.878445164361239,0.16720739289211958
gaussian,0.01,benign,4032,WebBot,False,bot,0.8163335919380188,bot,0.8007045984268188,0.4716517857142857,0.8531045389266456,0.16265158229393054
gaussian,0.01,benign,4032,Tail,False,web-attack-�-sql-injection,0.7284983992576599,web-attack-�-sql-injection,0.7150430083274841,0.3656498015873016,0.9049093548694401,0.17291398926181428
gaussian,0.01,dos-hulk,380,Benign,False,benign,0.999214231967926,benign,0.9171191453933716,0.0,0.6631784525469682,0.13473313898439798
gaussian,0.01,dos-hulk,380,DoS,True,dos-hulk,0.9999107718467712,dos-hulk,0.8058825731277466,0.24342105263157893,0.8734309194077061,0.17738236803789786
gaussian,0.01,dos-hulk,380,DDoS_Scan,False,portscan,0.9936627149581909,portscan,0.9802358746528625,0.39473684210526316,0.8049030808199272,0.16331804179883064
gaussian,0.01,dos-hulk,380,BruteForce,False,ssh-patator,0.9971983432769775,ssh-patator,0.9981595873832703,0.3705263157894737,0.8055539037611957,0.16351565755816477
gaussian,0.01,dos-hulk,380,WebBot,False,web-attack-�-brute-force,0.6863042116165161,web-attack-�-xss,0.7048410773277283,0.6239473684210527,0.8570948827911745,0.1740313741095171
gaussian,0.01,dos-hulk,380,Tail,False,web-attack-�-sql-injection,0.8001109957695007,web-attack-�-sql-injection,0.7375904321670532,0.3192105263157895,0.9207840164769703,0.18701941951119158
gaussian,0.01,portscan,290,Benign,False,benign,0.9982419013977051,benign,0.9498304128646851,0.0,0.6239463067802024,0.12162211464478792
gaussian,0.01,portscan,290,DoS,False,dos-slowloris,0.9486332535743713,dos-slowloris,0.7323684692382812,0.4755172413793103,0.8125226954327411,0.15831468462743203
gaussian,0.01,portscan,290,DDoS_Scan,True,portscan,0.9999917149543762,portscan,0.9477221369743347,0.20724137931034484,0.8955144855883986,0.1744671509869873
gaussian,0.01,portscan,290,BruteForce,False,ssh-patator,0.9984034895896912,ssh-patator,0.9982043504714966,0.023793103448275864,0.9871748528652489,0.19232492322898456
gaussian,0.01,portscan,290,WebBot,False,bot,0.913439929485321,bot,0.8618071675300598,0.16758620689655174,0.9206742495451044,0.17923670198231953
gaussian,0.01,portscan,290,Tail,False,web-attack-�-sql-injection,0.6893609166145325,web-attack-�-sql-injection,0.6918612718582153,0.4717241379310345,0.8929914100899979,0.1740344245294886
gaussian,0.01,ftp-patator,18,Benign,False,benign,0.9982870817184448,benign,0.8998706936836243,0.0,0.6542291410357284,0.13813962965004617
gaussian,0.01,ftp-patator,18,DoS,False,dos-slowloris,0.8447329998016357,dos-slowloris,0.7382155060768127,0.5944444444444443,0.7816249547286378,0.1649759678814517
gaussian,0.01,ftp-patator,18,DDoS_Scan,False,portscan,0.9928557872772217,portscan,0.994135856628418,0.4722222222222222,0.7648892429991281,0.1614847692413174
gaussian,0.01,ftp-patator,18,BruteForce,True,ftp-patator,0.9997393488883972,ssh-patator,0.9979443550109863,0.5277777777777778,0.7381435166452129,0.15593077820881407
gaussian,0.01,ftp-patator,18,WebBot,False,web-attack-�-brute-force,0.9277614951133728,web-attack-�-brute-force,0.7515612840652466,0.4111111111111111,0.8663959984343033,0.18298021992928173
gaussian,0.01,ftp-patator,18,Tail,False,web-attack-�-sql-injection,0.9543609619140625,web-attack-�-sql-injection,0.7487584352493286,0.09444444444444444,0.9297684596537044,0.19648863508908893
gaussian,0.01,bot,5,Benign,False,benign,0.9559530019760132,benign,0.9762948751449585,0.0,0.6338454475775375,0.12599844100192223
gaussian,0.01,bot,5,DoS,False,dos-slowloris,0.9711230397224426,dos-slowloris,0.6677893400192261,0.6,0.7858614132932015,0.15616038472528082
gaussian,0.01,bot,5,DDoS_Scan,False,ddos,0.9989496469497681,ddos,0.9931495785713196,0.5000000000000001,0.7563019278140859,0.150173872737414
gaussian,0.01,bot,5,BruteForce,False,ssh-patator,0.9982110857963562,ssh-patator,0.9988177418708801,0.0,0.9997749321312644,0.1986668885027289
gaussian,0.01,bot,5,WebBot,True,bot,0.9987584352493286,bot,0.868822455406189,0.0,0.9529858313550632,0.18935004243971199
gaussian,0.01,bot,5,Tail,False,infiltration,0.9367480278015137,infiltration,0.697027325630188,0.44000000000000006,0.9043039089267492,0.17965037059294206
gaussian,0.05,benign,4032,Benign,True,benign,0.9987408518791199,benign,0.9907199740409851,0.0,0.9957705456101335,0.1958234717798025
gaussian,0.05,benign,4032,DoS,False,dos-slowloris,0.8154396414756775,dos-goldeneye,0.7250264883041382,0.6568948412698413,0.776645702027577,0.1525507417419091
gaussian,0.05,benign,4032,DDoS_Scan,False,portscan,0.9930504560470581,portscan,0.982596218585968,0.4762896825396825,0.7682105565025821,0.15073793800279944
gaussian,0.05,benign,4032,BruteForce,False,ssh-patator,0.9971503019332886,ssh-patator,0.9980643391609192,0.3431547619047619,0.825960836636813,0.16174225181237997
gaussian,0.05,benign,4032,WebBot,False,bot,0.8163335919380188,bot,0.7928465604782104,0.48415178571428574,0.8473994112916546,0.1661964688952584
gaussian,0.05,benign,4032,Tail,False,web-attack-�-sql-injection,0.7284983992576599,web-attack-�-sql-injection,0.7005623579025269,0.4480406746031746,0.8802311341337683,0.17294912776785049
gaussian,0.05,dos-hulk,380,Benign,False,benign,0.999214231967926,benign,0.9461714029312134,0.0,0.6256018567414876,0.13326426275875702
gaussian,0.05,dos-hulk,380,DoS,True,dos-hulk,0.9999107718467712,dos-hulk,0.7601683735847473,0.39973684210526317,0.8173656426358294,0.17395730501610715
gaussian,0.05,dos-hulk,380,DDoS_Scan,False,portscan,0.9936627149581909,portscan,0.980007529258728,0.45815789473684215,0.7768958204011719,0.1653563481548158
gaussian,0.05,dos-hulk,380,BruteForce,False,ssh-patator,0.9971983432769775,ssh-patator,0.9980777502059937,0.4655263157894737,0.7658698491059824,0.1630823396541891
gaussian,0.05,dos-hulk,380,WebBot,False,web-attack-�-brute-force,0.6863042116165161,bot,0.7084962725639343,0.6539473684210527,0.8443786840394725,0.1796304441386609
gaussian,0.05,dos-hulk,380,Tail,False,web-attack-�-sql-injection,0.8001109957695007,web-attack-�-sql-injection,0.7109866738319397,0.40631578947368424,0.8676621777527178,0.18470930027746998
gaussian,0.05,portscan,290,Benign,False,benign,0.9982419013977051,benign,0.9700366258621216,0.0,0.612012727391264,0.12315396262990115
gaussian,0.05,portscan,290,DoS,False,dos-slowloris,0.9486332535743713,dos-slowloris,0.737996518611908,0.5875862068965517,0.773612418225737,0.1555695695516087
gaussian,0.05,portscan,290,DDoS_Scan,True,portscan,0.9999917149543762,portscan,0.9437853097915649,0.3451724137931035,0.8342278791187057,0.16776085922802497
gaussian,0.05,portscan,290,BruteForce,False,ssh-patator,0.9984034895896912,ssh-patator,0.9982796907424927,0.07448275862068965,0.9595820424900978,0.19266959676327874
gaussian,0.05,portscan,290,WebBot,False,bot,0.913439929485321,bot,0.8587508201599121,0.19137931034482758,0.9085983703423445,0.1824329149448601
gaussian,0.05,portscan,290,Tail,False,web-attack-�-sql-injection,0.6893609166145325,web-attack-�-sql-injection,0.682123064994812,0.4703448275862069,0.8872789964319697,0.17841309688232626
gaussian,0.05,ftp-patator,18,Benign,False,benign,0.9982870817184448,benign,0.9557908177375793,0.0,0.6198002920877569,0.13422374627256867
gaussian,0.05,ftp-patator,18,DoS,False,dos-slowloris,0.8447329998016357,dos-goldeneye,0.7485593557357788,0.7,0.7587047289548072,0.16414067383276496
gaussian,0.05,ftp-patator,18,DDoS_Scan,False,portscan,0.9928557872772217,portscan,0.9683318138122559,0.4333333333333333,0.7925240230485969,0.17155516367988438
gaussian,0.05,ftp-patator,18,BruteForce,True,ftp-patator,0.9997393488883972,ssh-patator,0.9983875155448914,0.5277777777777778,0.7369569755820442,0.159559867196108
gaussian,0.05,ftp-patator,18,WebBot,False,web-attack-�-brute-force,0.9277614951133728,web-attack-�-brute-force,0.7728111743927002,0.4611111111111111,0.8567406315349193,0.1854719347954206
gaussian,0.05,ftp-patator,18,Tail,False,web-attack-�-sql-injection,0.9543609619140625,web-attack-�-sql-injection,0.7210942506790161,0.20555555555555555,0.8548621520339519,0.18504861422325347
gaussian,0.05,bot,5,Benign,False,benign,0.9559530019760132,benign,0.9925915002822876,0.0,0.623923801367272,0.12483940820242408
gaussian,0.05,bot,5,DoS,False,dos-slowloris,0.9711230397224426,dos-slowloris,0.6922736167907715,0.5399999999999999,0.7824821474938266,0.15646393291630983
gaussian,0.05,bot,5,DDoS_Scan,False,ddos,0.9989496469497681,ddos,0.9862908124923706,0.5000000000000001,0.7562009952772337,0.15102462083987284
gaussian,0.05,bot,5,BruteForce,False,ssh-patator,0.9982110857963562,ssh-patator,0.9987881779670715,0.0,0.9997358884474533,0.19989137914917732
gaussian,0.05,bot,5,WebBot,True,bot,0.9987584352493286,bot,0.8701878786087036,0.04,0.9361471798260116,0.1870797361176565
gaussian,0.05,bot,5,Tail,False,infiltration,0.9367480278015137,infiltration,0.6901493668556213,0.42000000000000004,0.9040720235026234,0.18070092277455949
gaussian,0.1,benign,4032,Benign,True,benign,0.9987408518791199,benign,0.9899271130561829,0.0,0.9955165588465112,0.1973040490029308
gaussian,0.1,benign,4032,DoS,False,dos-slowloris,0.8154396414756775,dos-goldeneye,0.7216507196426392,0.6938492063492064,0.763651209314325,0.1511760525431103
gaussian,0.1,benign,4032,DDoS_Scan,False,portscan,0.9930504560470581,portscan,0.9805761575698853,0.4825644841269841,0.766280200603576,0.15156892628806215
gaussian,0.1,benign,4032,BruteForce,False,ssh-patator,0.9971503019332886,ssh-patator,0.9980782270431519,0.3687003968253969,0.8149615821521011,0.16080911750982757
gaussian,0.1,benign,4032,WebBot,False,bot,0.8163335919380188,bot,0.8072266578674316,0.4873759920634921,0.8406589396699711,0.16610322338178563
gaussian,0.1,benign,4032,Tail,False,web-attack-�-sql-injection,0.7284983992576599,infiltration,0.696744441986084,0.4721230158730158,0.8741432294878068,0.1730386312742835
gaussian,0.1,dos-hulk,380,Benign,False,benign,0.999214231967926,benign,0.9471135139465332,0.0,0.6234875037216773,0.13533299411282476
gaussian,0.1,dos-hulk,380,DoS,True,dos-hulk,0.9999107718467712,dos-hulk,0.7450677156448364,0.4981578947368421,0.7805974745785795,0.16931121618349457
gaussian,0.1,dos-hulk,380,DDoS_Scan,False,portscan,0.9936627149581909,portscan,0.98088139295578,0.46684210526315795,0.7730259416962295,0.16765847107121423
gaussian,0.1,dos-hulk,380,BruteForce,False,ssh-patator,0.9971983432769775,ssh-patator,0.9980437159538269,0.48,0.7600574080541063,0.16494672204685604
gaussian,0.1,dos-hulk,380,WebBot,False,web-attack-�-brute-force,0.6863042116165161,bot,0.7371965050697327,0.6610526315789473,0.8189393615025299,0.17744229662765537
gaussian,0.1,dos-hulk,380,Tail,False,web-attack-�-sql-injection,0.8001109957695007,infiltration,0.7056565880775452,0.445,0.8545417409251501,0.18530829995795506
gaussian,0.1,portscan,290,Benign,False,benign,0.9982419013977051,benign,0.9764459729194641,0.0,0.6080233145239246,0.1241959587693135
gaussian,0.1,portscan,290,DoS,False,dos-slowloris,0.9486332535743713,dos-goldeneye,0.7383415102958679,0.6413793103448275,0.756913102387835,0.15449838143623684
gaussian,0.1,portscan,290,DDoS_Scan,True,portscan,0.9999917149543762,portscan,0.9442647099494934,0.3617241379310345,0.8263169181183629,0.1686434711821947
gaussian,0.1,portscan,290,BruteForce,False,ssh-patator,0.9984034895896912,ssh-patator,0.9983738660812378,0.1327586206896552,0.928814072136031,0.1890284587115367
gaussian,0.1,portscan,290,WebBot,False,bot,0.913439929485321,bot,0.8591215014457703,0.2079310344827586,0.8995143940529249,0.18320441397689546
gaussian,0.1,portscan,290,Tail,False,web-attack-�-sql-injection,0.6893609166145325,web-attack-�-sql-injection,0.6834057569503784,0.46793103448275863,0.8842524573575454,0.1804293159238228
gaussian,0.1,ftp-patator,18,Benign,False,benign,0.9982870817184448,benign,0.9683035612106323,0.0,0.6130579535871289,0.13434621010433584
gaussian,0.1,ftp-patator,18,DoS,False,dos-slowloris,0.8447329998016357,dos-goldeneye,0.7485401034355164,0.6722222222222223,0.757706977194057,0.16587891510069616
gaussian,0.1,ftp-patator,18,DDoS_Scan,False,portscan,0.9928557872772217,portscan,0.9570870399475098,0.41111111111111115,0.8035975263501336,0.17602243804265394
gaussian,0.1,ftp-patator,18,BruteForce,True,ftp-patator,0.9997393488883972,ssh-patator,0.9983612895011902,0.5277777777777778,0.7367196107435926,0.1613609955380254
gaussian,0.1,ftp-patator,18,WebBot,False,web-attack-�-brute-force,0.9277614951133728,bot,0.7812126278877258,0.55,0.8224777086430238,0.180128661293398
gaussian,0.1,ftp-patator,18,Tail,False,web-attack-�-sql-injection,0.9543609619140625,web-attack-�-sql-injection,0.7027209997177124,0.26666666666666666,0.8322400977641509,0.18226277992089063
gaussian,0.1,bot,5,Benign,False,benign,0.9559530019760132,benign,0.9963822364807129,0.0,0.6219632784852209,0.1251992112185517
gaussian,0.1,bot,5,DoS,False,dos-slowloris,0.9711230397224426,dos-slowloris,0.707537055015564,0.5599999999999999,0.7742357808796734,0.15566173167993447
gaussian,0.1,bot,5,DDoS_Scan,False,ddos,0.9989496469497681,ddos,0.9777892827987671,0.5000000000000001,0.7583458495968955,0.15224427620161035
gaussian,0.1,bot,5,BruteForce,False,ssh-patator,0.9982110857963562,ssh-patator,0.9988248944282532,0.02,0.9868627101768859,0.19829821688153845
gaussian,0.1,bot,5,WebBot,True,bot,0.9987584352493286,bot,0.870255172252655,0.04,0.9365273041796824,0.1881140458902824
gaussian,0.1,bot,5,Tail,False,infiltration,0.9367480278015137,infiltration,0.6923035383224487,0.4,0.8984217394091207,0.18048251812808255
gaussian,0.2,benign,4032,Benign,True,benign,0.9987408518791199,benign,0.9888398051261902,0.0,0.9951892398353952,0.19827729184914175
gaussian,0.2,benign,4032,DoS,False,dos-slowloris,0.8154396414756775,dos-goldeneye,0.7212591767311096,0.7222222222222221,0.7531825739845812,0.14988222643788393
gaussian,0.2,benign,4032,DDoS_Scan,False,portscan,0.9930504560470581,portscan,0.9742447733879089,0.48506944444444444,0.7669952556108883,0.15255063861157164
gaussian,0.2,benign,4032,BruteForce,False,ssh-patator,0.9971503019332886,ssh-patator,0.9980846643447876,0.38412698412698415,0.8085193712088736,0.1603644046547736
gaussian,0.2,benign,4032,WebBot,False,bot,0.8163335919380188,bot,0.8180473446846008,0.49079861111111106,0.8347234617585516,0.16573405158768614
gaussian,0.2,benign,4032,Tail,False,web-attack-�-sql-injection,0.7284983992576599,infiltration,0.6950042843818665,0.4941468253968254,0.870518693037267,0.17319138685894292
gaussian,0.2,dos-hulk,380,Benign,False,benign,0.999214231967926,benign,0.9441529512405396,0.0,0.6241487975594096,0.13745022617162456
gaussian,0.2,dos-hulk,380,DoS,True,dos-hulk,0.9999107718467712,dos-hulk,0.7352203130722046,0.5876315789473685,0.7463279419450086,0.16427465491535523
gaussian,0.2,dos-hulk,380,DDoS_Scan,False,portscan,0.9936627149581909,portscan,0.980586051940918,0.4715789473684211,0.7716405856525423,0.169797804440452
gaussian,0.2,dos-hulk,380,BruteForce,False,ssh-patator,0.9971983432769775,ssh-patator,0.9980190992355347,0.48894736842105263,0.7566800601484261,0.16663474553397498
gaussian,0.2,dos-hulk,380,WebBot,False,web-attack-�-brute-force,0.6863042116165161,bot,0.7655425071716309,0.6628947368421053,0.7969932490460966,0.17512752653453453
gaussian,0.2,dos-hulk,380,Tail,False,web-attack-�-sql-injection,0.8001109957695007,infiltration,0.7011355757713318,0.46894736842105267,0.8489103472648412,0.18671504240405873
gaussian,0.2,portscan,290,Benign,False,benign,0.9982419013977051,benign,0.9789996147155762,0.0,0.6062077199325095,0.12563250870472792
gaussian,0.2,portscan,290,DoS,False,dos-slowloris,0.9486332535743713,dos-goldeneye,0.7392964363098145,0.6758620689655173,0.74439738254527,0.1541630351446722
gaussian,0.2,portscan,290,DDoS_Scan,True,portscan,0.9999917149543762,portscan,0.944090723991394,0.37482758620689655,0.8208562160531436,0.1699535918353082
gaussian,0.2,portscan,290,BruteForce,False,ssh-patator,0.9984034895896912,ssh-patator,0.998338520526886,0.19482758620689655,0.8962899222527277,0.18491350548770377
gaussian,0.2,portscan,290,WebBot,False,bot,0.913439929485321,bot,0.8568998575210571,0.23206896551724138,0.8881024282198495,0.18345611598908435
gaussian,0.2,portscan,290,Tail,False,web-attack-�-sql-injection,0.6893609166145325,web-attack-�-sql-injection,0.6833820343017578,0.48103448275862065,0.8787914107252447,0.18188124283850354
gaussian,0.2,ftp-patator,18,Benign,False,benign,0.9982870817184448,benign,0.9744429588317871,0.0,0.6096599755945529,0.1351104819891449
gaussian,0.2,ftp-patator,18,DoS,False,dos-slowloris,0.8447329998016357,dos-goldeneye,0.7391608953475952,0.711111111111111,0.7570345900077788,0.1675508516250825
gaussian,0.2,ftp-patator,18,DDoS_Scan,False,portscan,0.9928557872772217,portscan,0.9527479410171509,0.4,0.8115495301583713,0.1797314634182846
gaussian,0.2,ftp-patator,18,BruteForce,True,ftp-patator,0.9997393488883972,ssh-patator,0.9982789158821106,0.5277777777777778,0.7366439142019633,0.16312756462619105
gaussian,0.2,ftp-patator,18,WebBot,False,web-attack-�-brute-force,0.9277614951133728,bot,0.7949106097221375,0.6722222222222222,0.7768582971192852,0.17198463439013106
