class,support,mean_delta,pct_delta_negative,owner_expert
benign,454537,0.08081456175111826,1.72329205323219,Benign
dos-hulk,46025,-0.1106306749422513,89.26670287887018,DoS
portscan,31786,-0.1314569977768177,91.1690681432077,DDoS_Scan
ddos,25606,-0.17072093840210514,97.59040849800827,DDoS_Scan
dos-goldeneye,2059,-0.028094200297793966,59.154929577464785,DoS
ftp-patator,1588,-0.11670312721809983,89.04282115869017,BruteForce
ssh-patator,1179,-0.10812664158289031,80.57675996607294,BruteForce
dos-slowloris,1159,-0.09383406362296237,77.48058671268335,DoS
dos-slowhttptest,1100,-0.1204495580580011,90.54545454545455,DoS
bot,393,-0.05004505972989099,98.72773536895674,WebBot
web-attack-�-brute-force,302,-0.09218934204275955,94.70198675496688,WebBot
web-attack-�-xss,130,-0.1168583909655669,94.61538461538461,WebBot
infiltration,7,-0.06214757957783812,100.0,Tail
web-attack-�-sql-injection,4,-0.0836395229819615,100.0,Tail
heartbleed,2,-0.03401011615785782,100.0,Tail
