true_class,support,expert,owner,pred_x,conf_x,pred_xa,conf_xa,stability,tta_weight
benign,454537,Benign,True,benign,0.9988889694213867,benign,0.9901458621025085,0.9993160033392666,0.19758394559418682
benign,454537,DoS,False,dos-slowloris,0.8160287141799927,dos-goldeneye,0.7220041155815125,0.7658359886471487,0.1511887271736777
benign,454537,DDoS_Scan,False,portscan,0.9929051995277405,portscan,0.9801692366600037,0.7687726797140767,0.15146998785737756
benign,454537,BruteForce,False,ssh-patator,0.997153639793396,ssh-patator,0.9980908632278442,0.8190969598190718,0.16117379323288772
benign,454537,WebBot,False,bot,0.8172164559364319,bot,0.8075745701789856,0.8420863938158378,0.16587907237795618
benign,454537,Tail,False,web-attack-�-sql-injection,0.7312739491462708,infiltration,0.6971896886825562,0.8748953717362586,0.17270447376391396
dos-hulk,46025,Benign,False,benign,0.9990049600601196,benign,0.9499427676200867,0.7557256006361659,0.15911700856492256
dos-hulk,46025,DoS,True,dos-hulk,0.9996718764305115,dos-hulk,0.7334059476852417,0.7787363270278603,0.16373452479099831
dos-hulk,46025,DDoS_Scan,False,portscan,0.9949603080749512,portscan,0.9795005321502686,0.7785368592596668,0.1635174022357299
dos-hulk,46025,BruteForce,False,ssh-patator,0.9971968531608582,ssh-patator,0.998016893863678,0.7621545335448681,0.1602778040190298
dos-hulk,46025,WebBot,False,bot,0.6861288547515869,bot,0.735130250453949,0.8228120426706719,0.17282444622199641
dos-hulk,46025,Tail,False,web-attack-�-sql-injection,0.7951882481575012,infiltration,0.7078286409378052,0.8587482322699729,0.18052881416732303
portscan,31786,Benign,False,benign,0.9981492161750793,benign,0.9761983752250671,0.7507173496125706,0.14876290202986628
portscan,31786,DoS,False,dos-slowloris,0.9481083154678345,dos-goldeneye,0.7386625409126282,0.7546122237347183,0.1493811509791877
portscan,31786,DDoS_Scan,True,portscan,0.9999880790710449,portscan,0.9448809027671814,0.8304703444072009,0.16426545242630167
portscan,31786,BruteForce,False,ssh-patator,0.99838787317276,ssh-patator,0.9983687400817871,0.9340720123692295,0.18443031913037744
portscan,31786,WebBot,False,bot,0.9081076383590698,bot,0.8575447797775269,0.9014982239371898,0.17813123258151542
portscan,31786,Tail,False,web-attack-�-sql-injection,0.6971355080604553,web-attack-�-sql-injection,0.680252194404602,0.884451742385226,0.17502894285275147
ddos,25606,Benign,False,benign,0.9995011687278748,benign,0.9335463643074036,0.7580919093281131,0.15877257815224255
ddos,25606,DoS,False,dos-hulk,0.9837580323219299,dos-hulk,0.7899585962295532,0.7628690402420257,0.15952877379304448
ddos,25606,DDoS_Scan,True,ddos,0.9999874234199524,portscan,0.9776460528373718,0.7461998315021362,0.15581720262398718
ddos,25606,BruteForce,False,ssh-patator,0.9959855675697327,ssh-patator,0.9979645013809204,0.7637975833818775,0.1596645143314332
ddos,25606,WebBot,False,bot,0.6532571315765381,bot,0.7573347091674805,0.8420759419446117,0.17603813667617826
ddos,25606,Tail,False,infiltration,0.5608528852462769,web-attack-�-sql-injection,0.7058616280555725,0.9082694118092862,0.19017879442311436
dos-goldeneye,2059,Benign,False,benign,0.9967954754829407,benign,0.9452276229858398,0.7588766885018094,0.16021496290314668
dos-goldeneye,2059,DoS,True,dos-goldeneye,0.9994980692863464,dos-goldeneye,0.8017221093177795,0.8378149946169731,0.17673393633929899
dos-goldeneye,2059,DDoS_Scan,False,portscan,0.995972216129303,ddos,0.9847014546394348,0.7719986942763464,0.16243864138311664
dos-goldeneye,2059,BruteForce,False,ssh-patator,0.9970649480819702,ssh-patator,0.9979206919670105,0.7627293571940597,0.16089521850783367
dos-goldeneye,2059,WebBot,False,web-attack-�-xss,0.8573885560035706,bot,0.7419407963752747,0.7803186492282509,0.16450545860924443
dos-goldeneye,2059,Tail,False,web-attack-�-sql-injection,0.9488890171051025,web-attack-�-sql-injection,0.7101491093635559,0.8307866083553863,0.17521178225735953
ftp-patator,1588,Benign,False,benign,0.9972213506698608,benign,0.9563936591148376,0.7562824584833899,0.1596326706906907
ftp-patator,1588,DoS,False,dos-slowloris,0.80446857213974,dos-goldeneye,0.73585444688797,0.7793497421212217,0.16421806012970389
ftp-patator,1588,DDoS_Scan,False,portscan,0.9930016994476318,portscan,0.9585258364677429,0.805618077310004,0.1695117668187571
ftp-patator,1588,BruteForce,True,ftp-patator,0.999739408493042,ssh-patator,0.9980168342590332,0.7572926746837215,0.15927757868999298
ftp-patator,1588,WebBot,False,web-attack-�-brute-force,0.924462616443634,bot,0.7756330966949463,0.810422824916585,0.17061602318937827
ftp-patator,1588,Tail,False,web-attack-�-sql-injection,0.9525056481361389,web-attack-�-sql-injection,0.688387393951416,0.8397139888631808,0.17674390048147706
ssh-patator,1179,Benign,False,benign,0.996151328086853,benign,0.9565141797065735,0.7573852626079033,0.16212855763704087
ssh-patator,1179,DoS,False,dos-slowloris,0.8702506422996521,dos-goldeneye,0.7312452793121338,0.7348563295669533,0.15719536613622875
ssh-patator,1179,DDoS_Scan,False,portscan,0.9971534609794617,portscan,0.9732688665390015,0.7924883012170473,0.1689767917681935
ssh-patator,1179,BruteForce,True,ssh-patator,0.9997385740280151,ftp-patator,0.9978572130203247,0.7551810759082688,0.16151562251604343
ssh-patator,1179,WebBot,False,web-attack-�-brute-force,0.7945699691772461,bot,0.782694399356842,0.8002827571636252,0.1710104997244769
ssh-patator,1179,Tail,False,web-attack-�-sql-injection,0.9536008834838867,web-attack-�-sql-injection,0.7004636526107788,0.8380939613603934,0.17917316221801657
dos-slowloris,1159,Benign,False,benign,0.9962486028671265,benign,0.925722062587738,0.7676711146049533,0.16246506748232697
dos-slowloris,1159,DoS,True,dos-slowloris,0.9973350763320923,dos-slowloris,0.7730831503868103,0.7766914901487016,0.1641253845919177
dos-slowloris,1159,DDoS_Scan,False,portscan,0.9930734634399414,portscan,0.9618331789970398,0.7971732926738436,0.1681779632261342
dos-slowloris,1159,BruteForce,False,ssh-patator,0.9974991083145142,ftp-patator,0.9980063438415527,0.7580209794582637,0.16029382470704404
dos-slowloris,1159,WebBot,False,web-attack-�-brute-force,0.7842947840690613,bot,0.7526192665100098,0.8029540095771764,0.16969164103657486
dos-slowloris,1159,Tail,False,web-attack-�-sql-injection,0.9426353573799133,infiltration,0.7079248428344727,0.8289706179736783,0.1752461189560022
dos-slowhttptest,1100,Benign,False,benign,0.9929136037826538,benign,0.9338805079460144,0.7673028690168778,0.1630238138571305
dos-slowhttptest,1100,DoS,True,dos-slowhttptest,0.9971342086791992,dos-slowhttptest,0.7550468444824219,0.7523287102354261,0.15970295754604003
dos-slowhttptest,1100,DDoS_Scan,False,portscan,0.9965476393699646,portscan,0.9716195464134216,0.7954702928525348,0.16842998315324528
dos-slowhttptest,1100,BruteForce,False,ssh-patator,0.9976000785827637,ssh-patator,0.998034656047821,0.7572783449231065,0.16079865023997947
dos-slowhttptest,1100,WebBot,False,web-attack-�-brute-force,0.7659739851951599,bot,0.7289184927940369,0.8138710402356991,0.17262905000445364
dos-slowhttptest,1100,Tail,False,web-attack-�-sql-injection,0.941097617149353,infiltration,0.7193231582641602,0.8265231681954603,0.17541554519915106
bot,393,Benign,False,benign,0.8886023163795471,benign,0.9938419461250305,0.8226895798655564,0.15836863603787213
bot,393,DoS,False,dos-slowloris,0.9009116888046265,dos-goldeneye,0.7041510939598083,0.7679013220764173,0.14798504797038975
bot,393,DDoS_Scan,False,ddos,0.9979490041732788,portscan,0.9645311236381531,0.7625465366004334,0.14649953959665699
bot,393,BruteForce,False,ssh-patator,0.9987282156944275,ssh-patator,0.998627781867981,0.9977823055664566,0.1923539547182443
bot,393,WebBot,True,bot,0.9984278678894043,bot,0.8719345927238464,0.9480692297653065,0.18268376351295176
bot,393,Tail,False,infiltration,0.9353620409965515,infiltration,0.6656984686851501,0.8934257553619149,0.17210905816388508
web-attack-�-brute-force,302,Benign,False,benign,0.9818682074546814,benign,0.9217438101768494,0.7815514270640456,0.1626612129815504
web-attack-�-brute-force,302,DoS,False,dos-slowhttptest,0.8050618171691895,dos-goldeneye,0.6581737995147705,0.8159365132388077,0.16973682433509266
web-attack-�-brute-force,302,DDoS_Scan,False,portscan,0.9993447661399841,portscan,0.9413831830024719,0.8279536885474554,0.1718707750582016
web-attack-�-brute-force,302,BruteForce,False,ssh-patator,0.9994397759437561,ssh-patator,0.9977549314498901,0.7545709345980431,0.15688474998805063
web-attack-�-brute-force,302,WebBot,True,web-attack-�-brute-force,0.7420884966850281,bot,0.7548331022262573,0.796320328038005,0.16549730154084383
web-attack-�-brute-force,302,Tail,False,web-attack-�-sql-injection,0.9526146650314331,web-attack-�-sql-injection,0.6972478628158569,0.833585403386476,0.17334913609626088
web-attack-�-xss,130,Benign,False,benign,0.9781352877616882,benign,0.9333768486976624,0.7895689525094485,0.1632510475226792
web-attack-�-xss,130,DoS,False,dos-slowhttptest,0.7840855717658997,dos-slowhttptest,0.6876611709594727,0.8178828203269211,0.16900851510612322
web-attack-�-xss,130,DDoS_Scan,False,portscan,0.9994663000106812,portscan,0.9482354521751404,0.8449112619825118,0.17421832996407613
web-attack-�-xss,130,BruteForce,False,ssh-patator,0.9996140599250793,ssh-patator,0.9981041550636292,0.7520939799723536,0.15534799150198547
web-attack-�-xss,130,WebBot,True,web-attack-�-xss,0.6744044423103333,bot,0.7414065599441528,0.7911337223648585,0.16339178200909668
web-attack-�-xss,130,Tail,False,web-attack-�-sql-injection,0.9522490501403809,web-attack-�-sql-injection,0.6861964464187622,0.8460063012331746,0.17478233389603937
infiltration,7,Benign,False,benign,0.8938107490539551,benign,0.9057546257972717,0.8397805794695203,0.171962626787834
infiltration,7,DoS,False,dos-slowloris,0.6428178548812866,dos-goldeneye,0.6128047108650208,0.8182525236647857,0.16761432795419134
