class,support,prec(B),prec(M),recall(B),recall(M),f1(B),f1(M),delta_f1
benign,454537,0.9999713636834233,0.9999647549921249,0.9987217762250378,0.9987063759385925,0.999346179331782,0.9993351693226873,-1.1010009094758466e-05
dos-hulk,46025,0.9978739098364212,0.9978306614313296,0.999369907658881,0.9993916349809886,0.9986213484731705,0.9986105381993443,-1.0810273826211692e-05
portscan,31786,0.9935899440292674,0.9935899440292674,0.9996853960863273,0.9996853960863273,0.9966283500870357,0.9966283500870357,0.0
ddos,25606,0.999336507688705,0.999219512195122,0.9999609466531282,0.9999609466531282,0.999648629655657,0.9995900919365228,-5.853771913422179e-05
dos-goldeneye,2059,0.9804482594182165,0.9809160305343512,0.9985429820301117,0.9985429820301117,0.9894128970163619,0.9896510228640193,0.00023812584765736666
ftp-patator,1588,0.9993702770780857,0.9993702770780857,0.9993702770780857,0.9993702770780857,0.9993702770780857,0.9993702770780857,0.0
ssh-patator,1179,0.9991525423728813,0.9991525423728813,1.0,1.0,0.9995760915642221,0.9995760915642221,0.0
dos-slowloris,1159,0.9813084112149533,0.9838022165387894,0.996548748921484,0.9956859361518551,0.9888698630136986,0.9897084048027445,0.0008385417890458546
dos-slowhttptest,1100,0.983754512635379,0.9828828828828828,0.990909090909091,0.9918181818181818,0.9873188405797102,0.9873303167420815,1.1476162371293341e-05
bot,393,0.6582064297800339,0.6548821548821548,0.989821882951654,0.989821882951654,0.790650406504065,0.7882472137791287,-0.002403192724936387
web-attack-�-brute-force,302,0.7598566308243727,0.7720588235294118,0.7019867549668874,0.695364238410596,0.729776247848537,0.7317073170731707,0.001931069224633708
web-attack-�-xss,130,0.384180790960452,0.3901098901098901,0.5230769230769231,0.5461538461538461,0.44299674267100975,0.4551282051282051,0.012131462457195374
infiltration,7,0.875,0.875,1.0,1.0,0.9333333333333333,0.9333333333333333,0.0
web-attack-�-sql-injection,4,0.25,0.25,0.25,0.25,0.25,0.25,0.0
heartbleed,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
macro avg,565877,0.8574699719681461,0.8585853127050861,0.8965329791038407,0.8976334465502245,0.8737032804771113,0.8745477554607055,0.00084447498359419
weighted avg,565877,0.9987555980715226,0.9987521589571081,0.9985897995500789,0.9985809637076608,0.9986450883045355,0.9986374712727845,-7.6170317510060315e-06
