class,support,prec(B),prec(M),recall(B),recall(M),f1(B),f1(M),delta_f1
benign,454537,0.9999713636834233,0.9999647552250379,0.9987217762250378,0.9987129760613548,0.999346179331782,0.999338473646265,-7.705685517001015e-06
dos-hulk,46025,0.9978739098364212,0.9978523082263103,0.999369907658881,0.9993916349809886,0.9986213484731705,0.9986213784044897,2.993131920092651e-08
portscan,31786,0.9935899440292674,0.9935899440292674,0.9996853960863273,0.9996853960863273,0.9966283500870357,0.9966283500870357,0.0
ddos,25606,0.999336507688705,0.999219512195122,0.9999609466531282,0.9999609466531282,0.999648629655657,0.9995900919365228,-5.853771913422179e-05
dos-goldeneye,2059,0.9804482594182165,0.9809160305343512,0.9985429820301117,0.9985429820301117,0.9894128970163619,0.9896510228640193,0.00023812584765736666
ftp-patator,1588,0.9993702770780857,0.9993702770780857,0.9993702770780857,0.9993702770780857,0.9993702770780857,0.9993702770780857,0.0
ssh-patator,1179,0.9991525423728813,0.9991525423728813,1.0,1.0,0.9995760915642221,0.9995760915642221,0.0
dos-slowloris,1159,0.9813084112149533,0.9838022165387894,0.996548748921484,0.9956859361518551,0.9888698630136986,0.9897084048027445,0.0008385417890458546
dos-slowhttptest,1100,0.983754512635379,0.9828828828828828,0.990909090909091,0.9918181818181818,0.9873188405797102,0.9873303167420815,1.1476162371293341e-05
bot,393,0.6582064297800339,0.6559865092748736,0.989821882951654,0.989821882951654,0.790650406504065,0.7890466531440162,-0.0016037533600488096
web-attack-�-brute-force,302,0.7598566308243727,0.7692307692307693,0.7019867549668874,0.695364238410596,0.729776247848537,0.7304347826086957,0.0006585347601586466
web-attack-�-xss,130,0.384180790960452,0.3888888888888889,0.5230769230769231,0.5384615384615384,0.44299674267100975,0.45161290322580644,0.008616160554796692
infiltration,7,0.875,0.875,1.0,1.0,0.9333333333333333,0.9333333333333333,0.0
web-attack-�-sql-injection,4,0.25,0.25,0.25,0.25,0.25,0.25,0.0
heartbleed,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
macro avg,565877,0.8574699719681461,0.8583904424318174,0.8965329791038407,0.8971210660455882,0.8737032804771113,0.8742828052958213,0.0005795248187099311
weighted avg,565877,0.9987555980715226,0.9987528969413801,0.9985897995500789,0.9985844980446281,0.9986450883045355,0.998640075624583,-5.0126799524541354e-06
