class,support,prec(B),prec(M),recall(B),recall(M),f1(B),f1(M),delta_f1
benign,454537,0.9999713636834233,0.9999602419937315,0.9987217762250378,0.9960047256878978,0.999346179331782,0.9979785644059801,-0.001367614925801952
dos-hulk,46025,0.9978739098364212,0.9896487905655504,0.999369907658881,0.9991743617599131,0.9986213484731705,0.9943887645551556,-0.004232583918014954
portscan,31786,0.9935899440292674,0.9930592465218071,0.9996853960863273,0.9992764109985528,0.9966283500870357,0.9961581283028336,-0.00047022178420208505
ddos,25606,0.999336507688705,0.9979342869392368,0.9999609466531282,0.9999218933062564,0.999648629655657,0.9989271014181769,-0.0007215282374801735
dos-goldeneye,2059,0.9804482594182165,0.9666196520921486,0.9985429820301117,0.9985429820301117,0.9894128970163619,0.9823220258002867,-0.007090871216075212
ftp-patator,1588,0.9993702770780857,0.9485953377166766,0.9993702770780857,0.9993702770780857,0.9993702770780857,0.9733210671573137,-0.026049209920771976
ssh-patator,1179,0.9991525423728813,0.9816819317235637,1.0,1.0,0.9995760915642221,0.9907563025210084,-0.008819789043213677
dos-slowloris,1159,0.9813084112149533,0.9722222222222222,0.996548748921484,0.996548748921484,0.9888698630136986,0.9842351938645079,-0.004634669149190751
dos-slowhttptest,1100,0.983754512635379,0.9388458225667528,0.990909090909091,0.990909090909091,0.9873188405797102,0.9641751437417072,-0.02314369683800299
bot,393,0.6582064297800339,0.35152057245080504,0.989821882951654,1.0,0.790650406504065,0.5201853077432164,-0.2704650987608487
web-attack-�-brute-force,302,0.7598566308243727,0.7509157509157509,0.7019867549668874,0.6788079470198676,0.729776247848537,0.7130434782608696,-0.01673276958766745
web-attack-�-xss,130,0.384180790960452,0.29545454545454547,0.5230769230769231,0.6,0.44299674267100975,0.39593908629441626,-0.04705765637659348
infiltration,7,0.875,0.6363636363636364,1.0,1.0,0.9333333333333333,0.7777777777777778,-0.15555555555555556
web-attack-�-sql-injection,4,0.25,0.1111111111111111,0.25,0.25,0.25,0.15384615384615385,-0.09615384615384615
heartbleed,2,1.0,0.6666666666666666,1.0,1.0,1.0,0.8,-0.19999999999999996
macro avg,565877,0.8574699719681461,0.7733733210202803,0.8965329791038407,0.9005704291807507,0.8737032804771113,0.8162036063792937,-0.057499674097817643
weighted avg,565877,0.9987555980715226,0.9974060519086598,0.9985897995500789,0.9963790717770823,0.9986450883045355,0.9967605980524061,-0.0018844902521293339
