true_class,support,all_reject_rate,DoS_DDoS_accept_rate,DoS_DDoS_selected_rate,DoS_DDoS_margin,DoS_DDoS_stability,Scan_Brute_accept_rate,Scan_Brute_selected_rate,Scan_Brute_margin,Scan_Brute_stability,WebBot_Rare_accept_rate,WebBot_Rare_selected_rate,WebBot_Rare_margin,WebBot_Rare_stability
benign,454537,0.9980111630076319,8.36015549889228e-05,8.36015549889228e-05,-80.44585418701172,0.5814151167869568,0.0004136076931030917,0.0004136076931030917,-72.59851837158203,0.9479255676269531,0.0014916277442760435,0.0014916277442760435,-8.775660514831543,0.6119285821914673
bot,393,0.002544529262086514,0.0,0.0,-80.52511596679688,0.6363756060600281,0.0,0.0,-72.61957550048828,0.976180911064148,0.9974554707379135,0.9974554707379135,5.299314022064209,0.9926295876502991
ddos,25606,0.0019136139967195188,0.9980863860032805,0.9980863860032805,0.8613041043281555,0.7594013214111328,0.0,0.0,-72.6406478881836,0.9436510801315308,0.0,0.0,-8.855480194091797,0.5245087146759033
dos-goldeneye,2059,0.04031083050024284,0.9592034968431278,0.9485186983972802,0.6600178480148315,0.9733538031578064,0.0,0.0,-72.5569839477539,0.9657050371170044,0.011656143759106362,0.011170471102476931,-8.290440559387207,0.40335172414779663
dos-hulk,46025,0.011754481260184682,0.9882237914177078,0.9882237914177078,0.8249673247337341,0.762495756149292,0.0,0.0,-72.5509262084961,0.955512285232544,2.1727322107550245e-05,2.1727322107550245e-05,-8.8090181350708,0.5008672475814819
dos-slowhttptest,1100,0.07272727272727272,0.9181818181818182,0.9181818181818182,0.15892846882343292,0.7864457964897156,0.0,0.0,-72.5630874633789,0.9691140055656433,0.00909090909090909,0.00909090909090909,-8.227449417114258,0.4346432089805603
dos-slowloris,1159,0.023295944779982744,0.9732528041415013,0.9732528041415013,0.2785108983516693,0.7332121133804321,0.0,0.0,-72.56619262695312,0.9610310196876526,0.003451251078515962,0.003451251078515962,-8.586509704589844,0.400134801864624
ftp-patator,1588,0.005667506297229219,0.0,0.0,-80.44939422607422,0.5988147854804993,0.9937027707808564,0.9937027707808564,0.15868477523326874,0.387912780046463,0.0006297229219143577,0.0006297229219143577,-8.840068817138672,0.3655436933040619
heartbleed,2,0.0,0.0,0.0,-80.22067260742188,0.7928676605224609,0.0,0.0,-72.63379669189453,0.9538096189498901,1.0,1.0,4.925869941711426,0.5363925099372864
infiltration,7,0.0,0.0,0.0,-80.52239227294922,0.6720129251480103,0.0,0.0,-72.63996887207031,0.9836309552192688,1.0,1.0,5.211192607879639,0.8649613261222839
portscan,31786,0.008651607625998868,0.00012584156546907444,0.00012584156546907444,-80.49614715576172,0.5583404898643494,0.9910652488516957,0.9910652488516957,0.1842462420463562,0.9756933450698853,0.00015730195683634303,0.00015730195683634303,-8.829007148742676,0.8279784917831421
ssh-patator,1179,0.01441899915182358,0.0,0.0,-80.51592254638672,0.6972248554229736,0.9855810008481765,0.9855810008481765,0.14757320284843445,0.9533590078353882,0.0,0.0,-8.22167682647705,0.46907997131347656
web-attack-�-brute-force,302,0.0033112582781456954,0.0,0.0,-78.68098449707031,0.7229686975479126,0.0,0.0,-69.51514434814453,0.972990095615387,0.9966887417218543,0.9966887417218543,5.344092845916748,0.5045837759971619
web-attack-�-sql-injection,4,0.0,0.25,0.0,-40.30760192871094,0.8450572490692139,0.0,0.0,-71.99718475341797,0.9462945461273193,1.0,1.0,4.600221157073975,0.38442501425743103
web-attack-�-xss,130,0.007692307692307693,0.0,0.0,-77.34149932861328,0.6752005815505981,0.0,0.0,-70.02043151855469,0.9772963523864746,0.9923076923076923,0.9923076923076923,5.174567222595215,0.4957996606826782
