true_class,pred_class,selected_expert,reason,DoS_DDoS_accept,Scan_Brute_accept,WebBot_Rare_accept,DoS_DDoS_margin,Scan_Brute_margin,WebBot_Rare_margin,DoS_DDoS_stability,Scan_Brute_stability,WebBot_Rare_stability
web-attack-�-brute-force,web-attack-�-xss,WebBot_Rare,only_accept,False,False,True,-9.440913200378418,-5.087128162384033,0.2720194458961487,0.4021236300468445,0.8800042271614075,0.5601620674133301
bot,bot,WebBot_Rare,meta_router,False,True,True,-18.049884796142578,1.4095125198364258,2.223659038543701,0.49918994307518005,0.996036171913147,0.9999868273735046
web-attack-�-brute-force,benign,,benign_binary,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0
web-attack-�-brute-force,web-attack-�-brute-force,WebBot_Rare,only_accept,False,False,True,-29.49082374572754,-18.208568572998047,0.8665632009506226,0.7244086861610413,0.927258312702179,0.9957133531570435
bot,bot,WebBot_Rare,meta_router,False,True,True,-18.049884796142578,1.4095125198364258,2.223659038543701,0.49918994307518005,0.9970234036445618,0.9961613416671753
bot,benign,,benign_binary,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0
web-attack-�-xss,web-attack-�-brute-force,WebBot_Rare,only_accept,False,False,True,-9.440913200378418,-6.003196716308594,0.08660160005092621,0.20703351497650146,0.9170016050338745,0.9631305932998657
web-attack-�-brute-force,web-attack-�-brute-force,WebBot_Rare,only_accept,False,False,True,-5.875492095947266,-6.003196716308594,0.03444826975464821,0.37713587284088135,0.9421765208244324,0.9326245188713074
bot,bot,WebBot_Rare,only_accept,False,False,True,-12.301307678222656,-16.140958786010742,2.1660497188568115,0.3225535750389099,0.9416014552116394,0.996026337146759
web-attack-�-brute-force,web-attack-�-brute-force,WebBot_Rare,only_accept,False,False,True,-2.024630308151245,-6.593251705169678,1.444596529006958,0.9630721211433411,0.964349091053009,0.9959081411361694
web-attack-�-brute-force,web-attack-�-brute-force,WebBot_Rare,only_accept,False,False,True,-21.245397567749023,-18.208568572998047,0.8144146800041199,0.5215370655059814,0.9157781600952148,0.9779678583145142
web-attack-�-brute-force,web-attack-�-brute-force,WebBot_Rare,only_accept,False,False,True,-9.464834213256836,-6.003196716308594,0.11936604976654053,0.17101240158081055,0.9425445795059204,0.9427422285079956
web-attack-�-brute-force,benign,,benign_binary,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0
web-attack-�-brute-force,web-attack-�-xss,WebBot_Rare,only_accept,False,False,True,-9.172894477844238,-6.003196716308594,0.020030684769153595,0.3481678068637848,0.932212233543396,0.8551146388053894
bot,bot,WebBot_Rare,meta_router,False,True,True,-17.86991310119629,1.4095125198364258,2.223689317703247,0.5622100234031677,0.9945687055587769,0.9885360598564148
bot,benign,,benign_binary,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0
bot,bot,WebBot_Rare,meta_router,False,True,True,-18.049884796142578,1.4095125198364258,2.223659038543701,0.5161892771720886,0.9957960247993469,0.9999868273735046
bot,bot,WebBot_Rare,only_accept,False,False,True,-9.025594711303711,-16.140958786010742,2.1660497188568115,0.49194350838661194,0.9536089897155762,0.9960273504257202
web-attack-�-brute-force,web-attack-�-brute-force,WebBot_Rare,only_accept,False,False,True,-9.464834213256836,-6.003196716308594,0.06789126247167587,0.3439423739910126,0.90031898021698,0.8967350125312805
web-attack-�-brute-force,web-attack-�-brute-force,WebBot_Rare,only_accept,False,False,True,-0.9437860250473022,-9.117393493652344,0.7631163597106934,0.9799038767814636,0.9347330927848816,0.9949421882629395
web-attack-�-xss,benign,,all_reject,False,False,False,-7.923223495483398,-6.347193717956543,-0.11890936642885208,0.8521541357040405,0.9742253422737122,0.5825943946838379
web-attack-�-brute-force,benign,,all_reject,False,False,False,-5.655074596405029,-5.087128162384033,-0.01886080391705036,0.34636303782463074,0.9159682989120483,0.8945937156677246
web-attack-�-xss,web-attack-�-brute-force,WebBot_Rare,only_accept,False,False,True,-9.440913200378418,-6.003196716308594,0.17310591042041779,0.2809871733188629,0.916265606880188,0.9382649660110474
web-attack-�-xss,benign,,all_reject,False,False,False,-8.016634941101074,-6.479209899902344,-0.20057412981987,0.8770168423652649,0.983673095703125,0.5866137742996216
bot,portscan,Scan_Brute,meta_router,False,True,True,-24.883174896240234,0.013055361807346344,2.169942617416382,0.42425984144210815,0.8978360891342163,0.9955717325210571
web-attack-�-brute-force,web-attack-�-brute-force,WebBot_Rare,only_accept,False,False,True,-0.9437860250473022,-6.871026992797852,0.9278192520141602,0.9890750050544739,0.9039163589477539,0.991674542427063
bot,portscan,Scan_Brute,meta_router,False,True,True,-24.437496185302734,0.013055361807346344,2.124436140060425,0.7408452033996582,0.9375136494636536,0.9976472854614258
web-attack-�-brute-force,benign,,all_reject,False,False,False,-9.440913200378418,-6.0030951499938965,-0.12180061638355255,0.31620654463768005,0.9581218957901001,0.836208701133728
web-attack-�-brute-force,web-attack-�-brute-force,WebBot_Rare,only_accept,False,False,True,-9.464834213256836,-5.087128162384033,0.07524076849222183,0.37831777334213257,0.9839730262756348,0.9321384429931641
bot,portscan,Scan_Brute,meta_router,False,True,True,-24.883174896240234,0.013055361807346344,2.1699790954589844,0.47215476632118225,0.921475887298584,0.9976434707641602
bot,benign,,benign_binary,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0
bot,bot,WebBot_Rare,only_accept,False,False,True,-12.149036407470703,-16.140958786010742,2.1661174297332764,0.27824991941452026,0.9536089897155762,0.9953615069389343
bot,bot,WebBot_Rare,only_accept,False,False,True,-9.025446891784668,-16.140958786010742,2.1660497188568115,0.3793387711048126,0.9359872937202454,0.9979109764099121
web-attack-�-xss,web-attack-�-xss,WebBot_Rare,only_accept,False,False,True,-3.4538958072662354,-14.929499626159668,1.1406797170639038,0.24215015769004822,0.9694207906723022,0.3906068503856659
bot,bot,WebBot_Rare,only_accept,False,False,True,-9.025446891784668,-16.140958786010742,2.1661620140075684,0.5538963079452515,0.9984422922134399,0.9927488565444946
web-attack-�-xss,web-attack-�-xss,WebBot_Rare,only_accept,False,False,True,-9.440913200378418,-6.003196716308594,0.11414062231779099,0.17607393860816956,0.9222478866577148,0.8198509216308594
bot,benign,,benign_binary,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0
web-attack-�-brute-force,web-attack-�-brute-force,WebBot_Rare,only_accept,False,False,True,-9.464834213256836,-5.087128162384033,0.11073214560747147,0.13997231423854828,0.9419605135917664,0.9274474382400513
web-attack-�-brute-force,web-attack-�-brute-force,WebBot_Rare,only_accept,False,False,True,-5.481442928314209,-5.087128162384033,0.022998008877038956,0.3205878734588623,0.9480088353157043,0.8435781598091125
web-attack-�-brute-force,web-attack-�-brute-force,WebBot_Rare,only_accept,False,False,True,-9.464834213256836,-5.087128162384033,0.16859328746795654,0.2083091288805008,0.9059964418411255,0.946489155292511
bot,bot,WebBot_Rare,meta_router,False,True,True,-18.049884796142578,1.4095125198364258,2.223708391189575,0.5955476760864258,0.996036171913147,0.9999881982803345
web-attack-�-brute-force,web-attack-�-brute-force,WebBot_Rare,only_accept,False,False,True,-9.440913200378418,-5.087128162384033,0.15303170680999756,0.2802422046661377,0.9480088353157043,0.9507969617843628
web-attack-�-brute-force,benign,,all_reject,False,False,False,-9.464834213256836,-5.087128162384033,-0.00413889903575182,0.27622926235198975,0.9259403347969055,0.8016592860221863
bot,bot,WebBot_Rare,meta_router,False,True,True,-18.049884796142578,1.4095125198364258,2.2237021923065186,0.5955476760864258,0.9962762594223022,0.9923521280288696
web-attack-�-brute-force,web-attack-�-brute-force,WebBot_Rare,only_accept,False,False,True,-9.440913200378418,-6.003196716308594,0.3106788992881775,0.38372695446014404,0.9425445795059204,0.920018196105957
web-attack-�-brute-force,web-attack-�-brute-force,WebBot_Rare,only_accept,False,False,True,-9.464834213256836,-5.087128162384033,0.3314683139324188,0.37852615118026733,0.9319885969161987,0.9395768046379089
web-attack-�-brute-force,web-attack-�-xss,WebBot_Rare,only_accept,False,False,True,-9.440913200378418,-6.003196716308594,0.1948958933353424,0.38372698426246643,0.9680874943733215,0.8909818530082703
bot,bot,WebBot_Rare,meta_router,False,True,True,-18.049884796142578,1.4095125198364258,2.223668336868286,0.4991227984428406,0.9935815930366516,0.9923378229141235
bot,bot,WebBot_Rare,only_accept,False,False,True,-9.05988597869873,-16.140958786010742,2.1660497188568115,0.7174034714698792,0.9447981119155884,0.9941339492797852
bot,bot,WebBot_Rare,meta_router,False,True,True,-19.412513732910156,1.4095125198364258,2.223659038543701,0.6302140951156616,0.9943286180496216,0.9961625337600708
bot,benign,,benign_binary,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0
bot,portscan,Scan_Brute,meta_router,False,True,True,-24.883174896240234,0.013055361807346344,2.169942617416382,0.47215476632118225,0.8826319575309753,0.9976345300674438
bot,bot,WebBot_Rare,only_accept,False,False,True,-9.02546215057373,-12.797794342041016,2.1660871505737305,0.3787876069545746,0.9151105880737305,0.9979270100593567
web-attack-�-xss,web-attack-�-xss,WebBot_Rare,only_accept,False,False,True,-9.440913200378418,-6.003196716308594,0.08992283791303635,0.38372695446014404,0.9265978932380676,0.8522285223007202
bot,bot,WebBot_Rare,only_accept,False,False,True,-9.025594711303711,-16.140958786010742,2.166053295135498,0.2776985764503479,0.9568055868148804,0.9979205131530762
bot,bot,WebBot_Rare,meta_router,False,True,True,-18.049884796142578,1.4095125198364258,2.223675012588501,0.4991227984428406,0.9972635507583618,0.9923399686813354
web-attack-�-brute-force,web-attack-�-xss,WebBot_Rare,only_accept,False,False,True,-9.440913200378418,-6.003196716308594,0.08977904170751572,0.3477560877799988,0.932212233543396,0.8475226163864136
web-attack-�-xss,web-attack-�-xss,WebBot_Rare,only_accept,False,False,True,-9.172894477844238,-6.003196716308594,0.02658751793205738,0.24021825194358826,0.8803903460502625,0.8328234553337097
web-attack-�-xss,web-attack-�-xss,WebBot_Rare,only_accept,False,False,True,-9.440913200378418,-5.087128162384033,0.023195777088403702,0.40273967385292053,0.9059964418411255,0.8083413243293762
web-attack-�-brute-force,web-attack-�-brute-force,WebBot_Rare,only_accept,False,False,True,-1.9980504512786865,-6.462505340576172,1.2394617795944214,0.972399115562439,0.9719381332397461,0.9921048879623413
web-attack-�-brute-force,web-attack-�-brute-force,WebBot_Rare,only_accept,False,False,True,-9.440913200378418,-6.003196716308594,0.0686323493719101,0.20852084457874298,0.9361942410469055,0.9194442629814148
web-attack-�-brute-force,web-attack-�-brute-force,WebBot_Rare,only_accept,False,False,True,-9.464834213256836,-5.087128162384033,0.3071332275867462,0.27622923254966736,0.8899761438369751,0.9159512519836426
bot,bot,WebBot_Rare,meta_router,False,True,True,-18.049884796142578,1.4095125198364258,2.223658561706543,0.5955476760864258,0.9972634315490723,0.9999880790710449
bot,bot,WebBot_Rare,only_accept,False,False,True,-9.025594711303711,-16.140958786010742,2.1660497188568115,0.5031013488769531,0.9447981119155884,0.9979193806648254
bot,bot,WebBot_Rare,only_accept,False,False,True,-9.025594711303711,-16.140958786010742,2.1660361289978027,0.4411717355251312,0.9656164050102234,0.9998122453689575
web-attack-�-brute-force,web-attack-�-brute-force,WebBot_Rare,only_accept,False,False,True,-0.9495108127593994,-9.118072509765625,0.9438022971153259,0.9896184802055359,0.9350364804267883,0.9935308694839478
web-attack-�-xss,web-attack-�-xss,WebBot_Rare,only_accept,False,False,True,-9.440913200378418,-5.087037086486816,0.06315597146749496,0.3495771288871765,0.9679519534111023,0.8402617573738098
web-attack-�-xss,web-attack-�-xss,WebBot_Rare,only_accept,False,False,True,-9.172894477844238,-5.087128162384033,0.17428694665431976,0.2972939610481262,0.9480088353157043,0.787625789642334
bot,bot,WebBot_Rare,only_accept,False,False,True,-12.149036407470703,-16.818117141723633,2.1398940086364746,0.5303470492362976,0.9574583768844604,0.994972825050354
web-attack-�-brute-force,web-attack-�-xss,WebBot_Rare,only_accept,False,False,True,-5.875492095947266,-5.087037086486816,0.006954660639166832,0.38009199500083923,0.9839723706245422,0.785202145576477
web-attack-�-brute-force,web-attack-�-brute-force,WebBot_Rare,only_accept,False,False,True,-9.440913200378418,-6.003196716308594,0.2175821214914322,0.2429671287536621,0.9329482316970825,0.9684914350509644
web-attack-�-xss,web-attack-�-brute-force,WebBot_Rare,only_accept,False,False,True,-9.440913200378418,-6.003196716308594,0.02509479410946369,0.20703351497650146,0.9162656664848328,0.8775115013122559
bot,bot,WebBot_Rare,only_accept,False,False,True,-9.026351928710938,-16.140958786010742,2.166072368621826,0.390348345041275,0.9327906370162964,0.9941463470458984
bot,bot,WebBot_Rare,only_accept,False,False,True,-12.88443374633789,-15.142444610595703,2.1398940086364746,0.3571935296058655,0.9441187977790833,0.997393012046814
bot,bot,WebBot_Rare,only_accept,False,False,True,-12.884926795959473,-15.142444610595703,2.1398940086364746,0.3631341755390167,0.9282800555229187,0.997393786907196
web-attack-�-xss,web-attack-�-xss,WebBot_Rare,only_accept,False,False,True,-5.875492095947266,-6.003196716308594,0.1310081034898758,0.33468836545944214,0.9222478866577148,0.914279580116272
web-attack-�-xss,web-attack-�-xss,WebBot_Rare,only_accept,False,False,True,-5.875492095947266,-6.003196716308594,0.17084701359272003,0.3392907977104187,0.9481589198112488,0.9007234573364258
bot,portscan,Scan_Brute,meta_router,False,True,True,-24.883174896240234,0.013055361807346344,2.169942617416382,0.48729515075683594,0.8750299215316772,0.9935039281845093
web-attack-�-xss,web-attack-�-xss,WebBot_Rare,only_accept,False,False,True,-5.875492095947266,-6.003196716308594,0.06546904891729355,0.38634079694747925,0.9262299537658691,0.9170869588851929
web-attack-�-xss,web-attack-�-xss,WebBot_Rare,only_accept,False,False,True,-9.172894477844238,-5.087128162384033,0.059851665049791336,0.351375013589859,0.9159682989120483,0.7871309518814087
