true_class,support,benign_gate_rate,all_reject_rate,DoS_DDoS_accept_rate,DoS_DDoS_selected_rate,DoS_DDoS_margin,DoS_DDoS_stability,Scan_Brute_accept_rate,Scan_Brute_selected_rate,Scan_Brute_margin,Scan_Brute_stability,WebBot_Rare_accept_rate,WebBot_Rare_selected_rate,WebBot_Rare_margin,WebBot_Rare_stability
benign,454537,0.9849539201429146,0.0029766553657898038,0.006413119284018683,0.006078713064062991,-0.057313017547130585,0.007564293220639229,0.0024684459130939833,0.0016544307724123668,-0.17698626220226288,0.013418272137641907,0.010751599979759623,0.0043362806548201795,0.010621123015880585,0.010743373073637486
bot,393,0.022900763358778626,0.0,0.26717557251908397,0.0,-6.7252516746521,0.5047348141670227,0.5826972010178118,0.15776081424936386,-5.304188251495361,0.931115984916687,0.9745547073791349,0.8193384223918575,2.5345144271850586,0.9721222519874573
ddos,25606,3.9053346871826916e-05,0.0,0.9996875732250254,0.9995704131844099,10.638745307922363,0.340439110994339,0.0,0.0,-11.48747444152832,0.9232816696166992,0.9998828399593845,0.00039053346871826915,1.6590118408203125,0.6028740406036377
dos-goldeneye,2059,0.0,0.00048567265662943174,0.9912578921806702,0.9912578921806702,10.111054420471191,0.9357419013977051,0.0,0.0,-10.773293495178223,0.9441723227500916,0.779504613890238,0.00825643516270034,0.3364384174346924,0.7595379948616028
dos-hulk,46025,0.0,0.00032590983161325367,0.9978707224334601,0.997827267789245,10.280377388000488,0.6571281552314758,0.00010863661053775122,4.345464421510049e-05,-12.317486763000488,0.9408040642738342,0.7186746333514394,0.0018033677349266702,1.0230375528335571,0.7782340049743652
dos-slowhttptest,1100,0.0009090909090909091,0.0018181818181818182,0.99,0.99,9.445901870727539,0.5129033327102661,0.0,0.0,-9.744391441345215,0.9408589601516724,0.8727272727272727,0.007272727272727273,0.35975202918052673,0.9496551156044006
dos-slowloris,1159,0.001725625539257981,0.0008628127696289905,0.9792924935289042,0.9784296807592753,8.20363998413086,0.528657078742981,0.0,0.0,-10.306790351867676,0.934289813041687,0.9551337359792925,0.01898188093183779,0.5752778053283691,0.8766905665397644
ftp-patator,1588,0.0,0.0,0.5100755667506297,0.0012594458438287153,-4.268584251403809,0.503905713558197,0.9943324937027708,0.9943324937027708,-0.014934009872376919,0.2535644769668579,0.49181360201511337,0.004408060453400504,-0.007506716530770063,0.8986401557922363
heartbleed,2,0.0,0.0,0.0,0.0,-2.020688056945801,0.7256361842155457,0.0,0.0,-8.118830680847168,0.9344350099563599,1.0,1.0,2.454056739807129,0.29958051443099976
infiltration,7,0.0,0.0,0.42857142857142855,0.0,0.6532377004623413,0.7501150369644165,0.8571428571428571,0.0,0.5417693853378296,0.9912664294242859,1.0,1.0,2.1125502586364746,0.9985834956169128
portscan,31786,0.0,0.0016988611338325048,0.0006606682187126408,0.0006606682187126408,-7.738451957702637,0.3590121865272522,0.9834518341408167,0.9834518341408167,-0.05769267678260803,0.898512601852417,0.7340338513811112,0.014188636506638142,1.5454527139663696,0.8818599581718445
ssh-patator,1179,0.0,0.002544529262086514,0.0033927056827820186,0.002544529262086514,-6.339840888977051,0.568346381187439,0.9855810008481765,0.9838846480067854,-0.10425407439470291,0.8637916445732117,0.55470737913486,0.01102629346904156,-0.053499072790145874,0.9615593552589417
web-attack-�-brute-force,302,0.0,0.006622516556291391,0.9039735099337748,0.8675496688741722,0.9463894963264465,0.40469813346862793,0.0,0.0,-6.531924247741699,0.928725004196167,0.9900662251655629,0.12582781456953643,0.6755945086479187,0.8923031687736511
web-attack-�-sql-injection,4,0.0,0.0,0.5,0.5,-2.757631778717041,0.8032935857772827,0.0,0.0,-14.051315307617188,0.9423509240150452,0.75,0.5,1.3587793111801147,0.5666749477386475
web-attack-�-xss,130,0.007692307692307693,0.03076923076923077,0.9461538461538461,0.9076923076923077,0.7588486671447754,0.35397279262542725,0.0,0.0,-6.163285732269287,0.9239057302474976,0.9615384615384616,0.05384615384615385,0.5413353443145752,0.807802677154541
