true_class,benign,dos-hulk,portscan,ddos,dos-goldeneye,ftp-patator,ssh-patator,dos-slowloris,dos-slowhttptest,bot,web-attack-�-brute-force,web-attack-�-xss,infiltration,web-attack-�-sql-injection,heartbleed
benign,453271,289,206,51,37,0,0,5,14,283,56,212,11,102,0
dos-hulk,27,45839,0,0,0,0,0,0,0,1,20,26,0,112,0
portscan,12,9,31254,0,0,0,0,4,0,200,262,0,0,45,0
ddos,0,0,0,25599,0,0,0,0,0,4,0,0,1,2,0
dos-goldeneye,0,0,0,0,2038,0,0,0,2,0,3,2,0,14,0
ftp-patator,5,0,0,0,0,1576,0,0,0,0,3,1,0,3,0
ssh-patator,0,3,0,0,0,0,272,0,0,0,859,44,0,1,0
dos-slowloris,6,0,0,0,0,0,0,1113,0,0,3,1,0,36,0
dos-slowhttptest,2,0,0,0,0,0,0,2,1081,0,2,0,0,13,0
bot,3,0,0,0,0,0,0,0,0,390,0,0,0,0,0
web-attack-�-brute-force,0,0,0,0,31,0,0,0,0,0,160,99,0,12,0
web-attack-�-xss,0,2,0,0,0,0,0,0,0,0,46,76,0,6,0
infiltration,1,1,0,0,0,0,0,0,0,0,0,0,5,0,0
web-attack-�-sql-injection,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0
heartbleed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
