class,support,prec(B),prec(M),recall(B),recall(M),f1(B),f1(M),delta_f1
benign,454537,0.9999713636834233,0.999872059011678,0.9987217762250378,0.9972257483989202,0.999346179331782,0.9985471504211502,-0.0007990289106318826
dos-hulk,46025,0.9978739098364212,0.9939458380348928,0.999369907658881,0.9952199891363389,0.9986213484731705,0.9945825055097764,-0.004038842963394074
portscan,31786,0.9935899440292674,0.9934520025429117,0.9996853960863273,0.9832630717926131,0.9966283500870357,0.988331277867375,-0.008297072219660695
ddos,25606,0.999336507688705,0.9980113857911566,0.9999609466531282,0.9995704131844099,0.999648629655657,0.9987902911105908,-0.0008583385450662284
dos-goldeneye,2059,0.9804482594182165,0.9676344597810567,0.9985429820301117,0.9873725109276348,0.9894128970163619,0.9774038461538461,-0.012009050862515802
ftp-patator,1588,0.9993702770780857,1.0,0.9993702770780857,0.9937027707808564,0.9993702770780857,0.9968414403032217,-0.0025288367748639295
ssh-patator,1179,0.9991525423728813,1.0,1.0,0.39100932994062765,0.9995760915642221,0.5621951219512196,-0.43738096961300255
dos-slowloris,1159,0.9813084112149533,0.9954086317722681,0.996548748921484,0.9352890422778257,0.9888698630136986,0.9644128113879004,-0.024457051625798254
dos-slowhttptest,1100,0.983754512635379,0.9890009165902841,0.990909090909091,0.980909090909091,0.9873188405797102,0.9849383842994066,-0.002380456280303589
bot,393,0.6582064297800339,0.44419134396355353,0.989821882951654,0.9923664122137404,0.790650406504065,0.6136900078678206,-0.17696039863624446
web-attack-�-brute-force,302,0.7598566308243727,0.13224489795918368,0.7019867549668874,0.5364238410596026,0.729776247848537,0.21218074656188604,-0.517595501286651
web-attack-�-xss,130,0.384180790960452,0.1487758945386064,0.5230769230769231,0.6076923076923076,0.44299674267100975,0.23903177004538578,-0.20396497262562396
infiltration,7,0.875,0.3333333333333333,1.0,0.8571428571428571,0.9333333333333333,0.48,-0.45333333333333337
web-attack-�-sql-injection,4,0.25,0.0,0.25,0.0,0.25,0.0,-0.25
heartbleed,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
macro avg,565877,0.8574699719681461,0.7330580508879284,0.8965329791038407,0.8171458256971218,0.8737032804771113,0.7340630235653053,-0.13964025691180604
weighted avg,565877,0.9987555980715226,0.9977384952950761,0.9985897995500789,0.9945694912498653,0.9986450883045355,0.9956997270688441,-0.002945361235691335
