class,support,owned_expert,primary_bottleneck,baseline_recall,moe_recall,baseline_f1,moe_f1,delta_f1,benign_gate_rate,all_reject_rate,owned_accept_rate,owned_selected_rate,wrong_expert_selected_rate,local_acc_given_owned_selected,selected_but_wrong_rate,selected_minus_recall,multi_accept_rate,meta_router_rate,stability_tiebreak_rate,mean_owned_margin,mean_owned_stability,mean_owned_local_conf
benign,454537,benign_default,benign_false_accept,0.9987217762250378,0.9972257483989202,0.999346179331782,0.9985471504211502,-0.0007990289106318826,0.9972059480306333,1.9800368286850137e-05,,,0.0027742516010797803,,0.0027742516010797803,,0.0024288451765202834,0.0014388267621777764,0.0,,,
infiltration,7,Rare_Micro,gate_reject,1.0,0.8571428571428571,0.9333333333333333,0.48,-0.45333333333333337,0.0,0.14285714285714285,0.8571428571428571,0.8571428571428571,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.5309983491897583,0.9997088313102722,0.9642734527587891
dos-hulk,46025,DoS_DDoS,ok,0.999369907658881,0.9952199891363389,0.9986213484731705,0.9945825055097764,-0.004038842963394074,0.0,0.0006083650190114068,0.9953503530689842,0.9952199891363389,0.004171645844649647,1.0,0.004171645844649647,0.0,0.671787072243346,0.29114611624117326,0.0,5.457969665527344,0.6760923862457275,0.9997219443321228
ddos,25606,DoS_DDoS,ok,0.9999609466531282,0.9995704131844099,0.999648629655657,0.9987902911105908,-0.0008583385450662284,0.0,0.0,0.9995704131844099,0.9995704131844099,0.0004295868155900961,1.0,0.0004295868155900961,0.0,0.9997266265718973,0.1437944231820667,0.0,5.950441837310791,0.3386569619178772,0.9999482035636902
ftp-patator,1588,Scan_Brute,ok,0.9993702770780857,0.9937027707808564,0.9993702770780857,0.9968414403032217,-0.0025288367748639295,0.0,0.001889168765743073,0.9937027707808564,0.9937027707808564,0.004408060453400504,1.0,0.004408060453400504,0.0,0.9943324937027708,0.9918136020151134,0.0,1.6637866497039795,0.3882284164428711,0.9999844431877136
bot,393,WebBot_Main,ok,0.989821882951654,0.9923664122137404,0.790650406504065,0.6136900078678206,-0.17696039863624446,0.007633587786259542,0.0,0.9923664122137404,0.9923664122137404,0.0,1.0,0.0,0.0,0.6157760814249363,0.21374045801526717,0.0,2.199432611465454,0.992334246635437,0.9913893938064575
heartbleed,2,Rare_Micro,ok,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.147831916809082,0.8292697072029114,0.9647402763366699
portscan,31786,Scan_Brute,wrong_expert,0.9996853960863273,0.9832630717926131,0.9966283500870357,0.988331277867375,-0.008297072219660695,6.292078273453722e-05,0.00031460391367268606,0.9834518341408167,0.9832630717926131,0.016359403510979677,1.0,0.016359403510979677,0.0,0.9958157679481533,0.9801799534386207,0.0,2.4936861991882324,0.8977680802345276,0.9999179244041443
dos-goldeneye,2059,DoS_DDoS,wrong_expert,0.9985429820301117,0.9873725109276348,0.9894128970163619,0.9774038461538461,-0.012009050862515802,0.0,0.00048567265662943174,0.9902865468674114,0.9883438562408936,0.011170471102476931,0.999017199017199,0.012141816415735794,0.0009713453132588201,0.7566779990286547,0.6556580864497329,0.0,5.072398662567139,0.9700248837471008,0.999351978302002
ssh-patator,1179,Scan_Brute,wrong_expert,1.0,0.39100932994062765,0.9995760915642221,0.5621951219512196,-0.43738096961300255,0.0,0.0,0.9830364715860899,0.39100932994062765,0.6089906700593724,1.0,0.6089906700593724,0.0,0.9923664122137404,0.9830364715860899,0.0,0.7488537430763245,0.9888361096382141,0.9999696612358093
dos-slowloris,1159,DoS_DDoS,wrong_expert,0.996548748921484,0.9352890422778257,0.9888698630136986,0.9644128113879004,-0.024457051625798254,0.0025884383088869713,0.0025884383088869713,0.9352890422778257,0.9352890422778257,0.059534081104400345,1.0,0.059534081104400345,0.0,0.7178602243313201,0.45815358067299394,0.0,3.0485923290252686,0.5723108053207397,0.9943880438804626
dos-slowhttptest,1100,DoS_DDoS,wrong_expert,0.990909090909091,0.980909090909091,0.9873188405797102,0.9849383842994066,-0.002380456280303589,0.0009090909090909091,0.0027272727272727275,0.9818181818181818,0.9818181818181818,0.014545454545454545,0.9990740740740741,0.015454545454545455,0.0009090909090908594,0.4072727272727273,0.22363636363636363,0.0,3.365182399749756,0.5602921843528748,0.9969130754470825
web-attack-�-brute-force,302,WebBot_Main,wrong_expert,0.7019867549668874,0.5364238410596026,0.729776247848537,0.21218074656188604,-0.517595501286651,0.0,0.0,0.9635761589403974,0.8642384105960265,0.1357615894039735,0.6206896551724138,0.46357615894039733,0.32781456953642385,0.9602649006622517,0.09933774834437085,0.0,0.29090607166290283,0.9154374003410339,0.7488253116607666
web-attack-�-xss,130,WebBot_Main,wrong_expert,0.5230769230769231,0.6076923076923076,0.44299674267100975,0.23903177004538578,-0.20396497262562396,0.0,0.0,0.9615384615384616,0.9615384615384616,0.038461538461538464,0.632,0.3923076923076923,0.3538461538461539,0.9153846153846154,0.0,0.0,0.19065633416175842,0.8326452374458313,0.6790582537651062
web-attack-�-sql-injection,4,Rare_Micro,wrong_expert,0.25,0.0,0.25,0.0,-0.25,0.0,0.0,1.0,0.0,1.0,,1.0,0.0,1.0,0.5,0.0,1.6921974420547485,0.9972248077392578,0.9630988836288452
