metric,value
baseline_macro_f1,0.8737032804771113
moe_macro_f1,0.7340630235653053
baseline_weighted_f1,0.9986450883045355
moe_weighted_f1,0.9956997270688441
test_binary_attack_rate,0.19898493842301418
test_benign_by_binary_rate,0.8010150615769858
test_all_reject_rate,0.00010249577204940297
test_multi_accept_rate,0.16879463204901418
select_mode,meta_router
threshold_mode,hard_negative
threshold_quantile,0.05
external_ood_data,
sc_ood_data,
threshold_DoS_DDoS,4.190701961517334
threshold_Scan_Brute,5.938488483428955
threshold_WebBot_Main,1.146280288696289
threshold_Rare_Micro,2.048311948776245
