true_class,normal,dos-hulk,dos-goldeneye,ftp-patator,ssh-patator,dos-slowloris,dos-slowhttptest,web-attack-brute-force,web-attack-xss,infiltration,web-attack-sql-injection,heartbleed
normal,371209,150,11,4,11,0,9,15,54,0,15,0
dos-hulk,34,45628,0,0,0,0,0,72,178,0,113,0
dos-goldeneye,25,0,2012,0,0,0,2,5,2,0,13,0
ftp-patator,3,0,0,1539,0,0,0,21,0,0,24,0
ssh-patator,29,1,0,0,1132,2,0,9,6,0,1,0
dos-slowloris,91,0,0,0,1,1059,1,5,2,0,0,0
dos-slowhttptest,27,0,0,0,0,3,1000,51,15,0,4,0
web-attack-brute-force,1,0,15,0,9,0,0,194,82,0,0,0
web-attack-xss,1,0,0,0,1,0,0,58,70,0,0,0
infiltration,2,0,0,0,0,0,0,0,0,5,0,0
web-attack-sql-injection,0,0,2,0,0,0,0,0,1,0,1,0
heartbleed,0,0,0,0,0,0,0,0,0,0,0,2
