metric,value
unseen_attack_support,288785.0
target_benign_support,413933.0
ood_tpr_unseen_attack_all_reject,0.00011427186315078692
ood_tpr_unseen_attack_exp0_ood,1.0388351195526083e-05
ood_tpr_unseen_attack_total,0.000124660214346313
ood_fpr_target_benign_all_reject,0.00025366424034807566
ood_fpr_target_benign_exp0_ood,1.4495099448461465e-05
ood_fpr_target_benign_total,0.0002681593397965371
known_expert_false_accept_unseen_attack,0.28454732759665496
binary_attack_rate_unseen_attack,0.28466159945980574
binary_attack_rate_target_benign,0.0010122411114842258
