metric,value
baseline_macro_f1,0.8695224114035467
moe_macro_f1,0.7885847586446412
baseline_weighted_f1,0.9992916231556906
moe_weighted_f1,0.99771567539483
test_binary_attack_rate,0.12679986448079203
test_benign_by_binary_rate,0.873174255114909
test_all_reject_rate,0.0006681849837188729
test_multi_accept_rate,0.10315458600764178
select_mode,meta_router
threshold_mode,hard_negative
threshold_quantile,0.05
external_ood_data,
sc_ood_data,
threshold_Brute_Known,4.377582550048828
threshold_DoS_Known,4.833738327026367
threshold_Web_Infiltration_Known,0.1271994262933731
