index,class_id,class,family,split_role,pca1,pca2,tsne1,tsne2
2671,9,normal,Normal,Known_Source,2.9445066,17.307543,31.47371,4.234527
3966,9,normal,Normal,Known_Source,-2.8330052,-0.55918753,-18.536522,4.619685
6030,9,normal,Normal,Known_Source,1.2646223,0.50027686,26.74921,-7.343739
7782,9,normal,Normal,Known_Source,0.6064002,1.8967218,40.269375,1.9817778
13965,9,normal,Normal,Known_Source,-1.4044355,0.93489873,10.828207,15.953075
14380,9,normal,Normal,Known_Source,-1.4046077,0.93496156,10.828228,15.953103
19045,9,normal,Normal,Known_Source,2.2632287,0.88222927,30.36997,-3.7221885
19168,9,normal,Normal,Known_Source,-2.668414,-1.0033174,-32.10373,-89.68841
20288,9,normal,Normal,Known_Source,-0.4595748,1.3635973,13.1277275,13.466887
21939,9,normal,Normal,Known_Source,-2.7457325,-0.6035419,-40.05806,-52.741905
27040,9,normal,Normal,Known_Source,-2.3632677,-0.2397883,-23.53138,-26.914759
31559,9,normal,Normal,Known_Source,-2.3186915,-0.23796576,8.103292,-24.392742
34549,9,normal,Normal,Known_Source,-2.3173912,-0.23988524,7.9008927,-25.058178
39242,9,normal,Normal,Known_Source,-2.395419,-0.26792318,-13.544897,-29.213371
41830,9,normal,Normal,Known_Source,-2.2847145,-0.27719387,11.694879,-10.86133
42538,9,normal,Normal,Known_Source,-1.4122343,1.0318841,20.514858,3.6607397
42977,9,normal,Normal,Known_Source,-2.904888,-0.6190172,-19.871536,0.9030291
46241,9,normal,Normal,Known_Source,-2.3092253,-0.24225381,10.420471,-26.48332
52718,9,normal,Normal,Known_Source,1.1987941,-0.040507246,25.506575,-7.7966623
55060,9,normal,Normal,Known_Source,3.5463512,4.9293814,30.871283,-0.2003915
56475,9,normal,Normal,Known_Source,-2.4674714,-0.5048986,-41.78313,-17.885612
60449,9,normal,Normal,Known_Source,-2.2087169,-0.25537643,9.037197,-55.89806
61053,9,normal,Normal,Known_Source,-2.3617933,-0.23285314,-21.684631,-29.061958
64857,9,normal,Normal,Known_Source,0.52089125,1.004241,9.295138,9.419781
68374,9,normal,Normal,Known_Source,-2.382637,-0.27820262,-16.25868,-29.741472
71510,9,normal,Normal,Known_Source,-2.3030357,-0.18242434,9.208745,-25.328455
79355,9,normal,Normal,Known_Source,-1.9954967,0.77568406,19.473621,2.7376616
82869,9,normal,Normal,Known_Source,-0.929568,0.63073504,-11.605595,7.5466
88417,9,normal,Normal,Known_Source,-2.0925236,0.66740966,19.081264,2.997502
91885,9,normal,Normal,Known_Source,-1.1928345,1.2948313,10.436994,13.594063
92036,9,normal,Normal,Known_Source,-2.4151826,-0.3690549,-22.565994,-21.636993
94393,9,normal,Normal,Known_Source,-2.3721333,-0.29396373,-23.134304,-27.401808
95127,9,normal,Normal,Known_Source,-0.8699763,1.740422,25.744917,12.024488
99318,9,normal,Normal,Known_Source,-2.2640858,-0.39446613,8.8363695,-56.750652
99995,9,normal,Normal,Known_Source,4.7865353,-1.1077102,29.980309,-9.350878
99999,9,normal,Normal,Known_Source,-2.2086706,-0.17158598,9.03394,-55.895134
101999,9,normal,Normal,Known_Source,-1.9577606,-0.5033578,-22.527233,-21.52142
104166,9,normal,Normal,Known_Source,-2.354324,-0.20095259,-2.529553,-23.211956
109623,9,normal,Normal,Known_Source,-2.0334256,0.7258798,19.444685,2.7190554
113411,9,normal,Normal,Known_Source,-2.2910683,-0.19542864,11.514599,-28.430462
116983,9,normal,Normal,Known_Source,-2.5356543,-0.57616013,-42.889343,-17.326534
128155,9,normal,Normal,Known_Source,-1.1041546,1.017806,11.004512,14.328459
136907,9,normal,Normal,Known_Source,-2.7828166,-1.0368692,-32.23851,-89.7465
136970,9,normal,Normal,Known_Source,-2.3167727,-0.24321109,8.022779,-25.723372
137983,9,normal,Normal,Known_Source,-1.2285292,1.1687146,23.576307,6.446274
138386,9,normal,Normal,Known_Source,-1.4189211,-0.18932194,8.628307,-56.858875
143246,9,normal,Normal,Known_Source,-1.8146418,0.9361695,19.634325,2.8425658
145813,9,normal,Normal,Known_Source,-2.961274,-0.62364817,-19.907824,0.8911729
147146,9,normal,Normal,Known_Source,-0.903104,1.176964,10.021811,13.230791
149980,9,normal,Normal,Known_Source,-2.3535962,-0.31663004,-30.012272,-23.72428
152147,9,normal,Normal,Known_Source,-2.694891,-1.0615314,-32.349968,-89.436775
153712,9,normal,Normal,Known_Source,-1.9402542,-0.799979,-6.555237,-74.36586
157719,9,normal,Normal,Known_Source,-2.5137198,-0.98024625,-29.177069,-89.83332
159164,9,normal,Normal,Known_Source,3.9282036,-3.570966,58.997185,-57.482174
160010,9,normal,Normal,Known_Source,-2.8067982,-0.58118606,-40.04089,-52.599342
160942,9,normal,Normal,Known_Source,-2.2740183,-0.13932769,4.027211,-28.577255
163552,9,normal,Normal,Known_Source,-2.2363894,-0.33629653,8.826862,-56.74031
164454,9,normal,Normal,Known_Source,-2.034042,0.7261015,19.444689,2.7190063
171016,9,normal,Normal,Known_Source,-2.7200468,-0.5608028,-19.045496,1.1999413
171722,9,normal,Normal,Known_Source,-2.404276,-0.25259495,-10.863794,-29.998177
172826,9,normal,Normal,Known_Source,-2.7951074,-1.0908508,-32.44859,-89.458336
175101,9,normal,Normal,Known_Source,-2.724184,-1.0123875,-32.040073,-89.751945
175314,9,normal,Normal,Known_Source,-2.3357284,-0.22161028,2.2423823,-21.583006
184088,9,normal,Normal,Known_Source,-2.7495658,-0.5644814,-19.075937,1.1791316
185478,9,normal,Normal,Known_Source,-1.3972633,1.3940135,22.217043,5.288613
188878,9,normal,Normal,Known_Source,-2.3667486,-0.3073494,-25.687819,-25.554842
191489,9,normal,Normal,Known_Source,-1.4848489,1.2843146,22.196898,5.2759924
191825,9,normal,Normal,Known_Source,-2.817711,-1.0966495,-32.396267,-89.531494
193901,9,normal,Normal,Known_Source,-2.8423054,-0.6834306,-39.948486,-53.07614
