class,bot,ddos,dos-goldeneye,dos-hulk,dos-slowhttptest,dos-slowloris,ftp-patator,heartbleed,infiltration,normal,portscan,ssh-patator,web-attack-brute-force,web-attack-sql-injection,web-attack-xss
bot,0.0,3.6972728,3.666908,6.3183985,4.514663,5.49148,0.41248745,184.97952,12.088674,0.87456596,0.3616271,0.49443254,0.38782346,0.9422845,0.33350113
ddos,3.6972728,0.0,0.7317829,3.297683,3.059497,4.1313343,3.7703311,182.95192,9.02308,2.8941572,4.0107865,3.307898,3.3315048,2.7672803,3.36384
dos-goldeneye,3.666908,0.7317829,0.0,2.8510585,2.3279784,3.4061246,3.6589854,183.61696,9.580601,2.8066869,3.94048,3.349383,3.3358927,2.7957013,3.3420968
dos-hulk,6.3183985,3.297683,2.8510585,0.0,2.4843605,2.669612,6.2115693,184.00473,9.65996,5.4456415,6.531757,6.082493,6.037128,5.540833,6.0178003
dos-slowhttptest,4.514663,3.059497,2.3279784,2.4843605,0.0,1.1273189,4.2899647,185.70541,11.44671,3.7170498,4.630003,4.437598,4.3380218,3.9794323,4.2785254
dos-slowloris,5.49148,4.1313343,3.4061246,2.669612,1.1273189,0.0,5.2261095,186.48013,12.147651,4.739671,5.565428,5.465411,5.3529563,5.037364,5.282768
ftp-patator,0.41248745,3.7703311,3.6589854,6.2115693,4.2899647,5.2261095,0.0,185.34822,12.334469,0.8762261,0.340425,0.83136433,0.67682815,1.1225932,0.5661311
heartbleed,184.97952,182.95192,183.61696,184.00473,185.70541,186.48013,185.34822,0.0,174.35002,184.7808,185.30733,184.51692,184.67352,184.3535,184.78917
infiltration,12.088674,9.02308,9.580601,9.65996,11.44671,12.147651,12.334469,174.35002,0.0,11.536197,12.449957,11.597967,11.707347,11.212296,11.794183
normal,0.87456596,2.8941572,2.8066869,5.4456415,3.7170498,4.739671,0.8762261,184.7808,11.536197,0.0,1.1346234,0.72585577,0.6221571,0.451667,0.57761765
portscan,0.3616271,4.0107865,3.94048,6.531757,4.630003,5.565428,0.340425,185.30733,12.449957,1.1346234,0.0,0.85545594,0.7447339,1.2824997,0.67123955
ssh-patator,0.49443254,3.307898,3.349383,6.082493,4.437598,5.465411,0.83136433,184.51692,11.597967,0.72585577,0.85545594,0.0,0.16902897,0.55381656,0.28971547
web-attack-brute-force,0.38782346,3.3315048,3.3358927,6.037128,4.3380218,5.3529563,0.67682815,184.67352,11.707347,0.6221571,0.7447339,0.16902897,0.0,0.56515825,0.12095869
web-attack-sql-injection,0.9422845,2.7672803,2.7957013,5.540833,3.9794323,5.037364,1.1225932,184.3535,11.212296,0.451667,1.2824997,0.55381656,0.56515825,0.0,0.612507
web-attack-xss,0.33350113,3.36384,3.3420968,6.0178003,4.2785254,5.282768,0.5661311,184.78917,11.794183,0.57761765,0.67123955,0.28971547,0.12095869,0.612507,0.0
