family_a,family_b,distance
Credential,Web,0.29343944787979126
Friday_OOD,Normal,0.4004591703414917
Normal,Web,0.6065306067466736
Credential,Normal,0.704261064529419
Friday_OOD,Web,0.7945084571838379
Credential,Friday_OOD,0.9966446757316589
DoS,Friday_OOD,3.8623194694519043
DoS,Normal,3.993832588195801
DoS,Web,4.592878341674805
Credential,DoS,4.678261756896973
Friday_OOD,Rare,33.918121337890625
DoS,Rare,34.053009033203125
Rare,Web,34.281463623046875
Normal,Rare,34.30485534667969
Credential,Rare,34.57172393798828
