class_a,class_b,distance
bot,ftp-patator,0.17784644663333893
bot,web-attack-sql-injection,0.6925387382507324
web-attack-brute-force,web-attack-xss,0.7376541495323181
ftp-patator,web-attack-sql-injection,0.808393120765686
ftp-patator,web-attack-xss,1.0357003211975098
web-attack-sql-injection,web-attack-xss,1.063223958015442
bot,web-attack-xss,1.1186681985855103
ssh-patator,web-attack-brute-force,1.2511645555496216
web-attack-brute-force,web-attack-sql-injection,1.569859266281128
ftp-patator,portscan,1.6158729791641235
dos-slowhttptest,dos-slowloris,1.660143494606018
bot,portscan,1.70578134059906
ftp-patator,web-attack-brute-force,1.7596125602722168
ddos,dos-goldeneye,1.8030458688735962
bot,web-attack-brute-force,1.8210638761520386
ddos,web-attack-sql-injection,1.9635626077651978
dos-hulk,dos-slowhttptest,1.9790316820144653
ssh-patator,web-attack-xss,1.9887070655822754
portscan,web-attack-sql-injection,2.3979246616363525
portscan,web-attack-xss,2.404193639755249
ddos,web-attack-brute-force,2.5264692306518555
dos-goldeneye,dos-hulk,2.5883078575134277
ddos,web-attack-xss,2.592294931411743
bot,ddos,2.647608995437622
ssh-patator,web-attack-sql-injection,2.6766231060028076
ddos,ftp-patator,2.7719550132751465
ddos,ssh-patator,2.8568179607391357
ftp-patator,ssh-patator,3.000260591506958
bot,ssh-patator,3.046635627746582
portscan,web-attack-brute-force,3.116750478744507
dos-goldeneye,dos-slowhttptest,3.34236741065979
dos-hulk,dos-slowloris,3.3865180015563965
dos-goldeneye,web-attack-sql-injection,3.455204963684082
bot,dos-goldeneye,4.054355621337891
dos-goldeneye,ftp-patator,4.213351249694824
dos-goldeneye,web-attack-xss,4.294058322906494
dos-goldeneye,web-attack-brute-force,4.317790985107422
ddos,portscan,4.337535858154297
portscan,ssh-patator,4.348799228668213
ddos,dos-hulk,4.355708122253418
dos-goldeneye,ssh-patator,4.60899019241333
dos-goldeneye,dos-slowloris,4.992958068847656
ddos,dos-slowhttptest,5.064070224761963
dos-goldeneye,portscan,5.598660469055176
dos-hulk,web-attack-sql-injection,6.022345542907715
dos-slowhttptest,web-attack-sql-injection,6.258773326873779
bot,dos-hulk,6.588521957397461
bot,dos-slowhttptest,6.676110744476318
ddos,dos-slowloris,6.681567192077637
dos-hulk,ftp-patator,6.754488945007324
dos-slowhttptest,ftp-patator,6.853493690490723
dos-hulk,web-attack-brute-force,6.882167339324951
dos-hulk,web-attack-xss,6.882365703582764
dos-hulk,ssh-patator,7.033541202545166
dos-slowhttptest,web-attack-xss,7.2643656730651855
dos-slowhttptest,web-attack-brute-force,7.4612860679626465
dos-slowloris,web-attack-sql-injection,7.730512619018555
dos-slowhttptest,portscan,7.825707912445068
dos-slowhttptest,ssh-patator,7.91753625869751
dos-hulk,portscan,8.035881996154785
bot,dos-slowloris,8.081236839294434
dos-slowloris,ftp-patator,8.258889198303223
dos-slowloris,web-attack-xss,8.765361785888672
dos-slowloris,web-attack-brute-force,9.018153190612793
dos-slowloris,portscan,9.061670303344727
dos-slowloris,ssh-patator,9.538371086120605
infiltration,ssh-patator,53.63347244262695
dos-hulk,infiltration,54.68382263183594
ddos,infiltration,54.710205078125
infiltration,web-attack-brute-force,54.875118255615234
dos-goldeneye,infiltration,54.93206787109375
infiltration,web-attack-xss,55.605247497558594
infiltration,web-attack-sql-injection,56.01389694213867
ftp-patator,infiltration,56.562686920166016
bot,infiltration,56.56706619262695
dos-slowhttptest,infiltration,56.647525787353516
dos-slowloris,infiltration,57.725685119628906
infiltration,portscan,57.981201171875
heartbleed,infiltration,912.2776489257812
heartbleed,ssh-patator,963.7926025390625
heartbleed,web-attack-brute-force,965.0298461914062
ddos,heartbleed,965.4923706054688
heartbleed,web-attack-xss,965.7615356445312
dos-goldeneye,heartbleed,966.0861206054688
dos-hulk,heartbleed,966.2893676757812
heartbleed,web-attack-sql-injection,966.409423828125
ftp-patator,heartbleed,966.7891235351562
bot,heartbleed,966.8391723632812
heartbleed,portscan,967.9515991210938
dos-slowhttptest,heartbleed,968.2677612304688
dos-slowloris,heartbleed,969.5087280273438
