true_class,normal,dos-hulk,dos-goldeneye,ftp-patator,ssh-patator,dos-slowloris,dos-slowhttptest,web-attack-brute-force,web-attack-xss,infiltration,web-attack-sql-injection,heartbleed
normal,371368,67,3,0,2,4,16,5,11,0,0,2
dos-hulk,1,45995,27,0,0,1,0,1,0,0,0,0
dos-goldeneye,0,0,2055,0,0,0,4,0,0,0,0,0
ftp-patator,0,0,0,1587,0,0,0,0,0,0,0,0
ssh-patator,0,0,0,0,1180,0,0,0,0,0,0,0
dos-slowloris,3,0,0,0,0,1149,6,1,0,0,0,0
dos-slowhttptest,1,0,1,0,0,7,1090,0,1,0,0,0
web-attack-brute-force,0,0,0,0,0,0,0,226,75,0,0,0
web-attack-xss,0,0,1,0,0,0,0,64,65,0,0,0
infiltration,1,0,0,0,0,0,0,0,0,6,0,0
web-attack-sql-injection,0,0,0,0,0,0,0,2,0,0,2,0
heartbleed,0,0,0,0,0,0,0,0,0,0,0,2
