class,support,prec_baseline,prec_moe,recall_baseline,recall_moe,f1_baseline,f1_moe,delta_f1
normal,371478,0.9999757658006979,0.9996928928950501,0.9997011936103888,0.9989609075100006,0.9998384608550267,0.9993267661616515,-0.0005116946933751976
dos-hulk,46025,0.9985237609361093,0.9960580189912013,0.9993481803367735,0.9936990765888104,0.9989358005386152,0.9948771494762946,-0.004058651062320617
dos-goldeneye,2059,0.9828162291169451,0.9912109375,1.0,0.9859154929577465,0.9913336543090997,0.9885561236912588,-0.0027775306178409176
ftp-patator,1587,0.9987413467589679,0.9924953095684803,1.0,1.0,0.9993702770780857,0.9962335216572504,-0.0031367554208352466
ssh-patator,1179,1.0,0.9800332778702163,1.0,0.9991518235793045,1.0,0.9895002099958001,-0.010499790004199872
dos-slowloris,1159,0.9904926534140017,0.9990196078431373,0.9887834339948232,0.8792062122519413,0.9896373056994818,0.9352914180816888,-0.05434588761779302
dos-slowhttptest,1100,0.978494623655914,0.9899396378269618,0.9927272727272727,0.8945454545454545,0.9855595667870036,0.9398280802292264,-0.04573148655777726
web-attack-brute-force,302,0.7749077490774908,0.4090909090909091,0.695364238410596,0.6854304635761589,0.7329842931937173,0.5123762376237624,-0.2206080555699549
web-attack-xss,130,0.4093567251461988,0.3117408906882591,0.5384615384615384,0.5923076923076923,0.46511627906976744,0.40848806366047746,-0.05662821540928997
infiltration,7,0.7777777777777778,0.375,1.0,0.42857142857142855,0.875,0.4,-0.475
web-attack-sql-injection,4,0.5,0.007017543859649123,0.5,0.5,0.5,0.01384083044982699,-0.486159169550173
heartbleed,2,1.0,1.0,1.0,0.5,1.0,0.6666666666666666,-0.33333333333333337
