class,support,prec_baseline,prec_moe,recall_baseline,recall_moe,f1_baseline,f1_moe,delta_f1
normal,371478,0.9999838437801246,0.9997333160931616,0.9997038855598447,0.9990551257409591,0.9998438450727736,0.9993941058618239,-0.0004497392109497067
dos-hulk,46025,0.9985454387564587,0.9964484922433328,0.9993481803367735,0.9936556219445953,0.9989466482782586,0.9950500973662166,-0.003896550912041996
dos-goldeneye,2059,0.9846669861044561,0.9930932412432166,0.9980573093734822,0.9776590577950461,0.9913169319826338,0.9853157121879589,-0.006001219794674939
ftp-patator,1587,1.0,0.9937382592360676,1.0,1.0,1.0,0.996859296482412,-0.003140703517587995
ssh-patator,1180,0.9983079526226735,0.9833194328607172,1.0,0.9991525423728813,0.9991532599491956,0.9911727616645649,-0.007980498284630655
dos-slowloris,1159,0.9896640826873385,0.9961051606621227,0.99137187230371,0.8826574633304572,0.9905172413793103,0.9359560841720037,-0.05456115720730659
dos-slowhttptest,1100,0.9767025089605734,0.9878419452887538,0.990909090909091,0.8863636363636364,0.983754512635379,0.934355534259703,-0.049398978375676084
web-attack-brute-force,301,0.7558528428093646,0.4011090573012939,0.7508305647840532,0.7209302325581395,0.7533333333333333,0.5154394299287411,-0.23789390340459216
web-attack-xss,130,0.4276315789473684,0.2857142857142857,0.5,0.47692307692307695,0.46099290780141844,0.3573487031700288,-0.10364420463138962
infiltration,7,1.0,0.3,0.8571428571428571,0.42857142857142855,0.9230769230769231,0.35294117647058826,-0.5701357466063348
web-attack-sql-injection,4,1.0,0.0,0.5,0.0,0.6666666666666666,0.0,-0.6666666666666666
heartbleed,2,0.5,1.0,1.0,1.0,0.6666666666666666,1.0,0.33333333333333337
macro avg,425032,0.8859462695556964,0.7447585992202462,0.8822803133674842,0.7804140154666851,0.8695224114035467,0.7553194084636701,-0.11420300293987662
weighted avg,425032,0.9993105980011929,0.9985735706663815,0.999277701443656,0.997386079165804,0.9992916231556906,0.9979227596500793,-0.001368863505611384
