true_ood_class,baseline_pred_class,support,count,rate
bot,dos-goldeneye,1956,0,0.0
bot,dos-hulk,1956,0,0.0
bot,dos-slowhttptest,1956,0,0.0
bot,dos-slowloris,1956,0,0.0
bot,ftp-patator,1956,0,0.0
bot,heartbleed,1956,0,0.0
bot,normal,1956,1956,1.0
bot,ssh-patator,1956,0,0.0
bot,web-attack-brute-force,1956,0,0.0
bot,web-attack-sql-injection,1956,0,0.0
bot,web-attack-xss,1956,0,0.0
ddos,dos-goldeneye,128025,0,0.0
ddos,dos-hulk,128025,81706,0.6382034758836165
ddos,dos-slowhttptest,128025,0,0.0
ddos,dos-slowloris,128025,1,7.810974419058777e-06
ddos,ftp-patator,128025,0,0.0
ddos,heartbleed,128025,0,0.0
ddos,normal,128025,46318,0.3617887131419645
ddos,ssh-patator,128025,0,0.0
ddos,web-attack-brute-force,128025,0,0.0
ddos,web-attack-sql-injection,128025,0,0.0
ddos,web-attack-xss,128025,0,0.0
normal,dos-goldeneye,413933,12,2.899019889692293e-05
normal,dos-hulk,413933,45,0.00010871324586346099
normal,dos-slowhttptest,413933,20,4.831699816153822e-05
normal,dos-slowloris,413933,7,1.691094935653838e-05
normal,ftp-patator,413933,1,2.415849908076911e-06
normal,heartbleed,413933,2,4.831699816153822e-06
normal,normal,413933,413613,0.9992269280294154
normal,ssh-patator,413933,3,7.247549724230733e-06
normal,web-attack-brute-force,413933,9,2.1742649172692198e-05
normal,web-attack-sql-injection,413933,4,9.663399632307644e-06
normal,web-attack-xss,413933,217,0.0005242394300526897
portscan,dos-goldeneye,158804,0,0.0
portscan,dos-hulk,158804,141,0.0008878869549885394
portscan,dos-slowhttptest,158804,0,0.0
portscan,dos-slowloris,158804,1,6.297070602755598e-06
portscan,ftp-patator,158804,121,0.0007619455429334274
portscan,heartbleed,158804,0,0.0
portscan,normal,158804,158274,0.9966625525805395
portscan,ssh-patator,158804,137,0.000862698672577517
portscan,web-attack-brute-force,158804,53,0.0003337447419460467
portscan,web-attack-sql-injection,158804,0,0.0
portscan,web-attack-xss,158804,77,0.00048487443641218107
