class,support,expert,accept_rate,selected_rate,mean_stability,mean_margin
normal,413933,DoS_Like_Known,0.0044838176,0.0044838176,0.022778643,-0.033996426
normal,413933,Credential_Web_Like_Known,0.00020293139,0.00020051554,0.019714782,-0.069937736
normal,413933,Rare_Fallback_Known,0.008189731,0.007938483,0.01696981,-0.09835103
portscan,158804,DoS_Like_Known,0.00071786606,0.00071786606,0.003107636,-0.009211234
portscan,158804,Credential_Web_Like_Known,7.556485e-05,7.556485e-05,0.0020656774,-0.008568021
portscan,158804,Rare_Fallback_Known,0.0001511297,0.00011964434,0.002618098,-0.025123108
ddos,128025,DoS_Like_Known,0.5993595,0.5993595,0.62910044,1.7648393
ddos,128025,Credential_Web_Like_Known,0.0,0.0,0.409175,-1.3695941
ddos,128025,Rare_Fallback_Known,5.467682e-05,5.467682e-05,0.22807512,-5.3668914
bot,1956,DoS_Like_Known,0.0,0.0,0.0,0.0
bot,1956,Credential_Web_Like_Known,0.0,0.0,0.0,0.0
bot,1956,Rare_Fallback_Known,0.0,0.0,0.0,0.0
