true_class,support,benign_gate_rate,all_reject_rate,DoS_Like_Known_accept_rate,DoS_Like_Known_selected_rate,DoS_Like_Known_margin,DoS_Like_Known_stability,Credential_Web_Like_Known_accept_rate,Credential_Web_Like_Known_selected_rate,Credential_Web_Like_Known_margin,Credential_Web_Like_Known_stability,Rare_Fallback_Known_accept_rate,Rare_Fallback_Known_selected_rate,Rare_Fallback_Known_margin,Rare_Fallback_Known_stability
dos-goldeneye,2059,0.0,0.0199125789218067,0.9669742593491987,0.9669742593491987,3.534187078475952,0.5534340739250183,0.0,0.0,-3.979159355163574,0.9324842095375061,0.17338513841670714,0.005342399222923749,-4.390049457550049,0.3814667761325836
dos-hulk,46025,6.518196632265073e-05,0.002759369907658881,0.997153720803911,0.997153720803911,3.8761658668518066,0.9646732211112976,2.1727322107550245e-05,2.1727322107550245e-05,-3.7213332653045654,0.8421016335487366,0.013145029875067897,0.0,-5.333194732666016,0.8493882417678833
dos-slowhttptest,1100,0.0018181818181818182,0.014545454545454545,0.9772727272727273,0.9772727272727273,3.3899831771850586,0.38028815388679504,0.0027272727272727275,0.0027272727272727275,-3.641045093536377,0.9034773111343384,0.09181818181818181,0.0,-3.5422465801239014,0.9330102801322937
dos-slowloris,1159,0.0025884383088869713,0.025884383088869714,0.9680759275237274,0.9620362381363244,2.115584373474121,0.5561914443969727,0.008628127696289905,0.006902502157031924,-3.096900701522827,0.8798888921737671,0.03537532355478861,0.001725625539257981,-9.06439208984375,0.9142333269119263
ftp-patator,1587,0.0,0.002520478890989288,0.0,0.0,-4.445900917053223,0.9663196206092834,0.9974795211090107,0.9974795211090107,2.9657163619995117,0.5186870694160461,0.4952741020793951,0.0,-2.3097236156463623,0.28185534477233887
heartbleed,2,0.0,0.0,0.0,0.0,-2.3129117488861084,0.995386004447937,0.0,0.0,-3.3630876541137695,0.8527622222900391,1.0,1.0,3.280855417251587,0.0684390664100647
infiltration,7,0.7142857142857143,0.0,0.0,0.0,-0.6990771293640137,0.12946327030658722,0.0,0.0,-0.6080290675163269,0.1398676037788391,0.14285714285714285,0.14285714285714285,0.027478277683258057,0.14097009599208832
normal,371478,0.9629776191322231,0.017346922294187005,0.006829475769762947,0.006829475769762947,-0.02554985135793686,0.022745784372091293,0.00020189620919677613,0.00020189620919677613,-0.06093211844563484,0.01883319579064846,0.00047109115479247764,0.00024227545103613134,-0.18451493978500366,0.014233259484171867
ssh-patator,1180,0.007627118644067797,0.002542372881355932,0.0,0.0,-3.911700487136841,0.8911813497543335,0.988135593220339,0.988135593220339,3.0343289375305176,0.5774915814399719,0.9669491525423729,0.0,0.2968911826610565,0.12307903170585632
web-attack-brute-force,301,0.0,0.0033222591362126247,0.026578073089700997,0.019933554817275746,-6.178877353668213,0.6360659003257751,0.9867109634551495,0.9667774086378738,0.3627158999443054,0.4915202558040619,0.13953488372093023,0.0033222591362126247,-6.554805755615234,0.8152780532836914
web-attack-sql-injection,4,0.0,0.0,0.75,0.75,0.41179388761520386,0.6133959889411926,0.25,0.25,-0.8569482564926147,0.5223598480224609,1.0,0.0,0.7996786236763,0.1403643786907196
web-attack-xss,130,0.0,0.038461538461538464,0.038461538461538464,0.038461538461538464,-6.090293884277344,0.6498346328735352,0.9230769230769231,0.9230769230769231,0.169122114777565,0.5103702545166016,0.007692307692307693,0.0,-7.5865631103515625,0.9223797917366028
