metric,value
baseline_macro_f1,0.3981586696791561
moe_macro_f1,0.16412949377018973
baseline_weighted_f1,0.9301884320201603
moe_weighted_f1,0.8772934390237834
test_binary_attack_rate,0.14740537183082686
test_benign_by_binary_rate,0.8416942724312523
test_all_reject_rate,0.015695288825311977
test_multi_accept_rate,0.007448850910049125
select_mode,tta_confidence_v2
threshold_mode,hard_negative
threshold_quantile,0.05
external_ood_data,
sc_ood_data,
threshold_DoS_Like_Known,5.289984703063965
threshold_Credential_Web_Like_Known,3.7867393493652344
threshold_Rare_Fallback_Known,3.7873880863189697
