class,support,precision,recall,f1
airplane,1000,0.9486921529175051,0.943,0.9458375125376128
automobile,1000,0.9702085402184707,0.977,0.9735924265072247
bird,1000,0.94655704008222,0.921,0.9336036492650786
cat,1000,0.8878878878878879,0.887,0.8874437218609305
deer,1000,0.9531405782652044,0.956,0.9545681477783325
dog,1000,0.9114427860696518,0.916,0.913715710723192
frog,1000,0.9612326043737575,0.967,0.9641076769690927
horse,1000,0.9651741293532339,0.97,0.9675810473815462
ship,1000,0.9603960396039604,0.97,0.9651741293532339
truck,1000,0.9639278557114228,0.962,0.9629629629629629
macro avg,10000,0.9468659614483315,0.9469,0.9468586985339208
weighted avg,10000,0.9468659614483315,0.9469,0.9468586985339207
