metric,value
energy_threshold,2.204578399658203
energy_scale,1.1441829204559326
temperature,1.0
threshold_strategy,per_class_min
class_weight,sqrt_balanced
auroc_unseen_attack,0.7053765139666432
aupr_unseen_attack,0.6801740634693119
fpr95_unseen_attack,0.931675732650718
id_retain_at_tau,0.9991012441416176
unseen_attack_detect_at_tau,0.00015582526793289124
unseen_attack_in_at_tau,0.9998441747320671
friday_benign_false_ood_at_tau,0.0005628930285819202
friday_benign_retain_at_tau,0.9994371069714181
id_macro_f1,0.7248142667713916
id_weighted_f1,0.9920038360437624
id_accuracy,0.9910336162924204
source_val_support,425032
source_test_known_support,425032
friday_support,702718
friday_unseen_attack_support,288785
friday_benign_support,413933
