class,support,precision,recall,f1
airplane,1000,0.28122605363984676,0.734,0.4066481994459834
automobile,1000,0.5432242990654206,0.93,0.6858407079646017
bird,1000,0.6045723962743438,0.714,0.6547455295735901
cat,1000,0.6122026887280249,0.592,0.6019318759532283
deer,1000,0.8743654822335025,0.689,0.7706935123042505
dog,1000,0.8608108108108108,0.637,0.732183908045977
frog,1000,0.9009779951100244,0.737,0.8107810781078107
horse,1000,0.8888888888888888,0.648,0.7495662232504338
ship,1000,0.5,0.015,0.02912621359223301
truck,1000,0.3333333333333333,0.038,0.06822262118491922
unknown,0,0.0,0.0,0.0
macro_known avg,10000,0.6399601948084196,0.5734000000000001,0.5509739869423027
