class,support,expert,accept_rate,selected_rate,mean_stability,mean_margin
airplane,1000,Vehicle_Primary,0.922,0.737,0.9585745,0.9833417
airplane,1000,Animal_Primary,0.909,0.238,0.8234309,0.9229204
airplane,1000,Rare_Fallback,0.928,0.009,0.8266458,1.3019484
automobile,1000,Vehicle_Primary,0.958,0.931,0.9777992,1.9768635
automobile,1000,Animal_Primary,0.783,0.051,0.7483277,0.48662823
automobile,1000,Rare_Fallback,0.957,0.007,0.8458152,0.8921543
bird,1000,Vehicle_Primary,0.803,0.22,0.9017988,0.5872148
bird,1000,Animal_Primary,0.954,0.744,0.91753656,1.6533512
bird,1000,Rare_Fallback,0.896,0.005,0.8129694,0.9428237
cat,1000,Vehicle_Primary,0.614,0.265,0.81609803,0.22914247
cat,1000,Animal_Primary,0.921,0.677,0.852542,1.4326042
cat,1000,Rare_Fallback,0.914,0.015,0.8114186,0.86445606
deer,1000,Vehicle_Primary,0.791,0.25,0.9011887,0.47761336
deer,1000,Animal_Primary,0.953,0.718,0.9072614,1.6992987
deer,1000,Rare_Fallback,0.914,0.01,0.8249453,0.8942166
dog,1000,Vehicle_Primary,0.603,0.224,0.8241101,0.20962065
dog,1000,Animal_Primary,0.93,0.725,0.8647291,1.6274525
dog,1000,Rare_Fallback,0.912,0.014,0.8108981,0.8584997
frog,1000,Vehicle_Primary,0.556,0.146,0.7810869,0.15998346
frog,1000,Animal_Primary,0.925,0.792,0.88287264,1.7059064
frog,1000,Rare_Fallback,0.909,0.014,0.815329,0.85590416
horse,1000,Vehicle_Primary,0.775,0.277,0.8783086,0.44369623
horse,1000,Animal_Primary,0.945,0.685,0.8851848,1.7057232
horse,1000,Rare_Fallback,0.93,0.004,0.8431627,0.9826885
ship,1000,Vehicle_Primary,0.766,0.586,0.8760133,0.5124288
ship,1000,Animal_Primary,0.852,0.36,0.7628554,0.6381774
ship,1000,Rare_Fallback,0.925,0.022,0.8060948,1.2628435
truck,1000,Vehicle_Primary,0.782,0.686,0.88644123,0.7590509
truck,1000,Animal_Primary,0.759,0.233,0.7065537,0.4509962
truck,1000,Rare_Fallback,0.939,0.044,0.8310537,0.93287635
