expert,stage,active_owned_classes,configured_owned_classes,ood_role,id_support,ood_support,threshold,auroc,aupr_id,fpr95,id_retain_at_tau,ood_detect_at_tau
flood,energy_finetuned,ddos,"ddos,dos",non_owned_known_attack,100000,179682,-5.9011383056640625,0.9968561668391938,0.9968238506597789,0.0,0.85455,1.0
flood,energy_finetuned,ddos,"ddos,dos",unseen,100000,60594,-5.9011383056640625,0.9957558131168103,0.9980924771920257,0.0,0.85455,1.0
flood,energy_finetuned,ddos,"ddos,dos",target_non_owned_validation,100000,129677,-5.9011383056640625,0.9973594624335851,0.9976745457088697,0.0,0.85455,1.0
flood,energy_finetuned,ddos,"ddos,dos",external_aux_validation,100000,43350,-5.9011383056640625,0.9967864102652826,0.9988252398104573,0.0,0.85455,1.0
flood,energy_finetuned,ddos,"ddos,dos",benign_diagnostic,100000,100000,-5.9011383056640625,0.99833851765,0.9986273815225285,0.0,0.85455,1.0
flood,energy_finetuned,ddos,"ddos,dos",pooled_attack_out,100000,240276,-5.9011383056640625,0.996578674149728,0.9961347462232107,0.0,0.85455,1.0
flood,energy_finetuned,ddos,"ddos,dos",unseen::dos,100000,60594,-5.9011383056640625,0.9957558131168103,0.9980924771920257,0.0,0.85455,1.0
brute_force,energy_finetuned,brute_force,brute_force,non_owned_known_attack,100000,179682,-4.65325927734375,1.0,1.0000000000000002,0.0,0.99966,1.0
brute_force,energy_finetuned,brute_force,brute_force,unseen,100000,60594,-4.65325927734375,0.8827649070865102,0.8827180102450561,0.3483843284813678,0.99966,0.6516156715186322
brute_force,energy_finetuned,brute_force,brute_force,target_non_owned_validation,100000,129677,-4.65325927734375,1.0,1.0,0.0,0.99966,1.0
brute_force,energy_finetuned,brute_force,brute_force,external_aux_validation,100000,56546,-4.65325927734375,1.0,1.0,0.0,0.99966,1.0
brute_force,energy_finetuned,brute_force,brute_force,benign_diagnostic,100000,100000,-4.65325927734375,0.9999999994000001,0.9999999993999942,0.0,0.99966,1.0
brute_force,energy_finetuned,brute_force,brute_force,pooled_attack_out,100000,240276,-4.65325927734375,0.970435069586642,0.882718010245056,0.08785729744127586,0.99966,0.9121427025587241
brute_force,energy_finetuned,brute_force,brute_force,unseen::dos,100000,60594,-4.65325927734375,0.8827649070865102,0.8827180102450561,0.3483843284813678,0.99966,0.6516156715186322
tail,energy_finetuned,"bot,infiltration,web_attacks","bot,infiltration,web_attacks",non_owned_known_attack,79682,200000,-3.6843652725219727,0.9987531039632539,0.9988687264651691,0.0,0.9801962802138501,1.0
tail,energy_finetuned,"bot,infiltration,web_attacks","bot,infiltration,web_attacks",unseen,79682,60594,-3.6843652725219727,0.9787863030093256,0.9854991885121391,0.13090404990593127,0.9801962802138501,0.8690959500940687
tail,energy_finetuned,"bot,infiltration,web_attacks","bot,infiltration,web_attacks",target_non_owned_validation,79682,100000,-3.6843652725219727,0.998860060992445,0.9992549371782518,0.0,0.9801962802138501,1.0
tail,energy_finetuned,"bot,infiltration,web_attacks","bot,infiltration,web_attacks",external_aux_validation,79682,52301,-3.6843652725219727,0.9952991933734092,0.9971566885225269,0.0173801648152043,0.9801962802138501,0.9826198351847957
tail,energy_finetuned,"bot,infiltration,web_attacks","bot,infiltration,web_attacks",benign_diagnostic,79682,100000,-3.6843652725219727,0.7767213686905449,0.8127074822596825,0.75818,0.9801962802138501,0.24182
tail,energy_finetuned,"bot,infiltration,web_attacks","bot,infiltration,web_attacks",pooled_attack_out,79682,260594,-3.6843652725219727,0.9941103710645598,0.9849661421062209,0.030438152835445174,0.9801962802138501,0.9695618471645548
tail,energy_finetuned,"bot,infiltration,web_attacks","bot,infiltration,web_attacks",unseen::dos,79682,60594,-3.6843652725219727,0.9787863030093256,0.9854991885121391,0.13090404990593127,0.9801962802138501,0.8690959500940687
