expert,stage,active_owned_classes,configured_owned_classes,ood_role,id_support,ood_support,threshold,auroc,aupr_id,fpr95,id_retain_at_tau,ood_detect_at_tau
flood,pretrained,dos,"ddos,dos",non_owned_known_attack,60594,179682,-2.681975841522217,0.6043622756854415,0.2952171091898447,0.9970225175587983,0.9654916328349341,0.002810520808984762
flood,pretrained,dos,"ddos,dos",unseen,60594,100000,-2.681975841522217,0.908064144552266,0.8886996826655107,0.42416,0.9654916328349341,0.0
flood,pretrained,dos,"ddos,dos",target_non_owned_validation,60594,129677,-2.681975841522217,0.6432249998008246,0.3954962133262877,0.9969539702491576,0.9654916328349341,0.0028146857191329224
flood,pretrained,dos,"ddos,dos",external_aux_validation,60594,43350,-2.681975841522217,0.48923224742485,0.590633521644349,0.99439446366782,0.9654916328349341,0.003898500576701269
flood,pretrained,dos,"ddos,dos",benign_diagnostic,60594,100000,-2.681975841522217,0.791141921477374,0.7060547481447506,0.99074,0.9654916328349341,0.00736
flood,pretrained,dos,"ddos,dos",pooled_attack_out,60594,279682,-2.681975841522217,0.7129505541112339,0.2817007648811384,0.7921961370413542,0.9654916328349341,0.0018056220993843007
flood,pretrained,dos,"ddos,dos",unseen::ddos,60594,100000,-2.681975841522217,0.908064144552266,0.8886996826655107,0.42416,0.9654916328349341,0.0
flood,energy_finetuned,dos,"ddos,dos",non_owned_known_attack,60594,179682,-2.7283694744110107,0.9288257504476235,0.8097950324847629,0.37421667167551564,0.9903950886226359,0.6257833283244844
flood,energy_finetuned,dos,"ddos,dos",unseen,60594,100000,-2.7283694744110107,0.9894773231673103,0.9898906219944811,0.00907,0.9903950886226359,0.99093
flood,energy_finetuned,dos,"ddos,dos",target_non_owned_validation,60594,129677,-2.7283694744110107,0.9490199025249354,0.8696434699488528,0.2594908889008845,0.9903950886226359,0.7405091110991155
flood,energy_finetuned,dos,"ddos,dos",external_aux_validation,60594,43350,-2.7283694744110107,0.995046315220189,0.9970153139562419,0.005121107266435986,0.9903950886226359,0.994878892733564
flood,energy_finetuned,dos,"ddos,dos",benign_diagnostic,60594,100000,-2.7283694744110107,0.9970050179885798,0.9957712017655529,0.00431,0.9903950886226359,0.99569
flood,energy_finetuned,dos,"ddos,dos",pooled_attack_out,60594,279682,-2.7283694744110107,0.9505116554110059,0.8077023952611985,0.24365886971632067,0.9903950886226359,0.7563411302836793
flood,energy_finetuned,dos,"ddos,dos",unseen::ddos,60594,100000,-2.7283694744110107,0.9894773231673103,0.9898906219944811,0.00907,0.9903950886226359,0.99093
brute_force,pretrained,brute_force,brute_force,non_owned_known_attack,100000,140276,-3.3923628330230713,0.6325301692734322,0.6362400404110341,0.9689112891727737,0.95225,0.030910490746813426
brute_force,pretrained,brute_force,brute_force,unseen,100000,100000,-3.3923628330230713,0.67232,0.8210663064483206,1.0,0.95225,0.0
brute_force,pretrained,brute_force,brute_force,target_non_owned_validation,100000,129677,-3.3923628330230713,0.6354695995049237,0.6636476625853382,0.9761330073952975,0.95225,0.02373589765340037
brute_force,pretrained,brute_force,brute_force,external_aux_validation,100000,56546,-3.3923628330230713,0.7448935000707388,0.886368159053782,0.7789233544370955,0.95225,0.22105896084603685
brute_force,pretrained,brute_force,brute_force,benign_diagnostic,100000,100000,-3.3923628330230713,0.6949932659,0.8268881900501284,0.93057,0.95225,0.06942
brute_force,pretrained,brute_force,brute_force,pooled_attack_out,100000,240276,-3.3923628330230713,0.6490902213496147,0.597267148270308,0.9818500391216768,0.95225,0.01804591386572109
brute_force,pretrained,brute_force,brute_force,unseen::ddos,100000,100000,-3.3923628330230713,0.67232,0.8210663064483206,1.0,0.95225,0.0
brute_force,energy_finetuned,brute_force,brute_force,non_owned_known_attack,100000,140276,-3.5483293533325195,0.9494025746385697,0.8827954323860511,0.150489035900653,0.99994,0.849510964099347
brute_force,energy_finetuned,brute_force,brute_force,unseen,100000,100000,-3.5483293533325195,0.9999999999999999,1.0000000000000002,0.0,0.99994,1.0
brute_force,energy_finetuned,brute_force,brute_force,target_non_owned_validation,100000,129677,-3.5483293533325195,0.9546579927049516,0.8999116332169321,0.1348581475512234,0.99994,0.8651418524487766
brute_force,energy_finetuned,brute_force,brute_force,external_aux_validation,100000,56546,-3.5483293533325195,1.0,1.0,0.0,0.99994,1.0
brute_force,energy_finetuned,brute_force,brute_force,benign_diagnostic,100000,100000,-3.5483293533325195,0.9999999994,0.9999999993999941,0.0,0.99994,1.0
