role,branch,count,share_of_role,accuracy
known,all_out,1720,0.0071584344670295825,0.0
known,argmin,111713,0.4649361567530673,0.8099325951321691
known,owner_only,126843,0.5279054087799031,0.9917220500934226
known,ALL,240276,1.0,0.9001023822604005
unseen,all_out,10930,0.1093,1.0
unseen,argmin,17421,0.17421,0.0
unseen,owner_only,71649,0.71649,0.0
unseen,ALL,100000,1.0,0.1093
benign,all_out,386,0.00386,0.0
benign,argmin,74348,0.74348,0.03185021789422715
benign,owner_only,25266,0.25266,0.843900894482704
benign,ALL,100000,1.0,0.2369
