expert,stage,active_owned_classes,configured_owned_classes,ood_role,id_support,ood_support,threshold,auroc,aupr_id,fpr95,id_retain_at_tau,ood_detect_at_tau
flood,energy_finetuned,"ddos,dos","ddos,dos",non_owned_known_attack,200000,323,-3.7207818031311035,0.9893478637770898,0.9999827355813969,0.0,0.95021,1.0
flood,energy_finetuned,"ddos,dos","ddos,dos",unseen,200000,100000,-3.7207818031311035,0.980719444875,0.9924063709414073,0.00014,0.95021,0.99986
flood,energy_finetuned,"ddos,dos","ddos,dos",target_non_owned_validation,200000,323,-3.7207818031311035,0.9895759520123839,0.9999831077191286,0.0,0.95021,1.0
flood,energy_finetuned,"ddos,dos","ddos,dos",external_aux_validation,200000,51535,-3.7207818031311035,0.9883732101969536,0.9975101644448927,0.0,0.95021,1.0
flood,energy_finetuned,"ddos,dos","ddos,dos",benign_diagnostic,200000,51989,-3.7207818031311035,0.9780333504202811,0.9882995587428498,0.021523783877358673,0.95021,0.9784762161226414
flood,energy_finetuned,"ddos,dos","ddos,dos",pooled_attack_out,200000,100323,-3.7207818031311035,0.9807472249384487,0.9923986189974192,0.00013954925590343192,0.95021,0.9998604507440966
flood,energy_finetuned,"ddos,dos","ddos,dos",unseen::reconnaissance,200000,100000,-3.7207818031311035,0.980719444875,0.9924063709414073,0.00014,0.95021,0.99986
theft,energy_finetuned,theft,theft,non_owned_known_attack,323,200000,-0.9860816597938538,0.9444558513931888,0.8096296778187414,0.985005,0.9442724458204335,0.996335
theft,energy_finetuned,theft,theft,unseen,323,100000,-0.9860816597938538,0.8833151702786377,0.735734263698714,0.879,0.9442724458204335,0.14208
theft,energy_finetuned,theft,theft,target_non_owned_validation,323,100000,-0.9860816597938538,0.9442724458204336,0.9444471593552004,1.0,0.9442724458204335,1.0
theft,energy_finetuned,theft,theft,external_aux_validation,323,68731,-0.9860816597938538,0.8947940039764662,0.04460020739695507,0.3673597066825741,0.9442724458204335,0.7793717536482809
theft,energy_finetuned,theft,theft,benign_diagnostic,323,51989,-0.9860816597938538,0.9134883677167479,0.329330437551506,0.7863586527919367,0.9442724458204335,0.45603877743368787
theft,energy_finetuned,theft,theft,pooled_attack_out,323,300000,-0.9860816597938538,0.9240756243550052,0.7342715829950327,0.94967,0.9442724458204335,0.7115833333333333
theft,energy_finetuned,theft,theft,unseen::reconnaissance,323,100000,-0.9860816597938538,0.8833151702786377,0.735734263698714,0.879,0.9442724458204335,0.14208
