expert,true_class,true_role,predicted_class,count,true_class_test_support,share_of_test_support
flood,ddos,target known,dos,94918,100000,0.94918
flood,dos,target known,ddos,6,100000,6e-05
flood,dos,target known,dos,95118,100000,0.95118
flood,unseen::reconnaissance,target unseen,ddos,14,100000,0.00014
flood,benign_diagnostic,benign diagnostic,ddos,1119,51989,0.021523783877358673
theft,ddos,target known,theft,369,100000,0.00369
theft,dos,target known,theft,364,100000,0.00364
theft,theft,target known,theft,305,323,0.9442724458204335
theft,unseen::reconnaissance,target unseen,theft,85792,100000,0.85792
theft,benign_diagnostic,benign diagnostic,theft,28280,51989,0.5439612225663121
