expert,stage,active_owned_classes,configured_owned_classes,ood_role,id_support,ood_support,threshold,auroc,aupr_id,fpr95,id_retain_at_tau,ood_detect_at_tau
flood,pretrained,"ddos,dos","ddos,dos",non_owned_known_attack,200000,323,-2.009192705154419,0.986204024767802,0.9999776092709349,0.0030959752321981426,0.93962,1.0
flood,pretrained,"ddos,dos","ddos,dos",unseen,200000,100000,-2.009192705154419,0.9925503186000001,0.997009140233478,0.00508,0.93962,0.99584
flood,pretrained,"ddos,dos","ddos,dos",target_non_owned_validation,200000,323,-2.009192705154419,0.9850159984520124,0.9999756879045159,0.0,0.93962,1.0
flood,pretrained,"ddos,dos","ddos,dos",benign_diagnostic,200000,51989,-2.009192705154419,0.9768119436323066,0.993493259554904,0.06132066398661255,0.93962,0.9525284194733501
flood,pretrained,"ddos,dos","ddos,dos",pooled_attack_out,200000,100323,-2.009192705154419,0.9925298860680002,0.9969934251318844,0.00507361223248906,0.93962,0.9958533935388695
flood,pretrained,"ddos,dos","ddos,dos",unseen::reconnaissance,200000,100000,-2.009192705154419,0.9925503186000001,0.997009140233478,0.00508,0.93962,0.99584
flood,energy_finetuned,"ddos,dos","ddos,dos",non_owned_known_attack,200000,323,-4.240505218505859,0.9934616563467491,0.9999894224513516,0.0,0.9479,1.0
flood,energy_finetuned,"ddos,dos","ddos,dos",unseen,200000,100000,-4.240505218505859,0.9862926914999999,0.9948518595453908,0.00025,0.9479,0.99977
flood,energy_finetuned,"ddos,dos","ddos,dos",target_non_owned_validation,200000,323,-4.240505218505859,0.9937717337461299,0.9999899226656078,0.0,0.9479,1.0
flood,energy_finetuned,"ddos,dos","ddos,dos",benign_diagnostic,200000,51989,-4.240505218505859,0.966567691242378,0.9681962948726234,0.022562465136855874,0.9479,0.9774760045394218
flood,energy_finetuned,"ddos,dos","ddos,dos",pooled_attack_out,200000,100323,-4.240505218505859,0.9863157727041656,0.994847105539642,0.000249195099827557,0.9479,0.9997707405081586
flood,energy_finetuned,"ddos,dos","ddos,dos",unseen::reconnaissance,200000,100000,-4.240505218505859,0.9862926914999999,0.9948518595453908,0.00025,0.9479,0.99977
theft,pretrained,theft,theft,non_owned_known_attack,323,200000,-0.9079074859619141,0.9902560371517029,0.14672941043624704,0.011765,0.9938080495356038,0.988235
theft,pretrained,theft,theft,unseen,323,100000,-0.9079074859619141,0.9054117647058822,0.026402239722982584,0.11034,0.9938080495356038,0.88966
theft,pretrained,theft,theft,target_non_owned_validation,323,100000,-0.9079074859619141,0.99999,0.9854423558993679,1e-05,0.9938080495356038,0.99999
theft,pretrained,theft,theft,benign_diagnostic,323,51989,-0.9079074859619141,0.8562793141464136,0.029845165032481497,0.16601588797630268,0.9938080495356038,0.8339841120236973
theft,pretrained,theft,theft,pooled_attack_out,323,300000,-0.9079074859619141,0.961974613003096,0.022319114022772847,0.044623333333333334,0.9938080495356038,0.9553766666666667
theft,pretrained,theft,theft,unseen::reconnaissance,323,100000,-0.9079074859619141,0.9054117647058822,0.026402239722982584,0.11034,0.9938080495356038,0.88966
theft,energy_finetuned,theft,theft,non_owned_known_attack,323,200000,-1.3351982831954956,0.9995504953560371,0.6909869896307737,0.00047,0.18885448916408668,0.99954
theft,energy_finetuned,theft,theft,unseen,323,100000,-1.3351982831954956,0.9130301547987617,0.0301399803744813,0.1015,0.18885448916408668,0.90126
theft,energy_finetuned,theft,theft,target_non_owned_validation,323,100000,-1.3351982831954956,0.9999902476780186,0.9915916195561095,1e-05,0.18885448916408668,0.99999
theft,energy_finetuned,theft,theft,benign_diagnostic,323,51989,-1.3351982831954956,0.9155707324846701,0.06689341108881826,0.09628959972301833,0.18885448916408668,0.9039796880109254
theft,energy_finetuned,theft,theft,pooled_attack_out,323,300000,-1.3351982831954956,0.9707103818369452,0.029540067365310296,0.034146666666666665,0.18885448916408668,0.96678
theft,energy_finetuned,theft,theft,unseen::reconnaissance,323,100000,-1.3351982831954956,0.9130301547987617,0.0301399803744813,0.1015,0.18885448916408668,0.90126
