expert,epoch,loss,ce_loss,energy_margin_loss,val_macro_f1,val_accuracy
flood,1,0.00486443820168823,0.00018478913533408195,0.046796489836335185,0.5,1.0
flood,2,0.0006188648641891778,7.034639306808822e-05,0.005485184608593583,0.5,1.0
flood,3,0.00028044917316176,3.8791697915410626e-05,0.0024165747087299826,0.5,1.0
flood,4,0.00016216266594920307,2.5046529616927727e-05,0.001371161340802908,0.5,1.0
flood,5,0.00010543092165142297,1.7543649669154548e-05,0.0008788727060891687,0.5,1.0
flood,6,7.624272463470697e-05,1.3036120865668636e-05,0.0006320660270228982,0.5,1.0
flood,7,5.581962811155245e-05,9.949749965569936e-06,0.00045869877349957825,0.5,1.0
flood,8,4.445033214322757e-05,7.85768683423521e-06,0.0003659264446987072,0.5,1.0
flood,9,3.488127963175066e-05,6.308810946851736e-06,0.0002857246821802109,0.5,1.0
flood,10,2.8685019409516828e-05,5.1414734140853396e-06,0.00023543545513181015,0.5,1.0
flood,11,2.4449443359088035e-05,4.217447226095828e-06,0.0002023199565028772,0.5,1.0
flood,12,1.901203955025994e-05,3.4930133658053817e-06,0.0001551902600090907,0.5,1.0
flood,13,1.649068477831315e-05,2.910824715188937e-06,0.00013579859866469634,0.5,1.0
flood,14,1.4503097740060184e-05,2.4641362299153117e-06,0.00012038961344378186,0.5,1.0
flood,15,1.2537139423715417e-05,2.1077335790032523e-06,0.00010429405594529817,0.5,1.0
recon,1,0.005435411769956351,0.0002412551032733172,0.0519415657864809,0.5,1.0
recon,2,0.0017662317705377936,0.00010932501909649,0.01656906725269556,0.5,1.0
recon,3,0.0011598801828213035,6.053956192638725e-05,0.010993406018137931,0.5,1.0
recon,4,0.0010046229974254965,3.814732543658465e-05,0.00966475657081604,0.5,1.0
recon,5,0.0009137783679552376,2.691277059202548e-05,0.008868655830264091,0.5,1.0
recon,6,0.0008299206332266331,2.1222064551548102e-05,0.008086985564470291,0.5,1.0
recon,7,0.0007590099608525634,1.6361430919147097e-05,0.007426485166311264,0.5,1.0
recon,8,0.0006710026026405394,1.1181775626260788e-05,0.0065982081512212755,0.5,1.0
recon,9,0.000619367867236957,7.317694594938075e-06,0.006120501602590084,0.5,1.0
recon,10,0.0005974360407441855,5.642936811869731e-06,0.005917930912792683,0.5,1.0
recon,11,0.0005793803789950907,4.548842372285435e-06,0.005748315306782723,0.5,1.0
recon,12,0.0005567939652428031,3.801670198503416e-06,0.005529922837674618,0.5,1.0
recon,13,0.0005360484393797815,3.1017398061958375e-06,0.005329466880470514,0.5,1.0
recon,14,0.0005167800896391273,2.4303328640962717e-06,0.005143497451901436,0.5,1.0
recon,15,0.0004965335053876042,2.146529797129915e-06,0.004943869639575481,0.5,1.0
theft,1,0.18456850945949554,0.17076656222343445,0.13801944255828857,0.5,1.0
theft,2,0.16972753405570984,0.15535162389278412,0.14375917613506317,0.5,1.0
theft,3,0.156248539686203,0.1429077833890915,0.13340753316879272,0.5,1.0
theft,4,0.14573383331298828,0.1326070874929428,0.13126741349697113,0.5,1.0
theft,5,0.13978326320648193,0.1268671303987503,0.12916132807731628,0.5,1.0
theft,6,0.13124395906925201,0.11884105950593948,0.12402898818254471,0.5,1.0
theft,7,0.12096552550792694,0.10949217528104782,0.11473353952169418,0.5,1.0
theft,8,0.11672870069742203,0.10522051155567169,0.11508192121982574,0.5,1.0
theft,9,0.10662400722503662,0.09592653065919876,0.10697473585605621,0.5,1.0
theft,10,0.10659056901931763,0.09572317451238632,0.10867395251989365,0.5,1.0
theft,11,0.10002758353948593,0.08953680843114853,0.10490773618221283,0.5,1.0
theft,12,0.0956207662820816,0.0858122855424881,0.09808484464883804,0.5,1.0
theft,13,0.09329245239496231,0.08382215350866318,0.09470300376415253,0.5,1.0
theft,14,0.0878920778632164,0.07930302619934082,0.08589048683643341,0.5,1.0
theft,15,0.08350816369056702,0.07526321709156036,0.08244948089122772,0.5,1.0
benign,1,0.024552697891629994,0.018637624819168346,0.05915072741337999,0.5,1.0
benign,2,0.02022425763747777,0.015514204957203074,0.04710052445092833,0.5,1.0
benign,3,0.017628467648130332,0.013424592545829329,0.04203874799392018,0.5,1.0
benign,4,0.015802227709944806,0.011859885199776585,0.03942342559085573,0.5,1.0
benign,5,0.014300050980595417,0.010603005745457219,0.03697045308514224,0.5,1.0
benign,6,0.01307133652108733,0.009640175982270969,0.034311606121923875,0.5,1.0
benign,7,0.012143208722941664,0.008916219358095362,0.032269892707675836,0.5,1.0
benign,8,0.011521021475045044,0.008396332479209147,0.031246888189762664,0.5,1.0
benign,9,0.010936710492281166,0.007944509586952232,0.029922008978020394,0.5,1.0
benign,10,0.01037890857884374,0.007533529250323438,0.02845379384018086,0.5,1.0
benign,11,0.010048107102881627,0.007252527651304858,0.02795579437469439,0.5,1.0
benign,12,0.009561930120541145,0.00687266804232634,0.026892619107600622,0.5,1.0
benign,13,0.009252596640725246,0.006618249451385266,0.02634346956982566,0.5,1.0
benign,14,0.00887453671690133,0.006322376391086466,0.0255216044716178,0.5,1.0
benign,15,0.008612523074818523,0.006115851433515297,0.024966716318983413,0.5,1.0
