expert,true_class,true_role,predicted_class,count,true_class_test_support,share_of_test_support
flood,ddos,target known,ddos,78695,100000,0.78695
flood,unseen::dos,target unseen,ddos,67145,100000,0.67145
recon,ddos,target known,reconnaissance,26,100000,0.00026
recon,reconnaissance,target known,reconnaissance,83058,100000,0.83058
recon,theft,target known,reconnaissance,1,323,0.0030959752321981426
recon,unseen::dos,target unseen,reconnaissance,1706,100000,0.01706
recon,benign_diagnostic,benign diagnostic,reconnaissance,34255,51989,0.6588893804458635
theft,ddos,target known,theft,56,100000,0.00056
theft,reconnaissance,target known,theft,12881,100000,0.12881
theft,theft,target known,theft,281,323,0.8699690402476781
theft,unseen::dos,target unseen,theft,102,100000,0.00102
theft,benign_diagnostic,benign diagnostic,theft,2142,51989,0.04120102329338898
