expert,stage,active_owned_classes,configured_owned_classes,ood_role,id_support,ood_support,threshold,auroc,aupr_id,fpr95,id_retain_at_tau,ood_detect_at_tau
flood,energy_finetuned,"ddos,dos","ddos,dos",non_owned_known_attack,140692,319033,-2.293070077896118,0.9984495628821799,0.9950330629705104,0.0062532716051317576,0.9630824780371308,0.9927625041923562
flood,energy_finetuned,"ddos,dos","ddos,dos",unseen,140692,100000,-2.293070077896118,0.9539590151892076,0.9361632962545563,0.13787,0.9630824780371308,0.84229
flood,energy_finetuned,"ddos,dos","ddos,dos",target_non_owned_validation,140692,192672,-2.293070077896118,0.998633724880633,0.9974248345359543,0.005008511875103803,0.9630824780371308,0.9938029397110114
flood,energy_finetuned,"ddos,dos","ddos,dos",external_aux_validation,140692,33861,-2.293070077896118,0.9995221476763851,0.9998767526107145,0.001476625025840938,0.9630824780371308,0.9978441274622722
flood,energy_finetuned,"ddos,dos","ddos,dos",benign_diagnostic,140692,100000,-2.293070077896118,0.9529276334475307,0.921599494627337,0.07843,0.9630824780371308,0.83707
flood,energy_finetuned,"ddos,dos","ddos,dos",pooled_attack_out,140692,419033,-2.293070077896118,0.987832129960913,0.9318736651428915,0.03766290483088444,0.9630824780371308,0.9568530402140165
flood,energy_finetuned,"ddos,dos","ddos,dos",unseen::xss,140692,100000,-2.293070077896118,0.9539590151892076,0.9361632962545563,0.13787,0.9630824780371308,0.84229
probe_access,energy_finetuned,"scanning,password","scanning,password",non_owned_known_attack,200000,259725,-5.368288516998291,0.9180196277505053,0.9253361887672329,0.32997978631244584,0.672785,0.9998113389161614
probe_access,energy_finetuned,"scanning,password","scanning,password",unseen,200000,100000,-5.368288516998291,0.8223254961750001,0.9344173760656171,0.71441,0.672785,0.99966
probe_access,energy_finetuned,"scanning,password","scanning,password",target_non_owned_validation,200000,183363,-5.368288516998291,0.9127681533079193,0.9393914758163652,0.3510631915926332,0.672785,0.9997873071448439
probe_access,energy_finetuned,"scanning,password","scanning,password",external_aux_validation,200000,39642,-5.368288516998291,0.9300592263256141,0.9868210063355156,0.27970334493718785,0.672785,0.9986125826143989
probe_access,energy_finetuned,"scanning,password","scanning,password",benign_diagnostic,200000,100000,-5.368288516998291,0.55917566945,0.6850770020050847,0.83155,0.672785,0.59931
probe_access,energy_finetuned,"scanning,password","scanning,password",pooled_attack_out,200000,359725,-5.368288516998291,0.8914176035443742,0.8903367925468753,0.43684759191048717,0.672785,0.9997692681909792
probe_access,energy_finetuned,"scanning,password","scanning,password",unseen::xss,200000,100000,-5.368288516998291,0.8223254961750001,0.9344173760656171,0.71441,0.672785,0.99966
application,energy_finetuned,injection,"injection,xss",non_owned_known_attack,76356,383369,-2.4560868740081787,0.9949763267016176,0.9837357350954111,0.015222931431597234,0.9543323379957044,0.9790645566021249
application,energy_finetuned,injection,"injection,xss",unseen,76356,100000,-2.4560868740081787,0.9378730998873698,0.9464929363325058,0.50431,0.9543323379957044,0.47053
application,energy_finetuned,injection,"injection,xss",target_non_owned_validation,76356,233363,-2.4560868740081787,0.9946304810278576,0.9880073534596349,0.015533739281719895,0.9543323379957044,0.9793454832171338
application,energy_finetuned,injection,"injection,xss",external_aux_validation,76356,50304,-2.4560868740081787,0.9981099840155051,0.9987624152262491,0.006063136132315522,0.9543323379957044,0.9922471374045801
application,energy_finetuned,injection,"injection,xss",benign_diagnostic,76356,100000,-2.4560868740081787,0.9771301578134005,0.979384262451332,0.24018,0.9543323379957044,0.64779
application,energy_finetuned,injection,"injection,xss",pooled_attack_out,76356,483369,-2.4560868740081787,0.9831627377428207,0.941300126637324,0.11640589280653083,0.9543323379957044,0.8738582739066841
application,energy_finetuned,injection,"injection,xss",unseen::xss,76356,100000,-2.4560868740081787,0.9378730998873698,0.9464929363325058,0.50431,0.9543323379957044,0.47053
stealth_malware,energy_finetuned,"backdoor,mitm,ransomware","backdoor,mitm,ransomware",non_owned_known_attack,42677,417048,-6.303365230560303,0.9967805190443626,0.9897831467097622,0.0,0.9500199170513391,1.0
stealth_malware,energy_finetuned,"backdoor,mitm,ransomware","backdoor,mitm,ransomware",unseen,42677,100000,-6.303365230560303,0.9962916565128757,0.9955716828393424,0.0,0.9500199170513391,1.0
stealth_malware,energy_finetuned,"backdoor,mitm,ransomware","backdoor,mitm,ransomware",target_non_owned_validation,42677,240691,-6.303365230560303,0.9987338504936865,0.9972470629435528,0.0,0.9500199170513391,1.0
stealth_malware,energy_finetuned,"backdoor,mitm,ransomware","backdoor,mitm,ransomware",external_aux_validation,42677,50125,-6.303365230560303,0.9987217980308736,0.9987845509067497,0.0009376558603491271,0.9500199170513391,0.9990224438902743
stealth_malware,energy_finetuned,"backdoor,mitm,ransomware","backdoor,mitm,ransomware",benign_diagnostic,42677,100000,-6.303365230560303,0.9971833726597465,0.9954973193586936,0.0,0.9500199170513391,1.0
stealth_malware,energy_finetuned,"backdoor,mitm,ransomware","backdoor,mitm,ransomware",pooled_attack_out,42677,517048,-6.303365230560303,0.9966859702729745,0.9890548067596547,0.0,0.9500199170513391,1.0
stealth_malware,energy_finetuned,"backdoor,mitm,ransomware","backdoor,mitm,ransomware",unseen::xss,42677,100000,-6.303365230560303,0.9962916565128757,0.9955716828393424,0.0,0.9500199170513391,1.0
