expert,true_class,true_role,predicted_class,count,true_class_test_support,share_of_test_support
flood,backdoor,target known,ddos,2,40678,4.9166625694478586e-05
flood,ddos,target known,ddos,99084,100000,0.99084
flood,ddos,target known,dos,100,100000,0.001
flood,dos,target known,dos,36314,40692,0.8924112847734198
flood,injection,target known,ddos,1204,76356,0.015768243491015767
flood,injection,target known,dos,853,76356,0.011171355230761171
flood,mitm,target known,ddos,1,1204,0.0008305647840531562
flood,mitm,target known,dos,2,1204,0.0016611295681063123
flood,password,target known,ddos,32,100000,0.00032
flood,password,target known,dos,1,100000,1e-05
flood,ransomware,target known,ddos,32,795,0.04025157232704402
flood,scanning,target known,ddos,182,100000,0.00182
flood,unseen::xss,target unseen,ddos,7338,100000,0.07338
flood,unseen::xss,target unseen,dos,8433,100000,0.08433
flood,benign_diagnostic,benign diagnostic,ddos,15723,100000,0.15723
flood,benign_diagnostic,benign diagnostic,dos,570,100000,0.0057
probe_access,ddos,target known,password,4,100000,4e-05
probe_access,injection,target known,scanning,3,76356,3.928964325003929e-05
probe_access,injection,target known,password,42,76356,0.00055005500550055
probe_access,password,target known,password,92829,100000,0.92829
probe_access,scanning,target known,scanning,41726,100000,0.41726
probe_access,scanning,target known,password,2,100000,2e-05
probe_access,unseen::xss,target unseen,scanning,26,100000,0.00026
probe_access,unseen::xss,target unseen,password,8,100000,8e-05
probe_access,benign_diagnostic,benign diagnostic,scanning,39283,100000,0.39283
probe_access,benign_diagnostic,benign diagnostic,password,786,100000,0.00786
application,backdoor,target known,injection,18,40678,0.0004424996312503073
application,ddos,target known,injection,4321,100000,0.04321
application,dos,target known,injection,2389,40692,0.05870932861496117
application,injection,target known,injection,72869,76356,0.9543323379957044
application,mitm,target known,injection,90,1204,0.07475083056478406
application,password,target known,injection,924,100000,0.00924
application,ransomware,target known,injection,14,795,0.01761006289308176
application,scanning,target known,injection,270,100000,0.0027
application,unseen::xss,target unseen,injection,52947,100000,0.52947
application,benign_diagnostic,benign diagnostic,injection,35221,100000,0.35221
stealth_malware,backdoor,target known,backdoor,40544,40678,0.99670583607847
