true_class,owner_expert,intruding_expert,false_accept_count,true_class_test_support,owner_also_in_rate,owner_lower_energy_rate,resolvable_by_argmin_rate,mean_owner_energy,owner_threshold,mean_intruder_energy,intruder_threshold
ddos,flood,application,4321,100000,0.9113631103911132,0.9076602638278176,0.9076602638278176,-2.829740524291992,-2.293070077896118,-2.5427069664001465,-2.4560868740081787
dos,flood,application,2389,40692,0.0703223105902051,0.0,0.0,-1.9301849603652954,-2.293070077896118,-2.506725549697876,-2.4560868740081787
injection,application,flood,2057,76356,0.25328147788040833,0.10841030627126884,0.04618376276130287,-2.4153101444244385,-2.4560868740081787,-3.0621418952941895,-2.293070077896118
password,probe_access,application,924,100000,0.341991341991342,0.9989177489177489,0.341991341991342,-5.055763244628906,-5.368288516998291,-2.63181209564209,-2.4560868740081787
scanning,probe_access,application,270,100000,0.07037037037037037,0.9814814814814815,0.07037037037037037,-3.96649169921875,-5.368288516998291,-2.6529924869537354,-2.4560868740081787
scanning,probe_access,flood,182,100000,0.005494505494505495,0.8681318681318682,0.005494505494505495,-3.6109445095062256,-5.368288516998291,-2.866353750228882,-2.293070077896118
mitm,stealth_malware,application,90,1204,0.0,1.0,0.0,-4.747799873352051,-6.303365230560303,-2.5731818675994873,-2.4560868740081787
injection,application,probe_access,45,76356,0.1111111111111111,0.0,0.0,-2.344648599624634,-2.4560868740081787,-5.724348068237305,-5.368288516998291
password,probe_access,flood,33,100000,0.3333333333333333,0.9696969696969697,0.3333333333333333,-4.675002574920654,-5.368288516998291,-2.9441115856170654,-2.293070077896118
ransomware,stealth_malware,flood,32,795,0.0,0.96875,0.0,-4.327668190002441,-6.303365230560303,-3.3510923385620117,-2.293070077896118
backdoor,stealth_malware,application,18,40678,0.0,1.0,0.0,-3.851301431655884,-6.303365230560303,-2.645014762878418,-2.4560868740081787
ransomware,stealth_malware,application,14,795,0.0,1.0,0.0,-4.02821683883667,-6.303365230560303,-2.5451676845550537,-2.4560868740081787
ddos,flood,probe_access,4,100000,0.0,0.0,0.0,0.26530763506889343,-2.293070077896118,-5.468242645263672,-5.368288516998291
mitm,stealth_malware,flood,3,1204,0.0,1.0,0.0,-4.394351959228516,-6.303365230560303,-2.8773584365844727,-2.293070077896118
backdoor,stealth_malware,flood,2,40678,0.0,1.0,0.0,-3.0630197525024414,-6.303365230560303,-2.597527503967285,-2.293070077896118
