role,branch,count,share_of_role,accuracy
known,all_out,11470,0.024949698189134808,0.0
known,argmin,57436,0.12493555930175648,0.8710913016226757
known,owner_only,390819,0.8501147425091087,0.8414150796148601
known,ALL,459725,1.0,0.824129642721192
unseen,all_out,25717,0.25717,1.0
unseen,argmin,35860,0.3586,0.0
unseen,owner_only,38423,0.38423,0.0
unseen,ALL,100000,1.0,0.25717
benign,all_out,4680,0.0468,0.0
benign,argmin,76904,0.76904,0.9677910121710184
benign,owner_only,18416,0.18416,0.6625760208514335
benign,ALL,100000,1.0,0.86629
