expert,stage,active_owned_classes,configured_owned_classes,ood_role,id_support,ood_support,threshold,auroc,aupr_id,fpr95,id_retain_at_tau,ood_detect_at_tau
flood,energy_finetuned,"ddos,dos","ddos,dos",non_owned_known_attack,140692,319033,-2.130122184753418,0.9984825301566634,0.9951361013664214,0.006102816949970693,0.9658118443123987,0.9926026461212476
flood,energy_finetuned,"ddos,dos","ddos,dos",unseen,140692,100000,-2.130122184753418,0.9684838583572626,0.9704692121773629,0.11846,0.9658118443123987,0.8515
flood,energy_finetuned,"ddos,dos","ddos,dos",target_non_owned_validation,140692,192672,-2.130122184753418,0.9986870153481474,0.9975139672974797,0.005050033217073576,0.9658118443123987,0.9936420445108786
flood,energy_finetuned,"ddos,dos","ddos,dos",benign_diagnostic,140692,100000,-2.130122184753418,0.952346137413641,0.9159997671749236,0.05629,0.9658118443123987,0.83568
flood,energy_finetuned,"ddos,dos","ddos,dos",pooled_attack_out,140692,419033,-2.130122184753418,0.9913235064522296,0.9661266236510261,0.0329162619650481,0.9658118443123987,0.9589292490090279
flood,energy_finetuned,"ddos,dos","ddos,dos",unseen::xss,140692,100000,-2.130122184753418,0.9684838583572626,0.9704692121773629,0.11846,0.9658118443123987,0.8515
probe_access,energy_finetuned,"scanning,password","scanning,password",non_owned_known_attack,200000,259725,-7.454983711242676,0.9998460165174704,0.9998225893664298,0.00013090769082683607,0.695005,0.9999537972855905
probe_access,energy_finetuned,"scanning,password","scanning,password",unseen,200000,100000,-7.454983711242676,0.9993531858500001,0.999709583595543,0.00042,0.695005,0.99972
probe_access,energy_finetuned,"scanning,password","scanning,password",target_non_owned_validation,200000,183363,-7.454983711242676,0.9998330542557657,0.9998562043095908,0.0001472488997234993,0.695005,0.9999345560445674
probe_access,energy_finetuned,"scanning,password","scanning,password",benign_diagnostic,200000,100000,-7.454983711242676,0.6412150538000001,0.7322357994163178,0.48871,0.695005,0.5439
probe_access,energy_finetuned,"scanning,password","scanning,password",pooled_attack_out,200000,359725,-7.454983711242676,0.9997090144554868,0.9995675305560163,0.00021127249982625615,0.695005,0.9998888039474598
probe_access,energy_finetuned,"scanning,password","scanning,password",unseen::xss,200000,100000,-7.454983711242676,0.9993531858500001,0.999709583595543,0.00042,0.695005,0.99972
application,energy_finetuned,injection,"injection,xss",non_owned_known_attack,76356,383369,-3.0487101078033447,0.9949387228542721,0.9837550885905227,0.01652194100201112,0.9547252344282047,0.9812739162530095
application,energy_finetuned,injection,"injection,xss",unseen,76356,100000,-3.0487101078033447,0.9400715654303526,0.9512076668647926,0.51101,0.9547252344282047,0.46895
application,energy_finetuned,injection,"injection,xss",target_non_owned_validation,76356,233363,-3.0487101078033447,0.9946629210839788,0.9880964610737952,0.01711925198081958,0.9547252344282047,0.9797482891460942
application,energy_finetuned,injection,"injection,xss",benign_diagnostic,76356,100000,-3.0487101078033447,0.9742417042537588,0.9769987783488703,0.36147,0.9547252344282047,0.63005
application,energy_finetuned,injection,"injection,xss",pooled_attack_out,76356,483369,-3.0487101078033447,0.9835877348049931,0.9458923843755199,0.11882226621897557,0.9547252344282047,0.8752836859624842
application,energy_finetuned,injection,"injection,xss",unseen::xss,76356,100000,-3.0487101078033447,0.9400715654303526,0.9512076668647926,0.51101,0.9547252344282047,0.46895
stealth_malware,energy_finetuned,"backdoor,mitm,ransomware","backdoor,mitm,ransomware",non_owned_known_attack,42677,417048,-5.446479797363281,0.9952548241589719,0.9814347442054143,0.0,0.9504182580781217,1.0
stealth_malware,energy_finetuned,"backdoor,mitm,ransomware","backdoor,mitm,ransomware",unseen,42677,100000,-5.446479797363281,0.9976283757058837,0.9973981139302317,0.0,0.9504182580781217,1.0
stealth_malware,energy_finetuned,"backdoor,mitm,ransomware","backdoor,mitm,ransomware",target_non_owned_validation,42677,240691,-5.446479797363281,0.9989784864833959,0.9976449581344249,4.154704579730858e-06,0.9504182580781217,0.9999958452954203
stealth_malware,energy_finetuned,"backdoor,mitm,ransomware","backdoor,mitm,ransomware",benign_diagnostic,42677,100000,-5.446479797363281,0.9958210202216651,0.9927703820653594,0.0,0.9504182580781217,0.99999
stealth_malware,energy_finetuned,"backdoor,mitm,ransomware","backdoor,mitm,ransomware",pooled_attack_out,42677,517048,-5.446479797363281,0.995713882417956,0.9810628140066128,0.0,0.9504182580781217,1.0
stealth_malware,energy_finetuned,"backdoor,mitm,ransomware","backdoor,mitm,ransomware",unseen::xss,42677,100000,-5.446479797363281,0.9976283757058837,0.9973981139302317,0.0,0.9504182580781217,1.0
