expert,true_class,true_role,predicted_class,count,true_class_test_support,share_of_test_support
flood,backdoor,target known,ddos,12,40678,0.00029499975416687153
flood,backdoor,target known,dos,6,40678,0.00014749987708343576
flood,ddos,target known,ddos,99492,100000,0.99492
flood,ddos,target known,dos,113,100000,0.00113
flood,dos,target known,ddos,1,40692,2.457485500835545e-05
flood,dos,target known,dos,37202,40692,0.9142337560208394
flood,mitm,target known,ddos,3,1204,0.0024916943521594683
flood,mitm,target known,dos,37,1204,0.030730897009966777
flood,password,target known,ddos,109,100000,0.00109
flood,password,target known,dos,3,100000,3e-05
flood,ransomware,target known,ddos,29,795,0.03647798742138365
flood,scanning,target known,ddos,303,100000,0.00303
flood,scanning,target known,dos,38,100000,0.00038
flood,xss,target known,ddos,878,100000,0.00878
flood,xss,target known,dos,3428,100000,0.03428
flood,unseen::injection,target unseen,ddos,26340,76356,0.34496306773534496
flood,unseen::injection,target unseen,dos,2409,76356,0.03154958352978155
flood,benign_diagnostic,benign diagnostic,ddos,16461,100000,0.16461
flood,benign_diagnostic,benign diagnostic,dos,12389,100000,0.12389
probe_access,ddos,target known,password,36,100000,0.00036
probe_access,password,target known,password,93364,100000,0.93364
probe_access,scanning,target known,scanning,41617,100000,0.41617
probe_access,scanning,target known,password,2,100000,2e-05
probe_access,xss,target known,scanning,30,100000,0.0003
probe_access,xss,target known,password,19,100000,0.00019
probe_access,unseen::injection,target unseen,scanning,3,76356,3.928964325003929e-05
probe_access,unseen::injection,target unseen,password,2675,76356,0.035033265231285034
probe_access,benign_diagnostic,benign diagnostic,scanning,38876,100000,0.38876
probe_access,benign_diagnostic,benign diagnostic,password,800,100000,0.008
application,backdoor,target known,xss,14,40678,0.00034416637986135014
application,ddos,target known,xss,589,100000,0.00589
application,dos,target known,xss,2605,40692,0.06401749729676595
application,mitm,target known,xss,10,1204,0.008305647840531562
application,password,target known,xss,117,100000,0.00117
application,scanning,target known,xss,88,100000,0.00088
application,xss,target known,xss,95830,100000,0.9583
application,unseen::injection,target unseen,xss,37801,76356,0.49506260149824505
application,benign_diagnostic,benign diagnostic,xss,13684,100000,0.13684
stealth_malware,backdoor,target known,backdoor,40556,40678,0.9970008358326368
