expert,configured_owned_classes,excluded_semantics,source,family,semantic_family,included_as_aux_ood,decision,available,aux_train_selected,aux_validation_selected
flood,"ddos,dos",,TARGET known attack,backdoor,backdoor,True,TARGET KNOWN OOD,162706,100000,40676
flood,"ddos,dos",,TARGET known attack,ddos,ddos,False,EXCLUDED: owned ID,3313004,0,0
flood,"ddos,dos",,TARGET known attack,dos,dos,False,EXCLUDED: owned ID,162764,0,0
flood,"ddos,dos",,TARGET known attack,mitm,mitm,True,TARGET KNOWN OOD,4809,3607,1202
flood,"ddos,dos",,TARGET known attack,password,credential_attack,True,TARGET KNOWN OOD,1275821,100000,50000
flood,"ddos,dos",,TARGET known attack,ransomware,ransomware,True,TARGET KNOWN OOD,3176,2382,794
flood,"ddos,dos",,TARGET known attack,scanning,reconnaissance,True,TARGET KNOWN OOD,1087181,100000,50000
flood,"ddos,dos",,TARGET known attack,xss,web_attack,True,TARGET KNOWN OOD,2267548,100000,50000
flood,"ddos,dos","ddos,dos",bot_iot,benign,benign,False,EXCLUDED: --disable-external-aux,51989,0,0
flood,"ddos,dos","ddos,dos",bot_iot,ddos,ddos,False,EXCLUDED: --disable-external-aux,7150882,0,0
flood,"ddos,dos","ddos,dos",bot_iot,dos,dos,False,EXCLUDED: --disable-external-aux,8034190,0,0
flood,"ddos,dos","ddos,dos",bot_iot,reconnaissance,reconnaissance,False,EXCLUDED: --disable-external-aux,1695132,0,0
flood,"ddos,dos","ddos,dos",bot_iot,theft,theft,False,EXCLUDED: --disable-external-aux,1615,0,0
flood,"ddos,dos","ddos,dos",cse_cic_ids2018,benign,benign,False,EXCLUDED: --disable-external-aux,17514626,0,0
flood,"ddos,dos","ddos,dos",cse_cic_ids2018,bot,bot,False,EXCLUDED: --disable-external-aux,207703,0,0
flood,"ddos,dos","ddos,dos",cse_cic_ids2018,brute_force,credential_attack,False,EXCLUDED: --disable-external-aux,575194,0,0
flood,"ddos,dos","ddos,dos",cse_cic_ids2018,ddos,ddos,False,EXCLUDED: --disable-external-aux,1324350,0,0
flood,"ddos,dos","ddos,dos",cse_cic_ids2018,dos,dos,False,EXCLUDED: --disable-external-aux,302966,0,0
flood,"ddos,dos","ddos,dos",cse_cic_ids2018,infiltration,infiltration,False,EXCLUDED: --disable-external-aux,188152,0,0
flood,"ddos,dos","ddos,dos",cse_cic_ids2018,web_attacks,web_attack,False,EXCLUDED: --disable-external-aux,2538,0,0
flood,"ddos,dos","ddos,dos",unsw_nb15,analysis,web_attack,False,EXCLUDED: --disable-external-aux,1226,0,0
flood,"ddos,dos","ddos,dos",unsw_nb15,backdoor,backdoor,False,EXCLUDED: --disable-external-aux,4659,0,0
flood,"ddos,dos","ddos,dos",unsw_nb15,benign,benign,False,EXCLUDED: --disable-external-aux,2237731,0,0
flood,"ddos,dos","ddos,dos",unsw_nb15,dos,dos,False,EXCLUDED: --disable-external-aux,5980,0,0
flood,"ddos,dos","ddos,dos",unsw_nb15,exploits,exploits,False,EXCLUDED: --disable-external-aux,42748,0,0
flood,"ddos,dos","ddos,dos",unsw_nb15,fuzzers,fuzzers,False,EXCLUDED: --disable-external-aux,33816,0,0
flood,"ddos,dos","ddos,dos",unsw_nb15,generic,generic,False,EXCLUDED: --disable-external-aux,19651,0,0
flood,"ddos,dos","ddos,dos",unsw_nb15,reconnaissance,reconnaissance,False,EXCLUDED: --disable-external-aux,17074,0,0
flood,"ddos,dos","ddos,dos",unsw_nb15,shellcode,shellcode,False,EXCLUDED: --disable-external-aux,2381,0,0
flood,"ddos,dos","ddos,dos",unsw_nb15,worms,worms,False,EXCLUDED: --disable-external-aux,158,0,0
probe_access,"scanning,password",,TARGET known attack,backdoor,backdoor,True,TARGET KNOWN OOD,162706,100000,40676
probe_access,"scanning,password",,TARGET known attack,ddos,ddos,True,TARGET KNOWN OOD,3313004,100000,50000
probe_access,"scanning,password",,TARGET known attack,dos,dos,True,TARGET KNOWN OOD,162764,100000,40691
probe_access,"scanning,password",,TARGET known attack,mitm,mitm,True,TARGET KNOWN OOD,4809,3607,1202
probe_access,"scanning,password",,TARGET known attack,password,credential_attack,False,EXCLUDED: owned ID,1275821,0,0
probe_access,"scanning,password",,TARGET known attack,ransomware,ransomware,True,TARGET KNOWN OOD,3176,2382,794
probe_access,"scanning,password",,TARGET known attack,scanning,reconnaissance,False,EXCLUDED: owned ID,1087181,0,0
probe_access,"scanning,password",,TARGET known attack,xss,web_attack,True,TARGET KNOWN OOD,2267548,100000,50000
probe_access,"scanning,password","credential_attack,reconnaissance",bot_iot,benign,benign,False,EXCLUDED: --disable-external-aux,51989,0,0
probe_access,"scanning,password","credential_attack,reconnaissance",bot_iot,ddos,ddos,False,EXCLUDED: --disable-external-aux,7150882,0,0
probe_access,"scanning,password","credential_attack,reconnaissance",bot_iot,dos,dos,False,EXCLUDED: --disable-external-aux,8034190,0,0
probe_access,"scanning,password","credential_attack,reconnaissance",bot_iot,reconnaissance,reconnaissance,False,EXCLUDED: --disable-external-aux,1695132,0,0
probe_access,"scanning,password","credential_attack,reconnaissance",bot_iot,theft,theft,False,EXCLUDED: --disable-external-aux,1615,0,0
probe_access,"scanning,password","credential_attack,reconnaissance",cse_cic_ids2018,benign,benign,False,EXCLUDED: --disable-external-aux,17514626,0,0
probe_access,"scanning,password","credential_attack,reconnaissance",cse_cic_ids2018,bot,bot,False,EXCLUDED: --disable-external-aux,207703,0,0
probe_access,"scanning,password","credential_attack,reconnaissance",cse_cic_ids2018,brute_force,credential_attack,False,EXCLUDED: --disable-external-aux,575194,0,0
probe_access,"scanning,password","credential_attack,reconnaissance",cse_cic_ids2018,ddos,ddos,False,EXCLUDED: --disable-external-aux,1324350,0,0
probe_access,"scanning,password","credential_attack,reconnaissance",cse_cic_ids2018,dos,dos,False,EXCLUDED: --disable-external-aux,302966,0,0
probe_access,"scanning,password","credential_attack,reconnaissance",cse_cic_ids2018,infiltration,infiltration,False,EXCLUDED: --disable-external-aux,188152,0,0
probe_access,"scanning,password","credential_attack,reconnaissance",cse_cic_ids2018,web_attacks,web_attack,False,EXCLUDED: --disable-external-aux,2538,0,0
probe_access,"scanning,password","credential_attack,reconnaissance",unsw_nb15,analysis,web_attack,False,EXCLUDED: --disable-external-aux,1226,0,0
probe_access,"scanning,password","credential_attack,reconnaissance",unsw_nb15,backdoor,backdoor,False,EXCLUDED: --disable-external-aux,4659,0,0
probe_access,"scanning,password","credential_attack,reconnaissance",unsw_nb15,benign,benign,False,EXCLUDED: --disable-external-aux,2237731,0,0
probe_access,"scanning,password","credential_attack,reconnaissance",unsw_nb15,dos,dos,False,EXCLUDED: --disable-external-aux,5980,0,0
probe_access,"scanning,password","credential_attack,reconnaissance",unsw_nb15,exploits,exploits,False,EXCLUDED: --disable-external-aux,42748,0,0
probe_access,"scanning,password","credential_attack,reconnaissance",unsw_nb15,fuzzers,fuzzers,False,EXCLUDED: --disable-external-aux,33816,0,0
probe_access,"scanning,password","credential_attack,reconnaissance",unsw_nb15,generic,generic,False,EXCLUDED: --disable-external-aux,19651,0,0
probe_access,"scanning,password","credential_attack,reconnaissance",unsw_nb15,reconnaissance,reconnaissance,False,EXCLUDED: --disable-external-aux,17074,0,0
probe_access,"scanning,password","credential_attack,reconnaissance",unsw_nb15,shellcode,shellcode,False,EXCLUDED: --disable-external-aux,2381,0,0
probe_access,"scanning,password","credential_attack,reconnaissance",unsw_nb15,worms,worms,False,EXCLUDED: --disable-external-aux,158,0,0
application,"injection,xss",,TARGET known attack,backdoor,backdoor,True,TARGET KNOWN OOD,162706,100000,40676
application,"injection,xss",,TARGET known attack,ddos,ddos,True,TARGET KNOWN OOD,3313004,100000,50000
application,"injection,xss",,TARGET known attack,dos,dos,True,TARGET KNOWN OOD,162764,100000,40691
application,"injection,xss",,TARGET known attack,mitm,mitm,True,TARGET KNOWN OOD,4809,3607,1202
application,"injection,xss",,TARGET known attack,password,credential_attack,True,TARGET KNOWN OOD,1275821,100000,50000
application,"injection,xss",,TARGET known attack,ransomware,ransomware,True,TARGET KNOWN OOD,3176,2382,794
application,"injection,xss",,TARGET known attack,scanning,reconnaissance,True,TARGET KNOWN OOD,1087181,100000,50000
application,"injection,xss",,TARGET known attack,xss,web_attack,False,EXCLUDED: owned ID,2267548,0,0
application,"injection,xss",web_attack,bot_iot,benign,benign,False,EXCLUDED: --disable-external-aux,51989,0,0
application,"injection,xss",web_attack,bot_iot,ddos,ddos,False,EXCLUDED: --disable-external-aux,7150882,0,0
application,"injection,xss",web_attack,bot_iot,dos,dos,False,EXCLUDED: --disable-external-aux,8034190,0,0
application,"injection,xss",web_attack,bot_iot,reconnaissance,reconnaissance,False,EXCLUDED: --disable-external-aux,1695132,0,0
application,"injection,xss",web_attack,bot_iot,theft,theft,False,EXCLUDED: --disable-external-aux,1615,0,0
application,"injection,xss",web_attack,cse_cic_ids2018,benign,benign,False,EXCLUDED: --disable-external-aux,17514626,0,0
application,"injection,xss",web_attack,cse_cic_ids2018,bot,bot,False,EXCLUDED: --disable-external-aux,207703,0,0
application,"injection,xss",web_attack,cse_cic_ids2018,brute_force,credential_attack,False,EXCLUDED: --disable-external-aux,575194,0,0
application,"injection,xss",web_attack,cse_cic_ids2018,ddos,ddos,False,EXCLUDED: --disable-external-aux,1324350,0,0
application,"injection,xss",web_attack,cse_cic_ids2018,dos,dos,False,EXCLUDED: --disable-external-aux,302966,0,0
application,"injection,xss",web_attack,cse_cic_ids2018,infiltration,infiltration,False,EXCLUDED: --disable-external-aux,188152,0,0
application,"injection,xss",web_attack,cse_cic_ids2018,web_attacks,web_attack,False,EXCLUDED: --disable-external-aux,2538,0,0
application,"injection,xss",web_attack,unsw_nb15,analysis,web_attack,False,EXCLUDED: --disable-external-aux,1226,0,0
application,"injection,xss",web_attack,unsw_nb15,backdoor,backdoor,False,EXCLUDED: --disable-external-aux,4659,0,0
application,"injection,xss",web_attack,unsw_nb15,benign,benign,False,EXCLUDED: --disable-external-aux,2237731,0,0
application,"injection,xss",web_attack,unsw_nb15,dos,dos,False,EXCLUDED: --disable-external-aux,5980,0,0
application,"injection,xss",web_attack,unsw_nb15,exploits,exploits,False,EXCLUDED: --disable-external-aux,42748,0,0
application,"injection,xss",web_attack,unsw_nb15,fuzzers,fuzzers,False,EXCLUDED: --disable-external-aux,33816,0,0
application,"injection,xss",web_attack,unsw_nb15,generic,generic,False,EXCLUDED: --disable-external-aux,19651,0,0
application,"injection,xss",web_attack,unsw_nb15,reconnaissance,reconnaissance,False,EXCLUDED: --disable-external-aux,17074,0,0
application,"injection,xss",web_attack,unsw_nb15,shellcode,shellcode,False,EXCLUDED: --disable-external-aux,2381,0,0
application,"injection,xss",web_attack,unsw_nb15,worms,worms,False,EXCLUDED: --disable-external-aux,158,0,0
stealth_malware,"backdoor,mitm,ransomware",,TARGET known attack,backdoor,backdoor,False,EXCLUDED: owned ID,162706,0,0
stealth_malware,"backdoor,mitm,ransomware",,TARGET known attack,ddos,ddos,True,TARGET KNOWN OOD,3313004,100000,50000
stealth_malware,"backdoor,mitm,ransomware",,TARGET known attack,dos,dos,True,TARGET KNOWN OOD,162764,100000,40691
stealth_malware,"backdoor,mitm,ransomware",,TARGET known attack,mitm,mitm,False,EXCLUDED: owned ID,4809,0,0
stealth_malware,"backdoor,mitm,ransomware",,TARGET known attack,password,credential_attack,True,TARGET KNOWN OOD,1275821,100000,50000
stealth_malware,"backdoor,mitm,ransomware",,TARGET known attack,ransomware,ransomware,False,EXCLUDED: owned ID,3176,0,0
stealth_malware,"backdoor,mitm,ransomware",,TARGET known attack,scanning,reconnaissance,True,TARGET KNOWN OOD,1087181,100000,50000
stealth_malware,"backdoor,mitm,ransomware",,TARGET known attack,xss,web_attack,True,TARGET KNOWN OOD,2267548,100000,50000
stealth_malware,"backdoor,mitm,ransomware","backdoor,mitm,ransomware",bot_iot,benign,benign,False,EXCLUDED: --disable-external-aux,51989,0,0
stealth_malware,"backdoor,mitm,ransomware","backdoor,mitm,ransomware",bot_iot,ddos,ddos,False,EXCLUDED: --disable-external-aux,7150882,0,0
stealth_malware,"backdoor,mitm,ransomware","backdoor,mitm,ransomware",bot_iot,dos,dos,False,EXCLUDED: --disable-external-aux,8034190,0,0
stealth_malware,"backdoor,mitm,ransomware","backdoor,mitm,ransomware",bot_iot,reconnaissance,reconnaissance,False,EXCLUDED: --disable-external-aux,1695132,0,0
stealth_malware,"backdoor,mitm,ransomware","backdoor,mitm,ransomware",bot_iot,theft,theft,False,EXCLUDED: --disable-external-aux,1615,0,0
stealth_malware,"backdoor,mitm,ransomware","backdoor,mitm,ransomware",cse_cic_ids2018,benign,benign,False,EXCLUDED: --disable-external-aux,17514626,0,0
stealth_malware,"backdoor,mitm,ransomware","backdoor,mitm,ransomware",cse_cic_ids2018,bot,bot,False,EXCLUDED: --disable-external-aux,207703,0,0
stealth_malware,"backdoor,mitm,ransomware","backdoor,mitm,ransomware",cse_cic_ids2018,brute_force,credential_attack,False,EXCLUDED: --disable-external-aux,575194,0,0
stealth_malware,"backdoor,mitm,ransomware","backdoor,mitm,ransomware",cse_cic_ids2018,ddos,ddos,False,EXCLUDED: --disable-external-aux,1324350,0,0
stealth_malware,"backdoor,mitm,ransomware","backdoor,mitm,ransomware",cse_cic_ids2018,dos,dos,False,EXCLUDED: --disable-external-aux,302966,0,0
stealth_malware,"backdoor,mitm,ransomware","backdoor,mitm,ransomware",cse_cic_ids2018,infiltration,infiltration,False,EXCLUDED: --disable-external-aux,188152,0,0
stealth_malware,"backdoor,mitm,ransomware","backdoor,mitm,ransomware",cse_cic_ids2018,web_attacks,web_attack,False,EXCLUDED: --disable-external-aux,2538,0,0
stealth_malware,"backdoor,mitm,ransomware","backdoor,mitm,ransomware",unsw_nb15,analysis,web_attack,False,EXCLUDED: --disable-external-aux,1226,0,0
stealth_malware,"backdoor,mitm,ransomware","backdoor,mitm,ransomware",unsw_nb15,backdoor,backdoor,False,EXCLUDED: --disable-external-aux,4659,0,0
stealth_malware,"backdoor,mitm,ransomware","backdoor,mitm,ransomware",unsw_nb15,benign,benign,False,EXCLUDED: --disable-external-aux,2237731,0,0
stealth_malware,"backdoor,mitm,ransomware","backdoor,mitm,ransomware",unsw_nb15,dos,dos,False,EXCLUDED: --disable-external-aux,5980,0,0
stealth_malware,"backdoor,mitm,ransomware","backdoor,mitm,ransomware",unsw_nb15,exploits,exploits,False,EXCLUDED: --disable-external-aux,42748,0,0
stealth_malware,"backdoor,mitm,ransomware","backdoor,mitm,ransomware",unsw_nb15,fuzzers,fuzzers,False,EXCLUDED: --disable-external-aux,33816,0,0
stealth_malware,"backdoor,mitm,ransomware","backdoor,mitm,ransomware",unsw_nb15,generic,generic,False,EXCLUDED: --disable-external-aux,19651,0,0
stealth_malware,"backdoor,mitm,ransomware","backdoor,mitm,ransomware",unsw_nb15,reconnaissance,reconnaissance,False,EXCLUDED: --disable-external-aux,17074,0,0
stealth_malware,"backdoor,mitm,ransomware","backdoor,mitm,ransomware",unsw_nb15,shellcode,shellcode,False,EXCLUDED: --disable-external-aux,2381,0,0
stealth_malware,"backdoor,mitm,ransomware","backdoor,mitm,ransomware",unsw_nb15,worms,worms,False,EXCLUDED: --disable-external-aux,158,0,0
benign,benign,,TARGET known attack,backdoor,backdoor,True,TARGET KNOWN OOD,162706,100000,40676
benign,benign,,TARGET known attack,ddos,ddos,True,TARGET KNOWN OOD,3313004,100000,50000
benign,benign,,TARGET known attack,dos,dos,True,TARGET KNOWN OOD,162764,100000,40691
benign,benign,,TARGET known attack,mitm,mitm,True,TARGET KNOWN OOD,4809,3607,1202
benign,benign,,TARGET known attack,password,credential_attack,True,TARGET KNOWN OOD,1275821,100000,50000
benign,benign,,TARGET known attack,ransomware,ransomware,True,TARGET KNOWN OOD,3176,2382,794
benign,benign,,TARGET known attack,scanning,reconnaissance,True,TARGET KNOWN OOD,1087181,100000,50000
benign,benign,,TARGET known attack,xss,web_attack,True,TARGET KNOWN OOD,2267548,100000,50000
benign,benign,benign,bot_iot,benign,benign,False,EXCLUDED: --disable-external-aux,51989,0,0
benign,benign,benign,bot_iot,ddos,ddos,False,EXCLUDED: --disable-external-aux,7150882,0,0
benign,benign,benign,bot_iot,dos,dos,False,EXCLUDED: --disable-external-aux,8034190,0,0
benign,benign,benign,bot_iot,reconnaissance,reconnaissance,False,EXCLUDED: --disable-external-aux,1695132,0,0
benign,benign,benign,bot_iot,theft,theft,False,EXCLUDED: --disable-external-aux,1615,0,0
benign,benign,benign,cse_cic_ids2018,benign,benign,False,EXCLUDED: --disable-external-aux,17514626,0,0
benign,benign,benign,cse_cic_ids2018,bot,bot,False,EXCLUDED: --disable-external-aux,207703,0,0
benign,benign,benign,cse_cic_ids2018,brute_force,credential_attack,False,EXCLUDED: --disable-external-aux,575194,0,0
benign,benign,benign,cse_cic_ids2018,ddos,ddos,False,EXCLUDED: --disable-external-aux,1324350,0,0
benign,benign,benign,cse_cic_ids2018,dos,dos,False,EXCLUDED: --disable-external-aux,302966,0,0
benign,benign,benign,cse_cic_ids2018,infiltration,infiltration,False,EXCLUDED: --disable-external-aux,188152,0,0
benign,benign,benign,cse_cic_ids2018,web_attacks,web_attack,False,EXCLUDED: --disable-external-aux,2538,0,0
benign,benign,benign,unsw_nb15,analysis,web_attack,False,EXCLUDED: --disable-external-aux,1226,0,0
benign,benign,benign,unsw_nb15,backdoor,backdoor,False,EXCLUDED: --disable-external-aux,4659,0,0
benign,benign,benign,unsw_nb15,benign,benign,False,EXCLUDED: --disable-external-aux,2237731,0,0
benign,benign,benign,unsw_nb15,dos,dos,False,EXCLUDED: --disable-external-aux,5980,0,0
benign,benign,benign,unsw_nb15,exploits,exploits,False,EXCLUDED: --disable-external-aux,42748,0,0
benign,benign,benign,unsw_nb15,fuzzers,fuzzers,False,EXCLUDED: --disable-external-aux,33816,0,0
benign,benign,benign,unsw_nb15,generic,generic,False,EXCLUDED: --disable-external-aux,19651,0,0
benign,benign,benign,unsw_nb15,reconnaissance,reconnaissance,False,EXCLUDED: --disable-external-aux,17074,0,0
benign,benign,benign,unsw_nb15,shellcode,shellcode,False,EXCLUDED: --disable-external-aux,2381,0,0
benign,benign,benign,unsw_nb15,worms,worms,False,EXCLUDED: --disable-external-aux,158,0,0
