expert,stage,active_owned_classes,configured_owned_classes,ood_role,id_support,ood_support,threshold,auroc,aupr_id,fpr95,id_retain_at_tau,ood_detect_at_tau
flood,pretrained,"ddos,dos","ddos,dos",non_owned_known_attack,140692,342677,-3.0640709400177,0.9109663480384741,0.8562952414919974,0.4061229671089685,0.958313194780087,0.5803540943804224
flood,pretrained,"ddos,dos","ddos,dos",unseen,140692,76356,-3.0640709400177,0.9765392517357574,0.9817359483658515,0.07783278327832784,0.958313194780087,0.9112185028026613
flood,pretrained,"ddos,dos","ddos,dos",target_non_owned_validation,140692,192672,-3.0640709400177,0.8859889626203767,0.8828209361613917,0.5723768892210597,0.958313194780087,0.4140871532967946
flood,pretrained,"ddos,dos","ddos,dos",benign_diagnostic,140692,100000,-3.0640709400177,0.9583247732280443,0.9695418704593429,0.20696,0.958313194780087,0.78962
flood,pretrained,"ddos,dos","ddos,dos",pooled_attack_out,140692,419033,-3.0640709400177,0.92291501230766,0.8455330910809349,0.34630208122033346,0.958313194780087,0.6406440542868939
flood,pretrained,"ddos,dos","ddos,dos",unseen::injection,140692,76356,-3.0640709400177,0.9765392517357574,0.9817359483658515,0.07783278327832784,0.958313194780087,0.9112185028026613
flood,energy_finetuned,"ddos,dos","ddos,dos",non_owned_known_attack,140692,342677,-1.1293525695800781,0.9988491437148773,0.9972839872601856,0.007266317844500798,0.9706522048161942,0.986482897889266
flood,energy_finetuned,"ddos,dos","ddos,dos",unseen,140692,76356,-1.1293525695800781,0.9305279312061823,0.9573735429069522,0.4174786526271675,0.9706522048161942,0.5316674524595316
flood,energy_finetuned,"ddos,dos","ddos,dos",target_non_owned_validation,140692,192672,-1.1293525695800781,0.9987997480146038,0.9983784695186766,0.008786953994353098,0.9706522048161942,0.9842789818966949
flood,energy_finetuned,"ddos,dos","ddos,dos",benign_diagnostic,140692,100000,-1.1293525695800781,0.9561212774002786,0.9672728274099753,0.367,0.9706522048161942,0.61526
flood,energy_finetuned,"ddos,dos","ddos,dos",pooled_attack_out,140692,419033,-1.1293525695800781,0.9863996838816089,0.9556170301485432,0.0820150202967308,0.9706522048161942,0.9036066371860927
