expert,stage,active_owned_classes,configured_owned_classes,ood_role,id_support,ood_support,threshold,auroc,aupr_id,fpr95,id_retain_at_tau,ood_detect_at_tau
flood,pretrained,"ddos,dos","ddos,dos",non_owned_known_attack,140692,319033,-3.0640709400177,0.9288089996102445,0.8745778358029591,0.33574269746389873,0.958313194780087,0.6508010143151336
flood,pretrained,"ddos,dos","ddos,dos",unseen,140692,100000,-3.0640709400177,0.9045331349330451,0.9358823858531747,0.37812,0.958313194780087,0.60981
flood,pretrained,"ddos,dos","ddos,dos",target_non_owned_validation,140692,192672,-3.0640709400177,0.903005624858055,0.8931558555205322,0.500586488955323,0.958313194780087,0.48549348114931073
flood,pretrained,"ddos,dos","ddos,dos",external_aux_validation,140692,33861,-3.0640709400177,0.9415685363001473,0.9845451811885304,0.21357904373763326,0.958313194780087,0.7798942736481498
flood,pretrained,"ddos,dos","ddos,dos",benign_diagnostic,140692,100000,-3.0640709400177,0.9583247732280443,0.9695418704593429,0.20696,0.958313194780087,0.78962
flood,pretrained,"ddos,dos","ddos,dos",pooled_attack_out,140692,419033,-3.0640709400177,0.9230156934321633,0.8456158887346802,0.34585581565175055,0.958313194780087,0.6410187264487522
flood,pretrained,"ddos,dos","ddos,dos",unseen::password,140692,100000,-3.0640709400177,0.9045331349330451,0.9358823858531747,0.37812,0.958313194780087,0.60981
flood,energy_finetuned,"ddos,dos","ddos,dos",non_owned_known_attack,140692,319033,-1.3032689094543457,0.9973720583846315,0.9928805711888098,0.014534546582955369,0.9693514912006369,0.9781464613378553
flood,energy_finetuned,"ddos,dos","ddos,dos",unseen,140692,100000,-1.3032689094543457,0.9902445613112331,0.9922569909672784,0.07889,0.9693514912006369,0.92074
flood,energy_finetuned,"ddos,dos","ddos,dos",target_non_owned_validation,140692,192672,-1.3032689094543457,0.9974461066552428,0.9958518235668616,0.01605318883906328,0.9693514912006369,0.9773033964457731
flood,energy_finetuned,"ddos,dos","ddos,dos",external_aux_validation,140692,33861,-1.3032689094543457,0.9992145125647943,0.9997944615611168,0.005876967602846933,0.9693514912006369,0.9936209798883672
flood,energy_finetuned,"ddos,dos","ddos,dos",benign_diagnostic,140692,100000,-1.3032689094543457,0.9413586382665683,0.9100348086964174,0.26354,0.9693514912006369,0.73083
flood,energy_finetuned,"ddos,dos","ddos,dos",pooled_attack_out,140692,419033,-1.3032689094543457,0.9956711190616192,0.9856606588490042,0.029892633754382114,0.9693514912006369,0.9644467142205984
flood,energy_finetuned,"ddos,dos","ddos,dos",unseen::password,140692,100000,-1.3032689094543457,0.9902445613112331,0.9922569909672784,0.07889,0.9693514912006369,0.92074
probe_access,pretrained,scanning,"scanning,password",non_owned_known_attack,100000,359725,-3.995769739151001,0.12085469083327545,0.1723957522060854,0.997156160956286,0.99989,0.002843839043713948
probe_access,pretrained,scanning,"scanning,password",unseen,100000,100000,-3.995769739151001,0.1401836462,0.42930477690611957,1.0,0.99989,0.0
probe_access,pretrained,scanning,"scanning,password",target_non_owned_validation,100000,233363,-3.995769739151001,0.154307408243809,0.2487859570441514,0.9957705377459152,0.99989,0.004229462254084838
probe_access,pretrained,scanning,"scanning,password",external_aux_validation,100000,39642,-3.995769739151001,0.1474786811967106,0.6425394008257608,0.9999747742293527,0.99989,2.5225770647293274e-05
probe_access,pretrained,scanning,"scanning,password",benign_diagnostic,100000,100000,-3.995769739151001,0.45283113340000003,0.5589260540343981,0.98924,0.99989,0.01076
probe_access,pretrained,scanning,"scanning,password",pooled_attack_out,100000,459725,-3.995769739151001,0.12505915118821034,0.14110336285207276,0.9977747566479961,0.99989,0.002225243352003915
probe_access,pretrained,scanning,"scanning,password",unseen::password,100000,100000,-3.995769739151001,0.1401836462,0.42930477690611957,1.0,0.99989,0.0
probe_access,energy_finetuned,scanning,"scanning,password",non_owned_known_attack,100000,359725,-4.305616855621338,0.9504661327402877,0.8682956923737845,0.09843074570852735,0.42536,0.9999193828619084
probe_access,energy_finetuned,scanning,"scanning,password",unseen,100000,100000,-4.305616855621338,0.71110475535,0.7988626536743523,0.54616,0.42536,0.84521
probe_access,energy_finetuned,scanning,"scanning,password",target_non_owned_validation,100000,233363,-4.305616855621338,0.9457241596139919,0.8983712766976636,0.10781486353877864,0.42536,0.9993058025479618
probe_access,energy_finetuned,scanning,"scanning,password",external_aux_validation,100000,39642,-4.305616855621338,0.9571350175319107,0.983356542933522,0.0848090409162,0.42536,0.997754906412391
probe_access,energy_finetuned,scanning,"scanning,password",benign_diagnostic,100000,100000,-4.305616855621338,0.40336538959999996,0.5330932931690034,0.90527,0.42536,0.59478
probe_access,energy_finetuned,scanning,"scanning,password",pooled_attack_out,100000,459725,-4.305616855621338,0.8983999241611834,0.7382799144848528,0.19582141497634456,0.42536,0.9662667899287618
probe_access,energy_finetuned,scanning,"scanning,password",unseen::password,100000,100000,-4.305616855621338,0.71110475535,0.7988626536743523,0.54616,0.42536,0.84521
