true_class,owner_expert,intruding_expert,false_accept_count,true_class_test_support,owner_also_in_rate,owner_lower_energy_rate,resolvable_by_argmin_rate,mean_owner_energy,owner_threshold,mean_intruder_energy,intruder_threshold
dos,flood,application,4641,40692,0.32342167636285285,0.6505063563887094,0.32342167636285285,-1.1765440702438354,-1.3032689094543457,-0.9853456616401672,-0.6785848736763
xss,application,flood,3730,100000,0.48203753351206435,0.01581769436997319,0.01581769436997319,-0.6758560538291931,-0.6785848736763,-1.552690863609314,-1.3032689094543457
injection,application,flood,2820,76356,0.15070921985815602,0.01028368794326241,0.01028368794326241,1.0212897062301636,-0.6785848736763,-2.402360439300537,-1.3032689094543457
ddos,flood,application,1150,100000,0.66,0.6782608695652174,0.6539130434782608,-1.8725624084472656,-1.3032689094543457,-1.3065097332000732,-0.6785848736763
scanning,probe_access,flood,364,100000,0.08516483516483517,0.9807692307692307,0.08516483516483517,-3.8664746284484863,-4.305616855621338,-2.4781687259674072,-1.3032689094543457
scanning,probe_access,application,118,100000,0.07627118644067797,0.9830508474576272,0.07627118644067797,-3.799687385559082,-4.305616855621338,-1.6639200448989868,-0.6785848736763
ransomware,stealth_malware,application,35,795,0.0,1.0,0.0,-5.2436604499816895,-6.100426197052002,-1.367508888244629,-0.6785848736763
ransomware,stealth_malware,flood,26,795,0.0,1.0,0.0,-4.387269973754883,-6.100426197052002,-3.159498691558838,-1.3032689094543457
xss,application,probe_access,23,100000,0.08695652173913043,0.0,0.0,2.060567855834961,-0.6785848736763,-4.877924919128418,-4.305616855621338
backdoor,stealth_malware,application,22,40678,0.0,1.0,0.0,-3.5883240699768066,-6.100426197052002,-1.559190034866333,-0.6785848736763
mitm,stealth_malware,flood,20,1204,0.0,1.0,0.0,-4.252876281738281,-6.100426197052002,-1.784816026687622,-1.3032689094543457
backdoor,stealth_malware,flood,12,40678,0.0,1.0,0.0,-3.6112730503082275,-6.100426197052002,-1.5301507711410522,-1.3032689094543457
mitm,stealth_malware,application,5,1204,0.0,1.0,0.0,-4.253149509429932,-6.100426197052002,-1.4679299592971802,-0.6785848736763
injection,application,probe_access,3,76356,0.0,0.0,0.0,2.3932974338531494,-0.6785848736763,-4.883978366851807,-4.305616855621338
ransomware,stealth_malware,probe_access,2,795,0.0,0.5,0.0,-4.431759834289551,-6.100426197052002,-4.4530029296875,-4.305616855621338
ddos,flood,probe_access,1,100000,1.0,0.0,0.0,-3.3053481578826904,-1.3032689094543457,-4.3369140625,-4.305616855621338
