expert,true_class,true_role,predicted_class,count,true_class_test_support,share_of_test_support
flood,backdoor,target known,ddos,16,40678,0.0003933330055558287
flood,ddos,target known,ddos,99482,100000,0.99482
flood,ddos,target known,dos,77,100000,0.00077
flood,dos,target known,dos,36508,40692,0.8971788066450408
flood,injection,target known,ddos,1428,76356,0.0187018701870187
flood,injection,target known,dos,1643,76356,0.021517627953271518
flood,mitm,target known,ddos,21,1204,0.01744186046511628
flood,mitm,target known,dos,63,1204,0.05232558139534884
flood,ransomware,target known,ddos,31,795,0.0389937106918239
flood,scanning,target known,ddos,402,100000,0.00402
flood,scanning,target known,dos,37,100000,0.00037
flood,xss,target known,ddos,538,100000,0.00538
flood,xss,target known,dos,2943,100000,0.02943
flood,unseen::password,target unseen,ddos,8043,100000,0.08043
flood,unseen::password,target unseen,dos,27,100000,0.00027
flood,benign_diagnostic,benign diagnostic,ddos,25386,100000,0.25386
flood,benign_diagnostic,benign diagnostic,dos,10035,100000,0.10035
probe_access,injection,target known,scanning,3,76356,3.928964325003929e-05
probe_access,scanning,target known,scanning,42779,100000,0.42779
probe_access,xss,target known,scanning,21,100000,0.00021
probe_access,benign_diagnostic,benign diagnostic,scanning,45129,100000,0.45129
application,backdoor,target known,xss,22,40678,0.0005408328826392645
application,ddos,target known,injection,191,100000,0.00191
application,ddos,target known,xss,932,100000,0.00932
application,dos,target known,injection,1,40692,2.457485500835545e-05
application,dos,target known,xss,4027,40692,0.0989629411186474
application,injection,target known,injection,69593,76356,0.9114280475666614
application,injection,target known,xss,2633,76356,0.03448321022578448
application,mitm,target known,injection,12,1204,0.009966777408637873
application,mitm,target known,xss,4,1204,0.0033222591362126247
application,ransomware,target known,xss,24,795,0.03018867924528302
application,scanning,target known,injection,14,100000,0.00014
application,scanning,target known,xss,103,100000,0.00103
application,xss,target known,injection,351,100000,0.00351
application,xss,target known,xss,97131,100000,0.97131
application,unseen::password,target unseen,injection,68221,100000,0.68221
application,unseen::password,target unseen,xss,4250,100000,0.0425
application,benign_diagnostic,benign diagnostic,injection,403,100000,0.00403
application,benign_diagnostic,benign diagnostic,xss,20111,100000,0.20111
stealth_malware,backdoor,target known,backdoor,40558,40678,0.9970500024583313
