true_class,owner_expert,intruding_expert,false_accept_count,true_class_test_support,owner_also_in_rate,owner_lower_energy_rate,resolvable_by_argmin_rate,mean_owner_energy,owner_threshold,mean_intruder_energy,intruder_threshold
dos,flood,application,5879,40692,0.47712195951692465,0.76492600782446,0.47712195951692465,-1.2541518211364746,-1.347341775894165,-0.8801125288009644,-0.6219496726989746
xss,application,flood,3699,100000,0.6782914301162476,0.01567991349013247,0.01567991349013247,-0.7010179758071899,-0.6219496726989746,-1.5852558612823486,-1.347341775894165
injection,application,flood,2861,76356,0.1754631247815449,0.009437259699405802,0.009437259699405802,0.7986838817596436,-0.6219496726989746,-2.411936044692993,-1.347341775894165
ddos,flood,application,930,100000,0.6225806451612903,0.6376344086021506,0.6096774193548387,-1.9217479228973389,-1.347341775894165,-1.3521208763122559,-0.6219496726989746
password,probe_access,application,142,100000,0.0,1.0,0.0,-3.871621608734131,-4.938185691833496,-1.3898192644119263,-0.6219496726989746
password,probe_access,flood,69,100000,0.0,0.9855072463768116,0.0,-4.2298054695129395,-4.938185691833496,-2.5295979976654053,-1.347341775894165
ransomware,stealth_malware,flood,30,795,0.0,1.0,0.0,-4.071897506713867,-5.7579193115234375,-3.0543406009674072,-1.347341775894165
backdoor,stealth_malware,application,26,40678,0.0,1.0,0.0,-3.2975029945373535,-5.7579193115234375,-1.4180153608322144,-0.6219496726989746
ransomware,stealth_malware,application,16,795,0.0,1.0,0.0,-3.387420892715454,-5.7579193115234375,-1.255849003791809,-0.6219496726989746
mitm,stealth_malware,flood,16,1204,0.0,1.0,0.0,-3.9374375343322754,-5.7579193115234375,-1.7387917041778564,-1.347341775894165
backdoor,stealth_malware,flood,12,40678,0.0,1.0,0.0,-3.408780813217163,-5.7579193115234375,-1.6595622301101685,-1.347341775894165
injection,application,probe_access,10,76356,0.0,0.0,0.0,1.945465326309204,-0.6219496726989746,-5.141169548034668,-4.938185691833496
mitm,stealth_malware,application,9,1204,0.0,1.0,0.0,-3.8880763053894043,-5.7579193115234375,-1.1752467155456543,-0.6219496726989746
xss,application,probe_access,1,100000,1.0,0.0,0.0,-1.2135838270187378,-0.6219496726989746,-5.151656627655029,-4.938185691833496
