expert,true_class,true_role,predicted_class,count,true_class_test_support,share_of_test_support
flood,backdoor,target known,ddos,12,40678,0.00029499975416687153
flood,ddos,target known,ddos,99459,100000,0.99459
flood,ddos,target known,dos,90,100000,0.0009
flood,dos,target known,dos,36896,40692,0.9067138503882827
flood,injection,target known,ddos,1489,76356,0.0195007595997695
flood,injection,target known,dos,1640,76356,0.021478338310021477
flood,mitm,target known,ddos,16,1204,0.013289036544850499
flood,mitm,target known,dos,58,1204,0.04817275747508306
flood,password,target known,ddos,76,100000,0.00076
flood,password,target known,dos,8,100000,8e-05
flood,ransomware,target known,ddos,37,795,0.04654088050314465
flood,xss,target known,ddos,540,100000,0.0054
flood,xss,target known,dos,3086,100000,0.03086
flood,unseen::scanning,target unseen,ddos,38675,100000,0.38675
flood,unseen::scanning,target unseen,dos,78,100000,0.00078
flood,benign_diagnostic,benign diagnostic,ddos,37283,100000,0.37283
flood,benign_diagnostic,benign diagnostic,dos,3447,100000,0.03447
probe_access,injection,target known,password,3,76356,3.928964325003929e-05
probe_access,password,target known,password,95078,100000,0.95078
probe_access,xss,target known,password,1,100000,1e-05
probe_access,unseen::scanning,target unseen,password,227,100000,0.00227
probe_access,benign_diagnostic,benign diagnostic,password,788,100000,0.00788
application,backdoor,target known,xss,22,40678,0.0005408328826392645
application,ddos,target known,injection,219,100000,0.00219
application,ddos,target known,xss,660,100000,0.0066
application,dos,target known,injection,1,40692,2.457485500835545e-05
application,dos,target known,xss,4851,40692,0.11921262164553229
application,injection,target known,injection,69350,76356,0.9082455864634082
application,injection,target known,xss,2669,76356,0.03495468594478496
application,mitm,target known,injection,12,1204,0.009966777408637873
application,mitm,target known,xss,11,1204,0.009136212624584718
application,password,target known,injection,105,100000,0.00105
application,password,target known,xss,56,100000,0.00056
application,ransomware,target known,xss,37,795,0.04654088050314465
application,xss,target known,injection,348,100000,0.00348
application,xss,target known,xss,97722,100000,0.97722
application,unseen::scanning,target unseen,injection,109,100000,0.00109
application,unseen::scanning,target unseen,xss,40545,100000,0.40545
application,benign_diagnostic,benign diagnostic,injection,544,100000,0.00544
application,benign_diagnostic,benign diagnostic,xss,54578,100000,0.54578
stealth_malware,backdoor,target known,backdoor,40554,40678,0.9969516692069423
stealth_malware,unseen::scanning,target unseen,backdoor,52307,100000,0.52307
stealth_malware,benign_diagnostic,benign diagnostic,backdoor,9540,100000,0.0954
