true_class,owner_expert,intruding_expert,false_accept_count,true_class_test_support,owner_also_in_rate,owner_lower_energy_rate,resolvable_by_argmin_rate,mean_owner_energy,owner_threshold,mean_intruder_energy,intruder_threshold
dos,flood,application,4852,40692,0.31986809563066776,0.7873042044517725,0.31986809563066776,-0.991446316242218,-1.0973646640777588,-0.4120209813117981,0.06496517360210419
xss,application,flood,3626,100000,0.5259238830667402,0.019305019305019305,0.019305019305019305,-0.039922084659338,0.06496517360210419,-1.3356013298034668,-1.0973646640777588
injection,application,flood,3129,76356,0.16267178012144456,0.014701182486417386,0.014701182486417386,1.560777187347412,0.06496517360210419,-2.2087783813476562,-1.0973646640777588
ddos,flood,application,879,100000,0.5881683731513083,0.6166097838452788,0.571103526734926,-1.6693155765533447,-1.0973646640777588,-1.2231662273406982,0.06496517360210419
password,probe_access,application,161,100000,0.0,1.0,0.0,-4.257291316986084,-5.40593147277832,-0.9914935827255249,0.06496517360210419
password,probe_access,flood,84,100000,0.0,1.0,0.0,-4.542014122009277,-5.40593147277832,-2.302006244659424,-1.0973646640777588
mitm,stealth_malware,flood,74,1204,0.0,0.9864864864864865,0.0,-3.934335231781006,-6.208054542541504,-1.5886802673339844,-1.0973646640777588
ransomware,stealth_malware,application,37,795,0.0,1.0,0.0,-4.32744026184082,-6.208054542541504,-1.1092878580093384,0.06496517360210419
ransomware,stealth_malware,flood,37,795,0.0,0.972972972972973,0.0,-4.0961713790893555,-6.208054542541504,-2.736632823944092,-1.0973646640777588
mitm,stealth_malware,application,23,1204,0.0,1.0,0.0,-4.091322422027588,-6.208054542541504,-0.4693683683872223,0.06496517360210419
backdoor,stealth_malware,application,22,40678,0.0,1.0,0.0,-3.242706060409546,-6.208054542541504,-1.1393158435821533,0.06496517360210419
backdoor,stealth_malware,flood,12,40678,0.0,1.0,0.0,-3.2266855239868164,-6.208054542541504,-1.7842086553573608,-1.0973646640777588
injection,application,probe_access,3,76356,0.0,0.0,0.0,2.844000816345215,0.06496517360210419,-5.660398960113525,-5.40593147277832
xss,application,probe_access,1,100000,1.0,0.0,0.0,-1.5647166967391968,0.06496517360210419,-5.556517124176025,-5.40593147277832
